Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,102.902281,[413 118] ; [ 81 128],[354.47837838 176.52162162] ; [139.52162162  69.47837838],1
a6,1,0.0,95.092777,[416 115] ; [ 86 123],[360.21891892 170.78108108] ; [141.78108108  67.21891892],1
a2,1,0.0,37.36599,[156 378] ; [ 17 192],[124.33647376 409.66352624] ; [ 48.66352624 160.33647376],1
u1,1,0.0,31.093786,[113 421] ; [  9 200],[ 87.68236878 446.31763122] ; [ 34.31763122 174.68236878],1
d1,1,2e-06,23.083377,[336 198] ; [ 91 118],[306.88829071 227.11170929] ; [120.11170929  88.88829071],1
r4,1,7e-06,20.171453,[501  33] ; [174  35],[485.12786003  48.87213997] ; [189.87213997  19.12786003],1
d4,1,3e-05,17.411402,[452  80] ; [149  59],[432.07027027  99.92972973] ; [168.92972973  39.07027027],1
r1,1,3.9e-05,16.906902,[446  84] ; [148  61],[426.00811908 103.99188092] ; [167.99188092  41.00811908],1
p10,1,0.00033,12.891066,[435  91] ; [145  60],[417.34610123 108.65389877] ; [162.65389877  42.34610123],1
d5,1,0.000375,12.654217,[443  89] ; [149  59],[425.6 106.4] ; [166.4  41.6],1
b5,1,0.00211,9.450938,[339 195] ; [107 102],[320.54374159 213.45625841] ; [125.45625841  83.54374159],0
u3,1,0.002173,9.397094,[99 54] ; [27 37],[88.83870968 64.16129032] ; [37.16129032 26.83870968],0
b1,1,0.002845,8.904604,[192 342] ; [100 109],[209.86271871 324.13728129] ; [ 82.13728129 126.86271871],0
r3,1,0.003306,8.630392,[514  20] ; [190  19],[505.97039031  28.02960969] ; [198.02960969  10.97039031],0
p2,1,0.00365,8.450317,[453  79] ; [156  49],[439.60379919  92.39620081] ; [169.39620081  35.60379919],0
r2,1,0.016694,5.72823,[511  19] ; [190  16],[504.79619565  25.20380435] ; [196.20380435   9.79619565],0
v2,1,0.021564,5.280624,[304 205] ; [101 100],[290.34507042 218.65492958] ; [114.65492958  86.34507042],0
p8,1,0.029098,4.761777,[284 241] ; [ 92 112],[270.781893 254.218107] ; [105.218107  98.781893],0
a5,1,0.029369,4.745872,[400 134] ; [140  69],[388.10228802 145.89771198] ; [151.89771198  57.10228802],0
b3,1,0.038437,4.28558,[118 201] ; [64 71],[127.88105727 191.11894273] ; [54.11894273 80.88105727],0
b2,1,0.038437,4.28558,[118 201] ; [64 71],[127.88105727 191.11894273] ; [54.11894273 80.88105727],0
p4,1,0.038459,4.284622,[320 210] ; [106  98],[307.60217984 222.39782016] ; [118.39782016  85.60217984],0
