Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.0,103.887696,[104 129] ; [501 123],[164.4865811  68.5134189] ; [440.5134189 183.4865811],1
d2,1,0.0,103.287276,[ 46 189] ; [363 258],[112.2838785 122.7161215] ; [296.7161215 324.2838785],1
d1,1,0.0,97.082889,[ 74 161] ; [429 196],[137.44767442  97.55232558] ; [365.55232558 259.44767442],1
a4,1,0.0,92.29525,[ 42 193] ; [339 284],[104.35314685 130.64685315] ; [276.64685315 346.35314685],1
u1,1,0.0,47.993964,[  7 228] ; [145 480],[ 41.53488372 193.46511628] ; [110.46511628 514.53488372],1
d5,1,0.0,46.964099,[154  80] ; [538  84],[189.1682243  44.8317757] ; [502.8317757 119.1682243],1
a6,1,0.0,37.120071,[124 111] ; [463 159],[160.96266044  74.03733956] ; [426.03733956 195.96266044],1
d4,1,0.0,36.940425,[163  72] ; [542  80],[193.31971995  41.68028005] ; [511.68028005 110.31971995],1
r1,1,0.0,35.438225,[160  74] ; [536  86],[190.26168224  43.73831776] ; [505.73831776 116.26168224],1
n4,1,0.0,28.499743,[148  86] ; [503 120],[177.75262544  56.24737456] ; [473.24737456 149.75262544],1
r4,1,4e-06,21.339206,[206  29] ; [601  24],[220.51744186  14.48255814] ; [586.48255814  38.51744186],1
s8,1,3.1e-05,17.368851,[ 77 158] ; [301 318],[104.01639344 130.98360656] ; [273.98360656 345.01639344],1
d3,1,4.8e-05,16.511527,[137  96] ; [456 167],[161.41238318  71.58761682] ; [431.58761682 191.41238318],1
v2,1,5e-05,16.440877,[100 122] ; [365 235],[125.58394161  96.41605839] ; [339.41605839 260.58394161],1
s7,1,6e-05,16.087873,[ 84 141] ; [316 280],[109.62241169 115.37758831] ; [290.37758831 305.62241169],1
r2,1,0.000109,14.977144,[214  20] ; [604  16],[224.13583138   9.86416862] ; [593.86416862  26.13583138],1
p10,1,0.000222,13.636399,[166  63] ; [516 100],[184.8260355  44.1739645] ; [497.1739645 118.8260355],1
p4,1,0.000289,13.140289,[115 117] ; [391 227],[138.10823529  93.89176471] ; [367.89176471 250.10823529],1
p3,1,0.000294,13.10717,[ 93 141] ; [332 287],[116.58851114 117.41148886] ; [308.41148886 310.58851114],1
p9,1,0.000583,11.828122,[176  52] ; [537  81],[192.15602837  35.84397163] ; [520.84397163  97.15602837],1
n5,1,0.000798,11.24583,[151  81] ; [475 146],[170.26025791  61.73974209] ; [455.73974209 165.26025791],1
s5,1,0.001515,10.060447,[ 56 168] ; [220 379],[ 75.12029162 148.87970838] ; [200.87970838 398.12029162],0
b3,1,0.001734,9.811603,[33 95] ; [158 225],[47.84344423 80.15655577] ; [143.15655577 239.84344423],0
b2,1,0.001734,9.811603,[33 95] ; [158 225],[47.84344423 80.15655577] ; [143.15655577 239.84344423],0
v1,1,0.002316,9.280577,[104 124] ; [349 259],[123.54545455 104.45454545] ; [329.45454545 278.54545455],0
p8,1,0.005049,7.861862,[103 130] ; [336 275],[121.19312796 111.80687204] ; [317.80687204 293.19312796],0
s6,1,0.006448,7.420716,[138  91] ; [430 183],[154.47980998  74.52019002] ; [413.52019002 199.47980998],0
p12,1,0.020825,5.341365,[ 10 222] ; [ 56 561],[ 18.03533569 213.96466431] ; [ 47.96466431 569.03533569],0
v3,1,0.021753,5.265413,[ 76 150] ; [254 345],[ 90.4 135.6] ; [239.6 359.4],0
