Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n1,1,0.001538,10.032223,[ 1 16] ; [3 1],[ 3.23809524 13.76190476] ; [0.76190476 3.23809524],0
s2,1,0.002637,9.043273,[ 6 29] ; [8 5],[10.20833333 24.79166667] ; [3.79166667 9.20833333],0
s6,1,0.02299,5.169231,[14 21] ; [10  3],[17.5 17.5] ; [6.5 6.5],0
p3,1,0.036032,4.395604,[10 25] ; [8 5],[13.125 21.875] ; [4.875 8.125],0
p4,1,0.036674,4.365481,[18 17] ; [11  2],[21.14583333 13.85416667] ; [7.85416667 5.14583333],0
p7,1,0.036674,4.365481,[18 17] ; [11  2],[21.14583333 13.85416667] ; [7.85416667 5.14583333],0
s8,1,0.039551,4.237043,[ 8 27] ; [7 6],[10.9375 24.0625] ; [4.0625 8.9375],0
p12,1,0.080129,3.062285,[ 2 33] ; [ 3 10],[ 3.64583333 31.35416667] ; [ 1.35416667 11.64583333],0
u3,1,0.092838,2.824463,[ 4 14] ; [4 3],[ 5.76 12.24] ; [2.24 4.76],0
s7,1,0.098416,2.731034,[ 9 24] ; [6 5],[11.25 21.75] ; [3.75 7.25],0
v3,1,0.118366,2.438815,[ 6 29] ; [5 8],[ 8.02083333 26.97916667] ; [ 2.97916667 10.02083333],0
a4,1,0.126148,2.339282,[10 25] ; [ 1 12],[ 8.02083333 26.97916667] ; [ 2.97916667 10.02083333],0
a7,1,0.147248,2.100533,[19 16] ; [4 9],[16.77083333 18.22916667] ; [6.22916667 6.77083333],0
p8,1,0.183224,1.771275,[14 21] ; [8 5],[16.04166667 18.95833333] ; [5.95833333 7.04166667],0
a6,1,0.249596,1.325561,[15 20] ; [8 5],[16.77083333 18.22916667] ; [6.22916667 6.77083333],0
v1,1,0.275963,1.186863,[14 21] ; [ 3 10],[12.39583333 22.60416667] ; [4.60416667 8.39583333],0
s4,1,0.301588,1.06716,[ 6 29] ; [4 9],[ 7.29166667 27.70833333] ; [ 2.70833333 10.29166667],0
p5,1,0.309257,1.033846,[ 7 28] ; [ 1 12],[ 5.83333333 29.16666667] ; [ 2.16666667 10.83333333],0
p11,1,0.348443,0.879121,[25 10] ; [11  2],[26.25  8.75] ; [9.75 3.25],0
p6,1,0.387888,0.745554,[ 9 26] ; [5 8],[10.20833333 24.79166667] ; [3.79166667 9.20833333],0
v4,1,0.387888,0.745554,[26  9] ; [8 5],[24.79166667 10.20833333] ; [9.20833333 3.79166667],0
r3,1,0.422006,0.644722,[25  9] ; [11  2],[26.04255319  7.95744681] ; [9.95744681 3.04255319],0
n3,1,0.422489,0.643382,[9 8] ; [3 1],[9.71428571 7.28571429] ; [2.28571429 1.71428571],0
n4,1,0.446639,0.579167,[20 15] ; [9 4],[21.14583333 13.85416667] ; [7.85416667 5.14583333],0
r1,1,0.446639,0.579167,[15 20] ; [4 9],[13.85416667 21.14583333] ; [5.14583333 7.85416667],0
d5,1,0.446639,0.579167,[20 15] ; [9 4],[21.14583333 13.85416667] ; [7.85416667 5.14583333],0
s5,1,0.449238,0.572573,[ 9 26] ; [ 2 11],[ 8.02083333 26.97916667] ; [ 2.97916667 10.02083333],0
b3,1,0.45426,0.56,[ 6 12] ; [2 8],[ 5.14285714 12.85714286] ; [2.85714286 7.14285714],0
b2,1,0.45426,0.56,[ 6 12] ; [2 8],[ 5.14285714 12.85714286] ; [2.85714286 7.14285714],0
r4,1,0.456556,0.554326,[12 23] ; [ 3 10],[10.9375 24.0625] ; [4.0625 8.9375],0
u2,1,0.466985,0.529101,[10  8] ; [5 2],[10.8  7.2] ; [4.2 2.8],0
a8,1,0.474549,0.511364,[ 3 30] ; [ 2 10],[ 3.66666667 29.33333333] ; [ 1.33333333 10.66666667],0
n6,1,0.551605,0.354449,[24 10] ; [8 5],[23.14893617 10.85106383] ; [8.85106383 4.14893617],0
d1,1,0.57159,0.32003,[11 24] ; [ 3 10],[10.20833333 24.79166667] ; [3.79166667 9.20833333],0
a5,1,0.616253,0.251169,[16 19] ; [7 6],[16.77083333 18.22916667] ; [6.22916667 6.77083333],0
b4,1,0.616253,0.251169,[19 16] ; [6 7],[18.22916667 16.77083333] ; [6.77083333 6.22916667],0
p10,1,0.645993,0.210989,[24 11] ; [8 5],[23.33333333 11.66666667] ; [8.66666667 4.33333333],0
d3,1,0.652617,0.202616,[19 16] ; [8 5],[19.6875 15.3125] ; [7.3125 5.6875],0
p9,1,0.703448,0.14491,[25 10] ; [10  3],[25.52083333  9.47916667] ; [9.47916667 3.52083333],0
a1,1,0.801359,0.063297,[ 2 33] ; [ 1 12],[ 2.1875 32.8125] ; [ 0.8125 12.1875],0
d4,1,0.81835,0.052747,[23 12] ; [9 4],[23.33333333 11.66666667] ; [8.66666667 4.33333333],0
b1,1,0.837881,0.041863,[20 15] ; [7 6],[19.6875 15.3125] ; [7.3125 5.6875],0
a3,1,0.881557,0.0222,[17 18] ; [6 7],[16.77083333 18.22916667] ; [6.22916667 6.77083333],0
d2,1,0.881655,0.022163,[10 25] ; [4 9],[10.20833333 24.79166667] ; [3.79166667 9.20833333],0
n5,1,0.922839,0.009382,[21 14] ; [8 5],[21.14583333 13.85416667] ; [7.85416667 5.14583333],0
v2,1,0.922839,0.009382,[14 21] ; [5 8],[13.85416667 21.14583333] ; [5.14583333 7.85416667],0
b5,1,0.978331,0.000738,[19 16] ; [7 6],[18.95833333 16.04166667] ; [7.04166667 5.95833333],0
