Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,31.022425,[211 101] ; [100 129],[179.35674677 132.64325323] ; [131.64325323  97.35674677],1
v3,1,1e-06,24.942579,[158 156] ; [ 67 164],[129.63302752 184.36697248] ; [ 95.36697248 135.63302752],1
n5,1,2.2e-05,18.022915,[273  49] ; [167  72],[252.54901961  69.45098039] ; [187.45098039  51.54901961],1
p9,1,0.001225,10.451985,[293  28] ; [192  42],[280.51351351  40.48648649] ; [204.48648649  29.51351351],0
p6,1,0.002532,9.117403,[147 169] ; [ 80 157],[129.71428571 186.28571429] ; [ 97.28571429 139.71428571],0
n4,1,0.00259,9.076067,[266  56] ; [172  67],[251.40106952  70.59893048] ; [186.59893048  52.40106952],0
p10,1,0.002789,8.94071,[280  40] ; [184  52],[267.05035971  52.94964029] ; [196.94964029  39.05035971],0
s8,1,0.003473,8.540541,[193 128] ; [114 125],[175.97678571 145.02321429] ; [131.02321429 107.97678571],0
p3,1,0.006817,7.320652,[186 136] ; [110 128],[170.2 151.8] ; [125.8 112.2],0
s4,1,0.007536,7.140434,[ 58 262] ; [ 65 170],[ 70.91891892 249.08108108] ; [ 52.08108108 182.91891892],0
b2,1,0.0205,5.368837,[ 87 123] ; [37 91],[ 77.04142012 132.95857988] ; [46.95857988 81.04142012],0
b3,1,0.0205,5.368837,[ 87 123] ; [37 91],[ 77.04142012 132.95857988] ; [46.95857988 81.04142012],0
u4,1,0.020743,5.348238,[ 13 311] ; [  2 237],[  8.63232682 315.36767318] ; [  6.36767318 232.63232682],0
b5,1,0.02265,5.195172,[211 113] ; [133 106],[197.96802842 126.03197158] ; [146.03197158  92.96802842],0
p5,1,0.023009,5.167845,[ 51 271] ; [ 22 215],[ 42.05008945 279.94991055] ; [ 30.94991055 206.05008945],0
p8,1,0.02319,5.154225,[184 133] ; [113 121],[170.86932849 146.13067151] ; [126.13067151 107.86932849],0
d4,1,0.041126,4.170797,[280  42] ; [191  46],[271.30948122  50.69051878] ; [199.69051878  37.30948122],0
a4,1,0.053164,3.738761,[160 161] ; [ 99 139],[148.72808587 172.27191413] ; [110.27191413 127.72808587],0
v4,1,0.054446,3.698966,[319   5] ; [229  10],[315.36767318   8.63232682] ; [232.63232682   6.36767318],0
d1,1,0.056611,3.633989,[210 114] ; [136 103],[199.11900533 124.88099467] ; [146.88099467  92.11900533],0
a5,1,0.060817,3.514958,[255  69] ; [171  67],[245.59430605  78.40569395] ; [180.40569395  57.59430605],0
