Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a5,1,2.2e-05,18.009757,[ 8 17] ; [97 32],[17.04545455  7.95454545] ; [87.95454545 41.04545455],1
n5,1,0.00047,12.232102,[10 15] ; [97 32],[17.37012987  7.62987013] ; [89.62987013 39.37012987],1
r2,1,0.002902,8.867881,[20  5] ; [123   5],[23.36601307  1.63398693] ; [119.63398693   8.36601307],0
r4,1,0.005543,7.693056,[18  7] ; [118  11],[22.07792208  2.92207792] ; [113.92207792  15.07792208],0
n4,1,0.013066,6.160214,[11 14] ; [90 39],[16.3961039  8.6038961] ; [84.6038961 44.3961039],0
u2,1,0.014007,6.037259,[9 2] ; [16 24],[5.39215686 5.60784314] ; [19.60784314 20.39215686],0
p10,1,0.020441,5.373858,[15  8] ; [110  19],[18.91447368  4.08552632] ; [106.08552632  22.91447368],0
p11,1,0.024079,5.088955,[13 12] ; [96 33],[17.69480519  7.30519481] ; [91.30519481 37.69480519],0
p9,1,0.027534,4.857012,[16  7] ; [112  16],[19.49668874  3.50331126] ; [108.50331126  19.49668874],0
p6,1,0.033193,4.535809,[15  9] ; [50 78],[10.26315789 13.73684211] ; [54.73684211 73.26315789],0
d1,1,0.05843,3.581395,[10 15] ; [78 51],[14.28571429 10.71428571] ; [73.71428571 55.28571429],0
b1,1,0.06334,3.44769,[13 12] ; [42 87],[ 8.92857143 16.07142857] ; [46.07142857 82.92857143],0
r1,1,0.065244,3.398799,[15 10] ; [100  29],[18.66883117  6.33116883] ; [96.33116883 32.66883117],0
p4,1,0.093582,2.81165,[11 14] ; [80 49],[14.77272727 10.22727273] ; [76.22727273 52.77272727],0
a2,1,0.113284,2.507798,[ 2 23] ; [ 28 101],[ 4.87012987 20.12987013] ; [ 25.12987013 103.87012987],0
u3,1,0.139575,2.182637,[9 2] ; [23 17],[6.90196078 4.09803922] ; [25.09803922 14.90196078],0
s6,1,0.16228,1.952853,[18  6] ; [107  17],[20.27027027  3.72972973] ; [104.72972973  19.27027027],0
a3,1,0.206482,1.595922,[14 11] ; [89 40],[16.72077922  8.27922078] ; [86.27922078 42.72077922],0
a7,1,0.236271,1.402707,[15 10] ; [92 36],[17.48366013  7.51633987] ; [89.51633987 38.48366013],0
d2,1,0.239037,1.386262,[ 9 16] ; [63 66],[11.68831169 13.31168831] ; [60.31168831 68.68831169],0
v3,1,0.249766,1.324614,[ 5 20] ; [40 87],[ 7.40131579 17.59868421] ; [37.59868421 89.40131579],0
a4,1,0.258851,1.27489,[ 8 17] ; [57 72],[10.55194805 14.44805195] ; [54.44805195 74.55194805],0
d5,1,0.292593,1.107652,[18  7] ; [104  24],[19.93464052  5.06535948] ; [102.06535948  25.93464052],0
v1,1,0.299592,1.07601,[ 9 16] ; [61 68],[11.36363636 13.63636364] ; [58.63636364 70.36363636],0
p8,1,0.318941,0.993283,[10 14] ; [67 60],[12.2384106 11.7615894] ; [64.7615894 62.2384106],0
u1,1,0.339807,0.91116,[ 3 22] ; [ 26 103],[ 4.70779221 20.29220779] ; [ 24.29220779 104.70779221],0
v2,1,0.344724,0.892785,[ 9 15] ; [60 65],[11.11409396 12.88590604] ; [57.88590604 67.11409396],0
p5,1,0.382777,0.761765,[ 1 24] ; [ 12 117],[ 2.11038961 22.88961039] ; [ 10.88961039 118.11038961],0
n2,1,0.403867,0.696783,[9 1] ; [25  7],[8.0952381 1.9047619] ; [25.9047619  6.0952381],0
s5,1,0.448671,0.574007,[10 12] ; [64 54],[11.62857143 10.37142857] ; [62.37142857 55.62857143],0
d3,1,0.466287,0.530761,[17  8] ; [96 32],[18.46405229  6.53594771] ; [94.53594771 33.46405229],0
b4,1,0.475189,0.509885,[13 12] ; [77 52],[14.61038961 10.38961039] ; [75.38961039 53.61038961],0
n1,1,0.478308,0.502719,[4 6] ; [ 9 23],[3.0952381 6.9047619] ; [ 9.9047619 22.0952381],0
p2,1,0.51989,0.414111,[21  4] ; [101  28],[19.80519481  5.19480519] ; [102.19480519  26.80519481],0
b5,1,0.572419,0.318651,[14 11] ; [80 49],[15.25974026  9.74025974] ; [78.74025974 50.25974026],0
n3,1,0.598499,0.277266,[7 3] ; [25  7],[7.61904762 2.38095238] ; [24.38095238  7.61904762],0
s3,1,0.602407,0.271381,[19  6] ; [90 37],[17.92763158  7.07236842] ; [91.07236842 35.92763158],0
a6,1,0.620204,0.245581,[17  8] ; [81 48],[15.90909091  9.09090909] ; [82.09090909 46.90909091],0
d4,1,0.631159,0.230493,[21  4] ; [103  26],[20.12987013  4.87012987] ; [103.87012987  25.12987013],0
r3,1,0.705589,0.142723,[22  2] ; [120   8],[22.42105263  1.57894737] ; [119.57894737   8.42105263],0
p3,1,0.827022,0.047752,[13 12] ; [64 65],[12.5 12.5] ; [64.5 64.5],0
b2,1,0.839932,0.040796,[ 3 12] ; [15 52],[ 3.29268293 11.70731707] ; [14.70731707 52.29268293],0
b3,1,0.839932,0.040796,[ 3 12] ; [15 52],[ 3.29268293 11.70731707] ; [14.70731707 52.29268293],0
s7,1,0.847836,0.036818,[14  9] ; [74 52],[13.58389262  9.41610738] ; [74.41610738 51.58389262],0
s8,1,0.88267,0.021782,[13 12] ; [65 64],[12.66233766 12.33766234] ; [65.33766234 63.66233766],0
a8,1,0.894359,0.017633,[ 1 22] ; [  6 114],[ 1.12587413 21.87412587] ; [  5.87412587 114.12587413],0
p1,1,0.930855,0.007529,[ 2 23] ; [ 11 118],[ 2.11038961 22.88961039] ; [ 10.88961039 118.11038961],0
p7,1,0.931602,0.007367,[15  8] ; [81 45],[14.81879195  8.18120805] ; [81.18120805 44.81879195],0
s2,1,0.953883,0.003344,[18  7] ; [90 36],[17.8807947  7.1192053] ; [90.1192053 35.8807947],0
