Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.000501,12.112948,[52 61] ; [ 43 123],[38.47670251 74.52329749] ; [ 56.52329749 109.47670251],1
p9,1,0.0012,10.48986,[98 17] ; [114  53],[86.45390071 28.54609929] ; [125.54609929  41.45390071],0
a3,1,0.00128,10.371126,[74 42] ; [76 95],[60.6271777 55.3728223] ; [89.3728223 81.6271777],0
r1,1,0.001565,10.000948,[86 30] ; [96 76],[73.30555556 42.69444444] ; [108.69444444  63.30555556],0
p10,1,0.002867,8.89023,[89 23] ; [106  63],[77.72241993 34.27758007] ; [117.27758007  51.72241993],0
s8,1,0.006691,7.35416,[42 74] ; [ 37 134],[31.93031359 84.06968641] ; [ 47.06968641 123.93031359],0
r2,1,0.007572,7.131937,[103  11] ; [133  37],[94.73239437 19.26760563] ; [141.26760563  28.73239437],0
u3,1,0.010249,6.591104,[28 15] ; [39 55],[21.02919708 21.97080292] ; [45.97080292 48.02919708],0
a5,1,0.015634,5.843618,[70 47] ; [78 94],[59.91695502 57.08304498] ; [88.08304498 83.91695502],0
a2,1,0.017794,5.616323,[ 11 106] ; [  5 167],[  6.47750865 110.52249135] ; [  9.52249135 162.47750865],0
s7,1,0.018809,5.519217,[47 62] ; [ 49 118],[37.91304348 71.08695652] ; [ 58.08695652 108.91304348],0
u1,1,0.02058,5.361996,[  7 110] ; [  2 170],[  3.64359862 113.35640138] ; [  5.35640138 166.64359862],0
r4,1,0.023958,5.097687,[96 21] ; [121  51],[87.85121107 29.14878893] ; [129.14878893  42.85121107],0
s6,1,0.032735,4.559606,[72 42] ; [85 84],[63.24381625 50.75618375] ; [93.75618375 75.24381625],0
n2,1,0.033884,4.500527,[24  3] ; [39 19],[20.01176471  6.98823529] ; [42.98823529 15.01176471],0
p4,1,0.041009,4.175652,[61 55] ; [ 69 102],[52.54355401 63.45644599] ; [77.45644599 93.54355401],0
n4,1,0.048465,3.893781,[82 34] ; [102  70],[74.11111111 41.88888889] ; [109.88888889  62.11111111],0
p2,1,0.051226,3.800872,[95 20] ; [125  47],[88.1533101 26.8466899] ; [131.8466899  40.1533101],0
r3,1,0.060678,3.518769,[105  10] ; [143  28],[99.72027972 15.27972028] ; [148.27972028  22.72027972],0
b1,1,0.065815,3.384426,[43 74] ; [82 90],[50.60553633 66.39446367] ; [74.39446367 97.60553633],0
s3,1,0.085106,2.964592,[62 53] ; [74 96],[54.87719298 60.12280702] ; [81.12280702 88.87719298],0
s2,1,0.094516,2.795719,[50 65] ; [ 58 114],[43.27526132 71.72473868] ; [ 64.72473868 107.27526132],0
n5,1,0.097473,2.746418,[83 32] ; [106  63],[76.53169014 38.46830986] ; [112.46830986  56.53169014],0
v4,1,0.215902,1.531403,[103  11] ; [146  25],[99.6 14.4] ; [149.4  21.6],0
p3,1,0.216785,1.525525,[46 70] ; [ 56 116],[41.08333333 74.91666667] ; [ 60.91666667 111.08333333],0
d5,1,0.225962,1.466101,[68 49] ; [87 84],[62.96875 54.03125] ; [92.03125 78.96875],0
b5,1,0.265213,1.241342,[73 44] ; [96 76],[68.41868512 48.58131488] ; [100.58131488  71.41868512],0
b2,1,0.297159,1.086898,[26 52] ; [22 63],[22.96932515 55.03067485] ; [25.03067485 59.96932515],0
b3,1,0.297159,1.086898,[26 52] ; [22 63],[22.96932515 55.03067485] ; [25.03067485 59.96932515],0
n3,1,0.32093,0.985153,[21  6] ; [39 19],[19.05882353  7.94117647] ; [40.94117647 17.05882353],0
a4,1,0.321605,0.982408,[32 83] ; [ 39 133],[28.44947735 86.55052265] ; [ 42.55052265 129.44947735],0
d4,1,0.332465,0.939274,[70 47] ; [93 79],[65.98961938 51.01038062] ; [97.01038062 74.98961938],0
d3,1,0.401138,0.704911,[47 70] ; [ 60 110],[43.62020906 73.37979094] ; [ 63.37979094 106.62020906],0
a8,1,0.403946,0.696548,[17 91] ; [ 20 144],[14.69117647 93.30882353] ; [ 22.30882353 141.69117647],0
n1,1,0.409531,0.680162,[12 15] ; [20 37],[10.28571429 16.71428571] ; [21.71428571 35.28571429],0
p12,1,0.463583,0.537229,[  6 108] ; [  6 166],[  4.78321678 109.21678322] ; [  7.21678322 164.78321678],0
s5,1,0.496891,0.46157,[30 82] ; [ 39 129],[27.6 84.4] ; [ 41.4 126.6],0
p7,1,0.517131,0.419611,[66 47] ; [91 76],[63.36071429 49.63928571] ; [93.63928571 73.36071429],0
p11,1,0.522515,0.408927,[87 30] ; [122  50],[84.61245675 32.38754325] ; [124.38754325  47.61245675],0
p6,1,0.531217,0.392062,[33 78] ; [ 45 126],[30.70212766 80.29787234] ; [ 47.29787234 123.70212766],0
n6,1,0.628852,0.233621,[87 28] ; [125  46],[85.24475524 29.75524476] ; [126.75524476  44.24475524],0
b4,1,0.678777,0.171506,[59 58] ; [91 81],[60.7266436 56.2733564] ; [89.2733564 82.7266436],0
a1,1,0.709334,0.138943,[  5 112] ; [  9 163],[  5.66782007 111.33217993] ; [  8.33217993 163.66782007],0
