Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,41.627248,[56 19] ; [31 84],[34.34210526 40.65789474] ; [52.65789474 62.34210526],1
s3,1,1e-06,24.878092,[60 19] ; [47 71],[42.90862944 36.09137056] ; [64.09137056 53.90862944],1
s6,1,1e-06,23.186121,[66 12] ; [59 57],[50.25773196 27.74226804] ; [74.74226804 41.25773196],1
s2,1,9e-06,19.661028,[53 26] ; [42 78],[37.71356784 41.28643216] ; [57.28643216 62.71356784],1
d1,1,0.002835,8.910812,[50 29] ; [50 70],[39.69849246 39.30150754] ; [60.30150754 59.69849246],0
b5,1,0.005932,7.570712,[31 48] ; [71 49],[40.49246231 38.50753769] ; [61.50753769 58.49246231],0
p2,1,0.006167,7.500808,[75  4] ; [97 22],[68.62626263 10.37373737] ; [103.37373737  15.62626263],0
d2,1,0.00783,7.0719,[42 37] ; [41 79],[32.94974874 46.05025126] ; [50.05025126 69.94974874],0
b3,1,0.012776,6.199932,[14 30] ; [ 8 57],[ 8.88073394 35.11926606] ; [13.11926606 51.88073394],0
b2,1,0.012776,6.199932,[14 30] ; [ 8 57],[ 8.88073394 35.11926606] ; [13.11926606 51.88073394],0
p9,1,0.021535,5.282995,[70  9] ; [89 29],[63.76142132 15.23857868] ; [95.23857868 22.76142132],0
p6,1,0.035939,4.4,[39 39] ; [42 78],[31.90909091 46.09090909] ; [49.09090909 70.90909091],0
a3,1,0.059582,3.548982,[54 25] ; [66 54],[47.63819095 31.36180905] ; [72.36180905 47.63819095],0
p11,1,0.060854,3.513956,[69 10] ; [92 28],[63.91457286 15.08542714] ; [97.08542714 22.91457286],0
p3,1,0.064544,3.416604,[51 28] ; [61 58],[44.68686869 34.31313131] ; [67.31313131 51.68686869],0
s4,1,0.084488,2.976376,[20 59] ; [18 99],[15.31632653 63.68367347] ; [22.68367347 94.31632653],0
d4,1,0.086891,2.931045,[65 14] ; [86 34],[59.94472362 19.05527638] ; [91.05527638 28.94472362],0
p4,1,0.09755,2.745148,[56 23] ; [70 48],[50.52791878 28.47208122] ; [75.47208122 42.52791878],0
s5,1,0.100388,2.699367,[27 49] ; [29 89],[21.93814433 54.06185567] ; [34.06185567 83.93814433],0
u1,1,0.131256,2.27759,[12 67] ; [ 10 110],[ 8.73366834 70.26633166] ; [ 13.26633166 106.73366834],0
n1,1,0.147299,2.1,[ 7 14] ; [ 3 18],[ 5. 16.] ; [ 5. 16.],0
r4,1,0.153305,2.039052,[72  7] ; [101  19],[68.67839196 10.32160804] ; [104.32160804  15.67839196],0
p12,1,0.163603,1.940601,[ 8 70] ; [  6 113],[ 5.54314721 72.45685279] ; [  8.45685279 110.54314721],0
a7,1,0.186846,1.74231,[51 28] ; [88 32],[55.18090452 23.81909548] ; [83.81909548 36.18090452],0
u2,1,0.245217,1.350349,[16  9] ; [27 27],[13.60759494 11.39240506] ; [29.39240506 24.60759494],0
n6,1,0.259378,1.272072,[68 11] ; [95 24],[65.03535354 13.96464646] ; [97.96464646 21.03535354],0
n4,1,0.261272,1.262003,[59 20] ; [80 39],[55.45959596 23.54040404] ; [83.54040404 35.45959596],0
a2,1,0.307056,1.043298,[14 65] ; [ 15 105],[11.51256281 67.48743719] ; [ 17.48743719 102.51256281],0
a8,1,0.329064,0.952578,[12 64] ; [12 98],[ 9.80645161 66.19354839] ; [14.19354839 95.80645161],0
s1,1,0.332873,0.937687,[ 5 74] ; [  4 114],[ 3.60913706 75.39086294] ; [  5.39086294 112.60913706],0
u3,1,0.33309,0.936847,[14 11] ; [23 29],[12.01298701 12.98701299] ; [24.98701299 27.01298701],0
n5,1,0.370157,0.803137,[57 22] ; [78 40],[54.13705584 24.86294416] ; [80.86294416 37.13705584],0
a1,1,0.38577,0.752234,[ 2 77] ; [  6 114],[ 3.1758794 75.8241206] ; [  4.8241206 115.1758794],0
p10,1,0.393542,0.727971,[66 13] ; [92 25],[63.68367347 15.31632653] ; [94.31632653 22.68367347],0
a5,1,0.425739,0.63442,[55 24] ; [77 43],[52.40201005 26.59798995] ; [79.59798995 40.40201005],0
n2,1,0.449024,0.573113,[13  8] ; [16  6],[14.1627907  6.8372093] ; [14.8372093  7.1627907],0
d5,1,0.456004,0.555684,[61 18] ; [87 33],[58.75376884 20.24623116] ; [89.24623116 30.75376884],0
d3,1,0.466509,0.530232,[54 25] ; [76 44],[51.6080402 27.3919598] ; [78.3919598 41.6080402],0
p1,1,0.496552,0.462297,[ 9 70] ; [ 10 108],[ 7.61928934 71.38071066] ; [ 11.38071066 106.61928934],0
v4,1,0.50323,0.448119,[74  5] ; [114   5],[75.01010101  3.98989899] ; [112.98989899   6.01010101],0
p5,1,0.526533,0.401078,[11 68] ; [ 13 106],[ 9.57575758 69.42424242] ; [ 14.42424242 104.57575758],0
v2,1,0.567006,0.327718,[34 43] ; [46 69],[32.08333333 44.91666667] ; [47.91666667 67.08333333],0
b1,1,0.585436,0.297529,[32 47] ; [44 76],[30.17085427 48.82914573] ; [45.82914573 74.17085427],0
a6,1,0.713285,0.135018,[50 29] ; [79 41],[51.21105528 27.78894472] ; [77.78894472 42.21105528],0
r1,1,0.720806,0.127722,[61 18] ; [90 30],[59.94472362 19.05527638] ; [91.05527638 28.94472362],0
a4,1,0.758831,0.094259,[28 51] ; [40 80],[26.99497487 52.00502513] ; [41.00502513 78.99497487],0
n3,1,0.83491,0.043434,[14  7] ; [14  8],[13.6744186  7.3255814] ; [14.3255814  7.6744186],0
r2,1,0.903146,0.014808,[71  7] ; [108  10],[71.23469388  6.76530612] ; [107.76530612  10.23469388],0
r3,1,0.912811,0.011989,[74  5] ; [111   8],[73.81313131  5.18686869] ; [111.18686869   7.81313131],0
p7,1,0.967839,0.001626,[61 17] ; [91 25],[61.11340206 16.88659794] ; [90.88659794 25.11340206],0
v3,1,0.97593,0.00091,[21 57] ; [32 86],[21.09183673 56.90816327] ; [31.90816327 86.09183673],0
b4,1,0.981373,0.000545,[42 37] ; [64 56],[42.08040201 36.91959799] ; [63.91959799 56.08040201],0
