Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,1e-06,23.189705,[180  93] ; [18 39],[163.8 109.2] ; [34.2 22.8],1
p4,1,2e-06,22.304628,[163 114] ; [14 43],[146.79341317 130.20658683] ; [30.20658683 26.79341317],1
p8,1,7.5e-05,15.691587,[145 130] ; [14 44],[131.30630631 143.69369369] ; [27.69369369 30.30630631],1
s6,1,0.003486,8.533682,[182  90] ; [27 31],[172.26666667  99.73333333] ; [36.73333333 21.26666667],0
n6,1,0.006135,7.510169,[237  40] ; [41 17],[229.86865672  47.13134328] ; [48.13134328  9.86865672],0
p6,1,0.006863,7.308562,[ 98 178] ; [10 48],[ 89.24550898 186.75449102] ; [18.75449102 39.24550898],0
p11,1,0.007729,7.095194,[226  52] ; [38 20],[218.42857143  59.57142857] ; [45.57142857 12.42857143],0
p12,1,0.014559,5.969037,[ 14 263] ; [ 8 50],[ 18.19104478 258.80895522] ; [ 3.80895522 54.19104478],0
v4,1,0.014937,5.923835,[262  14] ; [50  8],[257.82035928  18.17964072] ; [54.17964072  3.82035928],0
s3,1,0.020008,5.411234,[162 113] ; [24 33],[154.06626506 120.93373494] ; [31.93373494 25.06626506],0
p3,1,0.028186,4.816654,[130 148] ; [18 40],[122.45238095 155.54761905] ; [25.54761905 32.45238095],0
s2,1,0.042487,4.115679,[138 139] ; [20 37],[131.03592814 145.96407186] ; [26.96407186 30.03592814],0
n1,1,0.054343,3.702135,[22 52] ; [11 10],[25.70526316 48.29473684] ; [ 7.29473684 13.70526316],0
s5,1,0.11471,2.488095,[ 85 184] ; [11 42],[ 80.19875776 188.80124224] ; [15.80124224 37.19875776],0
v3,1,0.116095,2.469227,[ 71 203] ; [19 33],[ 75.64417178 198.35582822] ; [14.35582822 37.64417178],0
b1,1,0.145522,2.118574,[ 92 186] ; [25 33],[ 96.80357143 181.19642857] ; [20.19642857 37.80357143],0
s7,1,0.155054,2.021812,[130 137] ; [21 34],[125.20807453 141.79192547] ; [25.79192547 29.20807453],0
v2,1,0.155228,2.020108,[111 158] ; [27 25],[115.64485981 153.35514019] ; [22.35514019 29.64485981],0
p10,1,0.174194,1.846475,[243  34] ; [47 11],[239.79104478  37.20895522] ; [50.20895522  7.79104478],0
d5,1,0.182626,1.776126,[217  60] ; [40 17],[213.14071856  63.85928144] ; [43.85928144 13.14071856],0
r1,1,0.194746,1.681341,[209  68] ; [39 19],[205.06268657  71.93731343] ; [42.93731343 15.06268657],0
d3,1,0.217801,1.518803,[197  79] ; [36 21],[193.11711712  82.88288288] ; [39.88288288 17.11711712],0
r4,1,0.230005,1.440834,[246  32] ; [48 10],[243.25  34.75] ; [50.75  7.25],0
r2,1,0.254471,1.298591,[253  21] ; [50  7],[250.82175227  23.17824773] ; [52.17824773  4.82175227],0
p5,1,0.302467,1.063286,[ 26 252] ; [ 3 55],[ 23.99404762 254.00595238] ; [ 5.00595238 52.99404762],0
n2,1,0.348498,0.87892,[53 22] ; [17  4],[54.6875 20.3125] ; [15.3125  5.6875],0
b5,1,0.35103,0.86973,[154 124] ; [36 22],[157.20238095 120.79761905] ; [32.79761905 25.20238095],0
a3,1,0.401209,0.7047,[193  85] ; [37 21],[190.29761905  87.70238095] ; [39.70238095 18.29761905],0
u2,1,0.406984,0.687594,[43 40] ; [13  8],[44.69230769 38.30769231] ; [11.30769231  9.69230769],0
a7,1,0.413557,0.668551,[201  76] ; [39 19],[198.44776119  78.55223881] ; [41.55223881 16.44776119],0
a1,1,0.470103,0.521734,[  9 269] ; [ 3 55],[  9.92857143 268.07142857] ; [ 2.07142857 55.92857143],0
n3,1,0.476033,0.507937,[55 20] ; [17  4],[56.25 18.75] ; [15.75  5.25],0
b3,1,0.484276,0.489218,[48 99] ; [ 9 25],[ 46.29281768 100.70718232] ; [10.70718232 23.29281768],0
b2,1,0.484276,0.489218,[48 99] ; [ 9 25],[ 46.29281768 100.70718232] ; [10.70718232 23.29281768],0
d1,1,0.516265,0.421348,[150 128] ; [34 24],[152.23809524 125.76190476] ; [31.76190476 26.23809524],0
s8,1,0.520699,0.412509,[108 169] ; [20 38],[105.83880597 171.16119403] ; [22.16119403 35.83880597],0
a5,1,0.545159,0.366061,[198  80] ; [39 19],[196.08928571  81.91071429] ; [40.91071429 17.08928571],0
d2,1,0.552099,0.35357,[122 156] ; [27 29],[124.01796407 153.98203593] ; [24.98203593 31.01796407],0
s1,1,0.560585,0.338693,[ 10 266] ; [ 3 54],[ 10.77477477 265.22522523] ; [ 2.22522523 54.77477477],0
u1,1,0.578694,0.308352,[ 40 238] ; [10 48],[ 41.36904762 236.63095238] ; [ 8.63095238 49.36904762],0
a2,1,0.580373,0.305631,[ 58 220] ; [14 44],[ 59.57142857 218.42857143] ; [12.42857143 45.57142857],0
r3,1,0.58051,0.305412,[261  14] ; [54  4],[260.13513514  14.86486486] ; [54.86486486  3.13513514],0
u3,1,0.627704,0.235188,[40 42] ; [ 9 12],[39.00970874 42.99029126] ; [ 9.99029126 11.00970874],0
a4,1,0.700928,0.147509,[117 161] ; [26 32],[118.31547619 159.68452381] ; [24.68452381 33.31547619],0
p1,1,0.706516,0.141782,[ 20 258] ; [ 5 53],[ 20.68452381 257.31547619] ; [ 4.31547619 53.68452381],0
