Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,1.5e-05,18.760635,[12 59] ; [18 12],[21.08910891 49.91089109] ; [ 8.91089109 21.08910891],1
s3,1,0.003045,8.780067,[19 51] ; [17 12],[25.45454545 44.54545455] ; [10.54545455 18.45454545],0
p4,1,0.00488,7.923443,[11 58] ; [13 18],[16.56 52.44] ; [ 7.44 23.56],0
v3,1,0.010326,6.57778,[11 57] ; [12 18],[15.95918367 52.04081633] ; [ 7.04081633 22.95918367],0
p9,1,0.01197,6.31536,[25 42] ; [20 11],[30.76530612 36.23469388] ; [14.23469388 16.76530612],0
s7,1,0.013649,6.082991,[12 53] ; [12 16],[16.77419355 48.22580645] ; [ 7.22580645 20.77419355],0
s6,1,0.016149,5.786589,[21 50] ; [16 13],[26.27 44.73] ; [10.73 18.27],0
p11,1,0.020996,5.327119,[26 45] ; [19 12],[31.32352941 39.67647059] ; [13.67647059 17.32352941],0
n2,1,0.021421,5.292173,[18 15] ; [11  1],[21.26666667 11.73333333] ; [7.73333333 4.26666667],0
r1,1,0.027131,4.882483,[36 35] ; [23  8],[41.06862745 29.93137255] ; [17.93137255 13.06862745],0
s8,1,0.030432,4.684719,[12 59] ; [11 19],[16.16831683 54.83168317] ; [ 6.83168317 23.16831683],0
n1,1,0.042254,4.125,[13 19] ; [9 3],[16. 16.] ; [6. 6.],0
r2,1,0.043924,4.059466,[53 16] ; [29  2],[56.58 12.42] ; [25.42  5.58],0
p8,1,0.050098,3.838179,[ 9 61] ; [ 9 22],[12.47524752 57.52475248] ; [ 5.52475248 25.47524752],0
v4,1,0.051725,3.784643,[46 25] ; [26  5],[50.11764706 20.88235294] ; [21.88235294  9.11764706],0
s5,1,0.055616,3.663526,[ 9 60] ; [ 8 19],[12.21875 56.78125] ; [ 4.78125 22.21875],0
a4,1,0.074791,3.174603,[24 46] ; [16 14],[28. 42.] ; [12. 18.],0
p10,1,0.083042,3.004335,[23 46] ; [16 15],[26.91 42.09] ; [12.09 18.91],0
s4,1,0.119198,2.42783,[ 8 63] ; [ 7 23],[10.54455446 60.45544554] ; [ 4.45544554 25.54455446],0
p6,1,0.122404,2.386284,[ 6 64] ; [ 6 25],[ 8.31683168 61.68316832] ; [ 3.68316832 27.31683168],0
p7,1,0.125939,2.341862,[14 56] ; [10 19],[16.96969697 53.03030303] ; [ 7.03030303 21.96969697],0
r4,1,0.146228,2.111159,[42 29] ; [23  8],[45.24509804 25.75490196] ; [19.75490196 11.24509804],0
u3,1,0.147299,2.1,[14 18] ; [7 3],[16. 16.] ; [5. 5.],0
a2,1,0.153192,2.040177,[10 61] ; [ 8 23],[12.52941176 58.47058824] ; [ 5.47058824 25.52941176],0
a3,1,0.181449,1.785714,[39 31] ; [21  9],[42. 28.] ; [18. 12.],0
b3,1,0.195648,1.67457,[15 32] ; [11 12],[17.45714286 29.54285714] ; [ 8.54285714 14.45714286],0
b2,1,0.195648,1.67457,[15 32] ; [11 12],[17.45714286 29.54285714] ; [ 8.54285714 14.45714286],0
n3,1,0.196243,1.670118,[16 14] ; [9 3],[17.85714286 12.14285714] ; [7.14285714 4.85714286],0
b1,1,0.227259,1.457937,[39 32] ; [13 18],[36.19607843 34.80392157] ; [15.80392157 15.19607843],0
