Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.047725,3.919631,[ 2 21] ; [4 7],[ 4.05882353 18.94117647] ; [1.94117647 9.05882353],0
p6,1,0.059329,3.556034,[ 1 21] ; [3 8],[ 2.66666667 19.33333333] ; [1.33333333 9.66666667],0
r3,1,0.132725,2.260334,[12 11] ; [8 2],[13.93939394  9.06060606] ; [6.06060606 3.93939394],0
n6,1,0.138011,2.2,[14  8] ; [4 7],[12. 10.] ; [6. 5.],0
n3,1,0.149073,2.081713,[5 7] ; [4 1],[6.35294118 5.64705882] ; [2.64705882 2.35294118],0
n1,1,0.168843,1.893182,[3 9] ; [3 2],[4.23529412 7.76470588] ; [1.76470588 3.23529412],0
p11,1,0.171301,1.871521,[11 12] ; [8 3],[12.85294118 10.14705882] ; [6.14705882 4.85294118],0
n5,1,0.175926,1.831705,[16  7] ; [5 6],[14.20588235  8.79411765] ; [6.79411765 4.20588235],0
u3,1,0.179712,1.8,[ 1 11] ; [2 4],[ 2. 10.] ; [1. 5.],0
p10,1,0.213024,1.550752,[11 11] ; [8 3],[12.66666667  9.33333333] ; [6.33333333 4.66666667],0
d3,1,0.258765,1.275352,[ 6 17] ; [5 6],[ 7.44117647 15.55882353] ; [3.55882353 7.44117647],0
s7,1,0.338352,0.916667,[ 5 17] ; [ 1 10],[ 4. 18.] ; [2. 9.],0
d2,1,0.365437,0.819123,[ 5 18] ; [ 1 10],[ 4.05882353 18.94117647] ; [1.94117647 9.05882353],0
s4,1,0.365437,0.819123,[ 5 18] ; [ 1 10],[ 4.05882353 18.94117647] ; [1.94117647 9.05882353],0
p3,1,0.365437,0.819123,[ 5 18] ; [ 1 10],[ 4.05882353 18.94117647] ; [1.94117647 9.05882353],0
r1,1,0.365862,0.817672,[ 5 18] ; [4 7],[ 6.08823529 16.91176471] ; [2.91176471 8.08823529],0
n4,1,0.387556,0.746596,[12 11] ; [4 7],[10.82352941 12.17647059] ; [5.17647059 5.82352941],0
s6,1,0.391249,0.735058,[ 7 16] ; [5 6],[ 8.11764706 14.88235294] ; [3.88235294 7.11764706],0
a1,1,0.421885,0.645059,[ 2 21] ; [2 9],[ 2.70588235 20.29411765] ; [1.29411765 9.70588235],0
s5,1,0.421885,0.645059,[ 2 21] ; [2 9],[ 2.70588235 20.29411765] ; [1.29411765 9.70588235],0
v1,1,0.44868,0.573983,[ 7 16] ; [2 9],[ 6.08823529 16.91176471] ; [2.91176471 8.08823529],0
u2,1,0.494125,0.467532,[4 8] ; [3 3],[4.66666667 7.33333333] ; [2.33333333 3.66666667],0
p4,1,0.498495,0.458139,[ 9 14] ; [3 8],[ 8.11764706 14.88235294] ; [3.88235294 7.11764706],0
a8,1,0.515579,0.422727,[ 2 18] ; [2 9],[ 2.58064516 17.41935484] ; [1.41935484 9.58064516],0
v4,1,0.545285,0.365832,[10 13] ; [6 5],[10.82352941 12.17647059] ; [5.17647059 5.82352941],0
p7,1,0.545285,0.365832,[10 13] ; [6 5],[10.82352941 12.17647059] ; [5.17647059 5.82352941],0
a5,1,0.549141,0.358859,[ 8 15] ; [5 6],[ 8.79411765 14.20588235] ; [4.20588235 6.79411765],0
b1,1,0.549141,0.358859,[15  8] ; [6 5],[14.20588235  8.79411765] ; [6.79411765 4.20588235],0
p12,1,0.582399,0.302372,[ 1 22] ; [ 1 10],[ 1.35294118 21.64705882] ; [ 0.64705882 10.35294118],0
s2,1,0.661461,0.191754,[ 8 15] ; [3 8],[ 7.44117647 15.55882353] ; [3.55882353 7.44117647],0
s8,1,0.721948,0.126634,[ 5 18] ; [3 8],[ 5.41176471 17.58823529] ; [2.58823529 8.41176471],0
s1,1,0.73789,0.111989,[ 3 20] ; [ 1 10],[ 2.70588235 20.29411765] ; [1.29411765 9.70588235],0
p8,1,0.774622,0.081988,[ 8 15] ; [4 6],[ 8.36363636 14.63636364] ; [3.63636364 6.36363636],0
p9,1,0.803316,0.06203,[13  9] ; [6 5],[12.66666667  9.33333333] ; [6.33333333 4.66666667],0
b2,1,0.827472,0.0475,[ 3 12] ; [1 3],[ 3.15789474 11.84210526] ; [0.84210526 3.15789474],0
b3,1,0.827472,0.0475,[ 3 12] ; [1 3],[ 3.15789474 11.84210526] ; [0.84210526 3.15789474],0
b4,1,0.896876,0.016798,[12 11] ; [6 5],[12.17647059 10.82352941] ; [5.82352941 5.17647059],0
b5,1,0.896876,0.016798,[12 11] ; [6 5],[12.17647059 10.82352941] ; [5.82352941 5.17647059],0
p5,1,0.904656,0.014348,[ 2 21] ; [1 9],[ 2.09090909 20.90909091] ; [0.90909091 9.09090909],0
a3,1,0.908575,0.013187,[11 12] ; [5 5],[11.15151515 11.84848485] ; [4.84848485 5.15151515],0
d4,1,0.91354,0.011788,[10 13] ; [5 6],[10.14705882 12.85294118] ; [4.85294118 6.14705882],0
p2,1,0.91354,0.011788,[13 10] ; [6 5],[12.85294118 10.14705882] ; [6.14705882 4.85294118],0
a6,1,0.92809,0.008145,[ 8 15] ; [4 7],[ 8.11764706 14.88235294] ; [3.88235294 7.11764706],0
s3,1,0.941553,0.005375,[ 6 17] ; [3 8],[ 6.08823529 16.91176471] ; [2.91176471 8.08823529],0
n2,1,0.949272,0.004048,[7 5] ; [3 2],[7.05882353 4.94117647] ; [2.94117647 2.05882353],0
a4,1,0.954891,0.0032,[ 4 19] ; [2 9],[ 4.05882353 18.94117647] ; [1.94117647 9.05882353],0
v2,1,1.0,0.0,[ 4 18] ; [2 9],[ 4. 18.] ; [2. 9.],0
