Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,36.225,[ 14 101] ; [56 59],[35. 80.] ; [35. 80.],1
v1,1,1.2e-05,19.0923,[40 75] ; [72 41],[56.49122807 58.50877193] ; [55.50877193 57.49122807],1
d1,1,0.001326,10.305385,[53 64] ; [78 40],[65.2212766 51.7787234] ; [65.7787234 52.2212766],0
n3,1,0.00287,8.888164,[19 18] ; [25  4],[24.66666667 12.33333333] ; [19.33333333  9.66666667],0
a5,1,0.014678,5.954757,[72 45] ; [90 28],[80.65531915 36.34468085] ; [81.34468085 36.65531915],0
r3,1,0.015537,5.854532,[104  12] ; [114   3],[108.53218884   7.46781116] ; [109.46781116   7.53218884],0
r1,1,0.017783,5.617404,[78 39] ; [94 23],[86. 31.] ; [86. 31.],0
s4,1,0.024199,5.080342,[23 93] ; [ 11 106],[16.92703863 99.07296137] ; [17.07296137 99.92703863],0
a7,1,0.025507,4.989103,[79 38] ; [94 23],[86.5 30.5] ; [86.5 30.5],0
p12,1,0.031095,4.647728,[  3 112] ; [ 11 107],[  6.90987124 108.09012876] ; [  7.09012876 110.90987124],0
d5,1,0.044952,4.020432,[88 29] ; [101  17],[94.09787234 22.90212766] ; [94.90212766 23.09787234],0
s6,1,0.045211,4.010757,[61 55] ; [76 40],[68.5 47.5] ; [68.5 47.5],0
s8,1,0.063367,3.446987,[32 85] ; [45 71],[38.66523605 78.33476395] ; [38.33476395 77.66523605],0
n2,1,0.079457,3.075975,[23 14] ; [23  5],[26.18461538 10.81538462] ; [19.81538462  8.18461538],0
p11,1,0.097033,2.753639,[80 37] ; [92 26],[85.63404255 31.36595745] ; [86.36595745 31.63404255],0
r4,1,0.108022,2.582919,[93 24] ; [103  15],[97.58297872 19.41702128] ; [98.41702128 19.58297872],0
d2,1,0.131947,2.269448,[48 69] ; [59 57],[53.72961373 63.27038627] ; [53.27038627 62.72961373],0
d4,1,0.141962,2.156559,[89 28] ; [98 19],[93.5 23.5] ; [93.5 23.5],0
r2,1,0.149033,2.082124,[103  13] ; [111   7],[106.08547009   9.91452991] ; [107.91452991  10.08547009],0
a3,1,0.156663,2.006143,[71 46] ; [82 36],[76.17446809 40.82553191] ; [76.82553191 41.17446809],0
n4,1,0.168262,1.898361,[82 35] ; [92 26],[86.62978723 30.37021277] ; [87.37021277 30.62978723],0
p4,1,0.170188,1.881286,[52 65] ; [63 55],[57.25531915 59.74468085] ; [57.74468085 60.25531915],0
b3,1,0.217392,1.521507,[18 44] ; [26 40],[21.3125 40.6875] ; [22.6875 43.3125],0
b2,1,0.217392,1.521507,[18 44] ; [26 40],[21.3125 40.6875] ; [22.6875 43.3125],0
p9,1,0.240381,1.378355,[93 24] ; [99 17],[96.41201717 20.58798283] ; [95.58798283 20.41201717],0
b1,1,0.248413,1.332205,[43 74] ; [35 83],[38.83404255 78.16595745] ; [39.16595745 78.83404255],0
