Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,2.1e-05,18.077922,[ 6 52] ; [15 14],[14. 44.] ; [ 7. 22.],1
p6,1,0.000247,13.433985,[ 1 55] ; [ 8 21],[ 5.92941176 50.07058824] ; [ 3.07058824 25.92941176],1
p4,1,0.000436,12.373361,[10 48] ; [16 14],[17.13636364 40.86363636] ; [ 8.86363636 21.13636364],1
b3,1,0.006188,7.494824,[14 18] ; [ 1 16],[ 9.79591837 22.20408163] ; [ 5.20408163 11.79591837],0
b2,1,0.006188,7.494824,[14 18] ; [ 1 16],[ 9.79591837 22.20408163] ; [ 5.20408163 11.79591837],0
p2,1,0.006319,7.457143,[24 34] ; [21  8],[30. 28.] ; [15. 14.],0
b4,1,0.015163,5.897389,[38 20] ; [12 19],[32.58426966 25.41573034] ; [17.41573034 13.58426966],0
b5,1,0.018416,5.556111,[26 32] ; [22  9],[31.28089888 26.71910112] ; [16.71910112 14.28089888],0
p3,1,0.027823,4.838991,[ 9 48] ; [11 19],[13.10344828 43.89655172] ; [ 6.89655172 23.10344828],0
d1,1,0.036246,4.385483,[24 34] ; [ 6 25],[19.5505618 38.4494382] ; [10.4494382 20.5505618],0
s2,1,0.067938,3.332149,[ 8 50] ; [ 9 21],[11.20454545 46.79545455] ; [ 5.79545455 24.20454545],0
p5,1,0.081183,3.041062,[ 2 56] ; [ 4 26],[ 3.95454545 54.04545455] ; [ 2.04545455 27.95454545],0
s6,1,0.082919,3.006739,[13 45] ; [12 18],[16.47727273 41.52272727] ; [ 8.52272727 21.47727273],0
n3,1,0.100367,2.699704,[12 15] ; [10  4],[14.48780488 12.51219512] ; [7.51219512 6.48780488],0
d5,1,0.125612,2.345918,[36 22] ; [14 17],[32.58426966 25.41573034] ; [17.41573034 13.58426966],0
v1,1,0.14027,2.175,[15 43] ; [12 17],[18. 40.] ; [ 9. 20.],0
p10,1,0.146669,2.106559,[23 34] ; [17 13],[26.20689655 30.79310345] ; [13.79310345 16.20689655],0
p11,1,0.170082,1.882216,[23 35] ; [17 14],[26.06741573 31.93258427] ; [13.93258427 17.06741573],0
p9,1,0.184001,1.76501,[26 30] ; [19 12],[28.96551724 27.03448276] ; [16.03448276 14.96551724],0
u2,1,0.196706,1.666667,[10 20] ; [8 7],[12. 18.] ; [6. 9.],0
s1,1,0.196773,1.666165,[ 3 55] ; [ 4 27],[ 4.56179775 53.43820225] ; [ 2.43820225 28.56179775],0
p1,1,0.215691,1.53281,[ 9 49] ; [ 2 29],[ 7.16853933 50.83146067] ; [ 3.83146067 27.16853933],0
s8,1,0.224028,1.478383,[ 2 56] ; [ 3 28],[ 3.25842697 54.74157303] ; [ 1.74157303 29.25842697],0
r3,1,0.230142,1.439981,[26 30] ; [18 12],[28.65116279 27.34883721] ; [15.34883721 14.65116279],0
s3,1,0.26519,1.241462,[12 45] ; [ 9 19],[14.08235294 42.91764706] ; [ 6.91764706 21.08235294],0
r1,1,0.329212,0.951995,[15 43] ; [ 5 25],[13.18181818 44.81818182] ; [ 6.81818182 23.18181818],0
b1,1,0.378621,0.775174,[28 30] ; [18 13],[29.97752809 28.02247191] ; [16.02247191 14.97752809],0
s4,1,0.395326,0.722496,[ 6 52] ; [ 5 25],[ 7.25 50.75] ; [ 3.75 26.25],0
u1,1,0.419349,0.65214,[ 3 55] ; [ 3 28],[ 3.91011236 54.08988764] ; [ 2.08988764 28.91011236],0
n5,1,0.427512,0.629573,[35 23] ; [16 15],[33.23595506 24.76404494] ; [17.76404494 13.23595506],0
a1,1,0.44218,0.590618,[ 9 49] ; [ 3 28],[ 7.82022472 50.17977528] ; [ 4.17977528 26.82022472],0
n6,1,0.448915,0.573389,[32 26] ; [14 16],[30.31818182 27.68181818] ; [15.68181818 14.31818182],0
d3,1,0.455418,0.557132,[30 28] ; [13 17],[28.34090909 29.65909091] ; [14.65909091 15.34090909],0
v3,1,0.5054,0.443579,[11 47] ; [ 4 26],[ 9.88636364 48.11363636] ; [ 5.11363636 24.88636364],0
a2,1,0.540669,0.374301,[ 6 52] ; [ 2 29],[ 5.21348315 52.78651685] ; [ 2.78651685 28.21348315],0
n4,1,0.541251,0.373227,[32 26] ; [15 16],[30.62921348 27.37078652] ; [16.37078652 14.62921348],0
a4,1,0.563755,0.333245,[20 37] ; [ 9 22],[18.78409091 38.21590909] ; [10.21590909 20.78409091],0
n2,1,0.5848,0.298539,[13 14] ; [8 6],[13.82926829 13.17073171] ; [7.17073171 6.82926829],0
r2,1,0.585923,0.296757,[33 24] ; [15 14],[31.81395349 25.18604651] ; [16.18604651 12.81395349],0
d2,1,0.608973,0.261673,[23 33] ; [11 20],[21.88505747 34.11494253] ; [12.11494253 18.88505747],0
s5,1,0.610052,0.260099,[ 8 50] ; [ 3 27],[ 7.25 50.75] ; [ 3.75 26.25],0
p12,1,0.631134,0.230527,[ 1 57] ; [ 1 29],[ 1.31818182 56.68181818] ; [ 0.68181818 29.31818182],0
n1,1,0.691345,0.157633,[ 8 19] ; [5 9],[ 8.56097561 18.43902439] ; [4.43902439 9.56097561],0
a7,1,0.72229,0.126309,[29 28] ; [17 14],[29.79545455 27.20454545] ; [16.20454545 14.79545455],0
d4,1,0.759829,0.093456,[35 22] ; [18 13],[34.32954545 22.67045455] ; [18.67045455 12.32954545],0
v4,1,0.759839,0.093448,[32 26] ; [17 12],[32.66666667 25.33333333] ; [16.33333333 12.66666667],0
a8,1,0.83661,0.042532,[ 3 51] ; [ 2 28],[ 3.21428571 50.78571429] ; [ 1.78571429 28.21428571],0
v2,1,0.871091,0.026332,[18 37] ; [10 19],[18.33333333 36.66666667] ; [ 9.66666667 19.33333333],0
a6,1,0.900223,0.01572,[27 31] ; [14 17],[26.71910112 31.28089888] ; [14.28089888 16.71910112],0
u3,1,0.902418,0.015033,[ 8 22] ; [ 4 12],[ 7.82608696 22.17391304] ; [ 4.17391304 11.82608696],0
a3,1,0.938,0.00605,[28 29] ; [15 15],[28.17241379 28.82758621] ; [14.82758621 15.17241379],0
a5,1,0.975945,0.000909,[26 32] ; [14 17],[26.06741573 31.93258427] ; [13.93258427 17.06741573],0
