Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,26.016218,[53  4] ; [33 32],[40.18032787 16.81967213] ; [45.81967213 19.18032787],1
r4,1,0.000146,14.41866,[45 12] ; [30 36],[34.75609756 22.24390244] ; [40.24390244 25.75609756],1
n6,1,0.000162,14.22442,[46 10] ; [32 33],[36.09917355 19.90082645] ; [41.90082645 23.09917355],1
p9,1,0.000524,12.029257,[35 21] ; [19 43],[25.62711864 30.37288136] ; [28.37288136 33.62711864],1
p10,1,0.00116,10.553757,[34 23] ; [19 44],[25.175 31.825] ; [27.825 35.175],0
s6,1,0.013933,6.046629,[23 34] ; [13 52],[16.81967213 40.18032787] ; [19.18032787 45.81967213],0
p3,1,0.021487,5.28687,[20 37] ; [11 54],[14.48360656 42.51639344] ; [16.51639344 48.48360656],0
u2,1,0.024505,5.058528,[15  9] ; [ 8 18],[11.04 12.96] ; [11.96 14.04],0
s8,1,0.025853,4.965854,[15 42] ; [ 7 58],[10.27868852 46.72131148] ; [11.72131148 53.27868852],0
n2,1,0.040643,4.190832,[15  4] ; [16 16],[11.54901961  7.45098039] ; [19.45098039 12.54901961],0
p4,1,0.05385,3.717358,[17 39] ; [10 54],[12.6 43.4] ; [14.4 49.6],0
n3,1,0.066307,3.372149,[13  5] ; [13 16],[9.95744681 8.04255319] ; [16.04255319 12.95744681],0
r1,1,0.075703,3.154813,[38 19] ; [33 32],[33.17213115 23.82786885] ; [37.82786885 27.17213115],0
v2,1,0.078083,3.104363,[25 28] ; [20 44],[20.38461538 32.61538462] ; [24.61538462 39.38461538],0
v4,1,0.080781,3.049112,[45 12] ; [42 23],[40.64754098 16.35245902] ; [46.35245902 18.64754098],0
a1,1,0.11861,2.435585,[ 3 54] ; [ 9 57],[ 5.56097561 51.43902439] ; [ 6.43902439 59.56097561],0
d5,1,0.11958,2.422811,[32 25] ; [46 20],[36.14634146 20.85365854] ; [41.85365854 24.14634146],0
