Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,41.154633,[190 115] ; [41 98],[158.68243243 146.31756757] ; [72.31756757 66.68243243],1
a3,1,0.0,41.096875,[232  73] ; [61 75],[202.64172336 102.35827664] ; [90.35827664 45.64172336],1
d5,1,0.0,40.216939,[261  44] ; [81 58],[234.93243243  70.06756757] ; [107.06756757  31.93243243],1
d2,1,0.0,39.5892,[163 140] ; [ 30 108],[132.60544218 170.39455782] ; [60.39455782 77.60544218],1
a4,1,0.0,37.89054,[153 149] ; [ 27 111],[123.54545455 178.45454545] ; [56.45454545 81.54545455],1
r1,1,0.0,25.415903,[257  47] ; [87 51],[236.59728507  67.40271493] ; [107.40271493  30.59728507],1
d4,1,2e-06,22.965562,[253  52] ; [85 52],[233.23529412  71.76470588] ; [104.76470588  32.23529412],1
n4,1,4e-06,21.091981,[242  62] ; [81 57],[222.15384615  81.84615385] ; [100.84615385  37.15384615],1
u1,1,1e-05,19.508668,[ 52 253] ; [  3 136],[ 37.78153153 267.21846847] ; [ 17.21846847 121.78153153],1
a6,1,2.2e-05,18.035874,[232  73] ; [78 61],[212.95045045  92.04954955] ; [97.04954955 41.95045045],1
d3,1,7.6e-05,15.655798,[218  87] ; [72 66],[199.66139955 105.33860045] ; [90.33860045 47.66139955],1
n5,1,0.000487,12.163632,[225  78] ; [79 58],[209.34545455  93.65454545] ; [94.65454545 42.34545455],1
p10,1,0.000961,10.901375,[231  68] ; [85 52],[216.70642202  82.29357798] ; [99.29357798 37.70642202],1
p4,1,0.002264,9.322439,[166 135] ; [54 83],[151.18721461 149.81278539] ; [68.81278539 68.18721461],0
p8,1,0.006271,7.470844,[157 138] ; [54 84],[143.75288684 151.24711316] ; [67.24711316 70.75288684],0
p3,1,0.009159,6.791654,[147 156] ; [49 90],[134.36199095 168.63800905] ; [61.63800905 77.36199095],0
s8,1,0.0107,6.51446,[ 81 220] ; [ 22 117],[ 70.46136364 230.53863636] ; [ 32.53863636 106.46136364],0
r4,1,0.014005,6.037547,[277  28] ; [115  24],[269.27927928  35.72072072] ; [122.72072072  16.27927928],0
p2,1,0.017132,5.682825,[244  56] ; [99 40],[234.39635535  65.60364465] ; [108.60364465  30.39635535],0
v4,1,0.021509,5.285059,[289  15] ; [123  15],[283.36651584  20.63348416] ; [128.63348416   9.36651584],0
s7,1,0.025941,4.959946,[ 83 205] ; [ 25 109],[ 73.70616114 214.29383886] ; [34.29383886 99.70616114],0
s5,1,0.041972,4.136328,[ 62 235] ; [ 17 117],[ 54.43851508 242.56148492] ; [ 24.56148492 109.43851508],0
p5,1,0.045351,4.005537,[ 33 269] ; [  7 132],[ 27.39229025 274.60770975] ; [ 12.60770975 126.39229025],0
p9,1,0.052706,3.75323,[237  62] ; [97 40],[229.05045872  69.94954128] ; [104.94954128  32.05045872],0
v2,1,0.058841,3.569762,[162 135] ; [58 72],[153.02107728 143.97892272] ; [66.97892272 63.02107728],0
n6,1,0.07451,3.180761,[247  56] ; [103  36],[239.9321267  63.0678733] ; [110.0678733  28.9321267],0
a7,1,0.076565,3.136358,[220  85] ; [88 50],[212.05417607  92.94582393] ; [95.94582393 42.05417607],0
b1,1,0.088251,2.905986,[120 185] ; [43 96],[111.97072072 193.02927928] ; [51.02927928 87.97072072],0
s3,1,0.091011,2.856404,[ 66 235] ; [40 96],[ 73.01144165 227.98855835] ; [ 32.98855835 103.01144165],0
r3,1,0.099249,2.717565,[283  21] ; [122  16],[278.5520362  25.4479638] ; [126.4479638  11.5520362],0
p7,1,0.102831,2.66108,[181 118] ; [71 65],[173.2137931 125.7862069] ; [78.7862069 57.2137931],0
v1,1,0.106686,2.602633,[149 150] ; [56 79],[141.23271889 157.76728111] ; [63.76728111 71.23271889],0
s1,1,0.116587,2.462582,[  4 296] ; [  5 133],[  6.16438356 293.83561644] ; [  2.83561644 135.16438356],0
s6,1,0.177254,1.820501,[139 159] ; [54 82],[132.52073733 165.47926267] ; [60.47926267 75.52073733],0
n2,1,0.192358,1.699462,[54 22] ; [23 16],[50.88695652 25.11304348] ; [26.11304348 12.88695652],0
p11,1,0.246268,1.344351,[235  70] ; [100  39],[230.12387387  74.87612613] ; [104.87612613  34.12387387],0
p12,1,0.258284,1.277929,[ 13 285] ; [  3 135],[ 10.93577982 287.06422018] ; [  5.06422018 132.93577982],0
a1,1,0.324576,0.970416,[ 15 290] ; [  4 135],[ 13.0518018 291.9481982] ; [  5.9481982 133.0518018],0
b2,1,0.35371,0.860103,[ 73 116] ; [23 48],[ 69.78461538 119.21538462] ; [26.21538462 44.78461538],0
b3,1,0.35371,0.860103,[ 73 116] ; [23 48],[ 69.78461538 119.21538462] ; [26.21538462 44.78461538],0
s4,1,0.441378,0.592696,[ 31 270] ; [ 11 127],[ 28.79726651 272.20273349] ; [ 13.20273349 124.79726651],0
u2,1,0.564244,0.332409,[34 38] ; [40 37],[35.75838926 36.24161074] ; [38.24161074 38.75838926],0
p1,1,0.61411,0.254233,[ 26 276] ; [ 10 129],[ 24.65306122 277.34693878] ; [ 11.34693878 127.65306122],0
b5,1,0.624054,0.240211,[179 126] ; [85 54],[181.35135135 123.64864865] ; [82.64864865 56.35135135],0
n3,1,0.699664,0.148822,[49 22] ; [29 11],[49.89189189 21.10810811] ; [28.10810811 11.89189189],0
n1,1,0.752356,0.099562,[27 46] ; [16 24],[27.77876106 45.22123894] ; [15.22123894 24.77876106],0
v3,1,0.769305,0.086015,[103 189] ; [46 90],[101.65420561 190.34579439] ; [47.34579439 88.65420561],0
u4,1,0.784692,0.074643,[  3 302] ; [  1 138],[  2.74774775 302.25225225] ; [  1.25225225 137.74774775],0
p6,1,0.844341,0.038551,[ 86 212] ; [38 98],[ 85.14285714 212.85714286] ; [38.85714286 97.14285714],0
a8,1,0.889866,0.019175,[ 28 242] ; [ 13 118],[ 27.60598504 242.39401496] ; [ 13.39401496 117.60598504],0
u3,1,0.92435,0.009017,[38 35] ; [40 38],[37.70860927 35.29139073] ; [40.29139073 37.70860927],0
b4,1,0.986199,0.000299,[178 127] ; [81 58],[177.91666667 127.08333333] ; [81.08333333 57.91666667],0
