Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.00241,9.207516,[44 41] ; [25  5],[51. 34.] ; [18. 12.],0
s4,1,0.00891,6.840838,[ 8 76] ; [ 9 22],[12.4173913 71.5826087] ; [ 4.5826087 26.4173913],0
p10,1,0.009712,6.687063,[64 20] ; [31  1],[68.79310345 15.20689655] ; [26.20689655  5.79310345],0
p5,1,0.014495,5.976863,[ 4 82] ; [ 6 26],[ 7.28813559 78.71186441] ; [ 2.71186441 29.28813559],0
a7,1,0.016178,5.783476,[70 14] ; [20 12],[65.17241379 18.82758621] ; [24.82758621  7.17241379],0
b5,1,0.021609,5.276974,[60 26] ; [15 17],[54.66101695 31.33898305] ; [20.33898305 11.66101695],0
d4,1,0.03497,4.446634,[66 20] ; [30  2],[69.96610169 16.03389831] ; [26.03389831  5.96610169],0
a5,1,0.056411,3.639883,[54 32] ; [26  6],[58.30508475 27.69491525] ; [21.69491525 10.30508475],0
s2,1,0.068206,3.325678,[27 58] ; [16 16],[31.23931624 53.76068376] ; [11.76068376 20.23931624],0
p8,1,0.068463,3.319499,[58 28] ; [27  5],[61.94915254 24.05084746] ; [23.05084746  8.94915254],0
d5,1,0.10928,2.564603,[66 19] ; [29  3],[69.01709402 15.98290598] ; [25.98290598  6.01709402],0
u2,1,0.118513,2.436868,[20 17] ; [3 8],[17.72916667 19.27083333] ; [5.27083333 5.72916667],0
p9,1,0.123766,2.368998,[71 15] ; [30  2],[73.61016949 12.38983051] ; [27.38983051  4.61016949],0
p1,1,0.158261,1.99076,[ 8 78] ; [ 6 26],[10.20338983 75.79661017] ; [ 3.79661017 28.20338983],0
p3,1,0.160282,1.971562,[44 42] ; [21 11],[47.37288136 38.62711864] ; [17.62711864 14.37288136],0
p4,1,0.168311,1.897925,[62 24] ; [27  5],[64.86440678 21.13559322] ; [24.13559322  7.86440678],0
b4,1,0.172047,1.865013,[50 36] ; [23  9],[53.20338983 32.79661017] ; [19.79661017 12.20338983],0
s8,1,0.203764,1.615188,[22 64] ; [12 20],[24.77966102 61.22033898] ; [ 9.22033898 22.77966102],0
p7,1,0.208345,1.582888,[68 16] ; [29  3],[70.24137931 13.75862069] ; [26.75862069  5.24137931],0
v2,1,0.226849,1.460512,[48 35] ; [14 17],[45.14035088 37.85964912] ; [16.85964912 14.14035088],0
d3,1,0.229488,1.444033,[56 28] ; [25  7],[58.65517241 25.34482759] ; [22.34482759  9.65517241],0
s3,1,0.254462,1.298639,[33 53] ; [16 16],[35.71186441 50.28813559] ; [13.28813559 18.71186441],0
a6,1,0.258961,1.274301,[58 28] ; [18 14],[55.38983051 30.61016949] ; [20.61016949 11.38983051],0
n5,1,0.29492,1.097023,[61 24] ; [26  6],[63.20512821 21.79487179] ; [23.79487179  8.20512821],0
r3,1,0.294976,1.096772,[84  2] ; [30  2],[83.08474576  2.91525424] ; [30.91525424  1.08474576],0
p12,1,0.311596,1.023897,[ 6 80] ; [ 4 27],[ 7.35042735 78.64957265] ; [ 2.64957265 28.35042735],0
r2,1,0.322452,0.978974,[77  7] ; [31  1],[78.20689655  5.79310345] ; [29.79310345  2.20689655],0
v1,1,0.327347,0.959364,[44 40] ; [20 12],[46.34482759 37.65517241] ; [17.65517241 14.34482759],0
v4,1,0.335405,0.927917,[79  7] ; [31  1],[80.16949153  5.83050847] ; [29.83050847  2.16949153],0
p11,1,0.342377,0.90151,[72 14] ; [29  3],[73.61016949 12.38983051] ; [27.38983051  4.61016949],0
n3,1,0.349445,0.87547,[14  5] ; [2 2],[13.2173913  5.7826087] ; [2.7826087 1.2173913],0
d1,1,0.395211,0.72285,[49 37] ; [21 11],[51.01694915 34.98305085] ; [18.98305085 13.01694915],0
a3,1,0.395211,0.72285,[49 37] ; [21 11],[51.01694915 34.98305085] ; [18.98305085 13.01694915],0
s1,1,0.474361,0.5118,[ 1 83] ; [ 1 31],[ 1.44827586 82.55172414] ; [ 0.55172414 31.44827586],0
n6,1,0.501015,0.452786,[70 15] ; [28  4],[71.1965812 13.8034188] ; [26.8034188  5.1965812],0
a1,1,0.507924,0.438341,[ 3 83] ; [ 2 30],[ 3.6440678 82.3559322] ; [ 1.3559322 30.6440678],0
n4,1,0.508043,0.438096,[62 24] ; [25  7],[63.40677966 22.59322034] ; [23.59322034  8.40677966],0
n1,1,0.549185,0.358779,[ 5 14] ; [2 3],[ 5.54166667 13.45833333] ; [1.45833333 3.54166667],0
n2,1,0.549185,0.358779,[14  5] ; [3 2],[13.45833333  5.54166667] ; [3.54166667 1.45833333],0
b2,1,0.575249,0.313978,[20 24] ; [ 8 13],[18.95384615 25.04615385] ; [ 9.04615385 11.95384615],0
b3,1,0.575249,0.313978,[20 24] ; [ 8 13],[18.95384615 25.04615385] ; [ 9.04615385 11.95384615],0
a4,1,0.608623,0.262185,[38 47] ; [16 16],[39.23076923 45.76923077] ; [14.76923077 17.23076923],0
b1,1,0.62495,0.238972,[36 50] ; [15 17],[37.16949153 48.83050847] ; [13.83050847 18.16949153],0
u3,1,0.670665,0.180825,[17 19] ; [6 5],[17.61702128 18.38297872] ; [5.38297872 5.61702128],0
a8,1,0.725295,0.123476,[ 9 68] ; [ 3 29],[ 8.47706422 68.52293578] ; [ 3.52293578 28.47706422],0
p2,1,0.753626,0.098509,[77  9] ; [28  4],[76.52542373  9.47457627] ; [28.47457627  3.52542373],0
r1,1,0.772776,0.083374,[65 21] ; [25  7],[65.59322034 20.40677966] ; [24.40677966  7.59322034],0
d2,1,0.788933,0.071662,[40 46] ; [14 18],[39.3559322 46.6440678] ; [14.6440678 17.3559322],0
a2,1,0.793648,0.068422,[18 68] ; [ 6 26],[17.49152542 68.50847458] ; [ 6.50847458 25.49152542],0
u1,1,0.81819,0.052842,[12 74] ; [ 5 27],[12.38983051 73.61016949] ; [ 4.61016949 27.38983051],0
v3,1,0.990255,0.000149,[24 59] ; [ 9 22],[24.02631579 58.97368421] ; [ 8.97368421 22.02631579],0
