Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r2,1,0.0,36.544648,[320   9] ; [6 4],[316.38348083  12.61651917] ; [9.61651917 0.38348083],1
r4,1,0.0,26.66497,[318  13] ; [6 4],[314.49853372  16.50146628] ; [9.50146628 0.49853372],1
r1,1,0.002269,9.318237,[283  48] ; [5 5],[279.5542522  51.4457478] ; [8.4457478 1.5542522],0
p9,1,0.007082,7.252063,[281  42] ; [5 4],[278.24698795  44.75301205] ; [7.75301205 1.24698795],0
p2,1,0.032322,4.581361,[278  49] ; [6 4],[275.5727003  51.4272997] ; [8.4272997 1.5727003],0
p7,1,0.04134,4.162009,[224  95] ; [4 6],[221.06990881  97.93009119] ; [6.93009119 3.06990881],0
b4,1,0.063094,3.454123,[202 129] ; [9 1],[204.81231672 126.18768328] ; [6.18768328 3.81231672],0
v1,1,0.06453,3.416964,[222 105] ; [4 6],[219.29376855 107.70623145] ; [6.70623145 3.29376855],0
p11,1,0.06942,3.296677,[273  58] ; [6 4],[270.81818182  60.18181818] ; [8.18181818 1.81818182],0
s8,1,0.085481,2.957479,[171 155] ; [8 2],[173.67261905 152.32738095] ; [5.32738095 4.67261905],0
s5,1,0.094006,2.804408,[123 196] ; [1 8],[120.59756098 198.40243902] ; [3.40243902 5.59756098],0
a8,1,0.103912,2.644448,[ 41 253] ; [3 6],[ 42.69306931 251.30693069] ; [1.30693069 7.69306931],0
p10,1,0.109938,2.555116,[278  46] ; [6 3],[276.32432432  47.67567568] ; [7.67567568 1.32432432],0
d1,1,0.114774,2.487225,[213 118] ; [4 6],[210.63636364 120.36363636] ; [6.36363636 3.63636364],0
d3,1,0.122413,2.386168,[238  91] ; [5 5],[235.83185841  93.16814159] ; [7.16814159 2.83185841],0
a5,1,0.212637,1.55338,[254  76] ; [6 4],[252.35294118  77.64705882] ; [7.64705882 2.35294118],0
p8,1,0.24139,1.372459,[188 133] ; [4 6],[186.19939577 134.80060423] ; [5.80060423 4.19939577],0
p3,1,0.257453,1.2824,[189 137] ; [4 6],[187.25595238 138.74404762] ; [5.74404762 4.25595238],0
a4,1,0.29366,1.102765,[154 175] ; [3 7],[152.36873156 176.63126844] ; [4.63126844 5.36873156],0
a7,1,0.365958,0.817344,[240  89] ; [6 4],[238.74336283  90.25663717] ; [7.25663717 2.74336283],0
b1,1,0.374123,0.789924,[120 211] ; [5 5],[121.33431085 209.66568915] ; [3.66568915 6.33431085],0
u3,1,0.385542,0.752954,[48 34] ; [1 2],[47.27058824 34.72941176] ; [1.72941176 1.27058824],0
n5,1,0.468738,0.524951,[267  63] ; [9 1],[267.88235294  62.11764706] ; [8.11764706 1.88235294],0
p12,1,0.469348,0.523509,[ 40 285] ; [2 8],[ 40.74626866 284.25373134] ; [1.25373134 8.74626866],0
n1,1,0.558281,0.342689,[18 41] ; [1 1],[18.37704918 40.62295082] ; [0.62295082 1.37704918],0
a6,1,0.579575,0.306923,[224 104] ; [6 4],[223.19526627 104.80473373] ; [6.80473373 3.19526627],0
p5,1,0.58542,0.297554,[ 54 274] ; [1 9],[ 53.37278107 274.62721893] ; [1.62721893 8.37278107],0
n4,1,0.62096,0.24452,[278  52] ; [9 1],[278.55882353  51.44117647] ; [8.44117647 1.55882353],0
s3,1,0.64463,0.212738,[190 132] ; [6 3],[190.67069486 131.32930514] ; [5.32930514 3.67069486],0
d4,1,0.664749,0.187806,[279  49] ; [9 1],[279.47928994  48.52071006] ; [8.52071006 1.47928994],0
a3,1,0.68474,0.164839,[248  80] ; [7 3],[247.4556213  80.5443787] ; [7.5443787 2.4556213],0
b3,1,0.759567,0.093666,[ 83 127] ; [2 4],[ 82.63888889 127.36111111] ; [2.36111111 3.63888889],0
b2,1,0.759567,0.093666,[ 83 127] ; [2 4],[ 82.63888889 127.36111111] ; [2.36111111 3.63888889],0
a2,1,0.775607,0.081253,[ 86 245] ; [3 7],[ 86.39002933 244.60997067] ; [2.60997067 7.39002933],0
s7,1,0.801727,0.063058,[180 130] ; [5 3],[180.34591195 129.65408805] ; [4.65408805 3.34591195],0
s6,1,0.803938,0.06163,[227  95] ; [6 3],[226.66465257  95.33534743] ; [6.33534743 2.66465257],0
p4,1,0.806782,0.059819,[206 117] ; [6 4],[205.63363363 117.36636637] ; [6.36636637 3.63363363],0
u2,1,0.81035,0.057588,[49 33] ; [2 1],[49.2 32.8] ; [1.8 1.2],0
d5,1,0.826046,0.048301,[272  57] ; [8 2],[271.74041298  57.25958702] ; [8.25958702 1.74041298],0
d2,1,0.886943,0.020213,[172 157] ; [5 5],[171.77876106 157.22123894] ; [5.22123894 4.77876106],0
n6,1,0.902061,0.015143,[292  37] ; [9 1],[292.12094395  36.87905605] ; [8.87905605 1.12094395],0
p6,1,0.952292,0.003579,[125 195] ; [4 6],[125.09090909 194.90909091] ; [3.90909091 6.09090909],0
b5,1,0.96028,0.00248,[196 135] ; [6 4],[196.07624633 134.92375367] ; [5.92375367 4.07624633],0
p1,1,0.970161,0.001399,[ 34 294] ; [1 9],[ 33.96449704 294.03550296] ; [1.03550296 8.96449704],0
s2,1,0.995155,3.7e-05,[182 145] ; [5 4],[181.99107143 145.00892857] ; [5.00892857 3.99107143],0
v2,1,1.0,0.0,[260  65] ; [8 2],[260.  65.] ; [8. 2.],0
