Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a8,1,0.001859,9.684122,[ 10 101] ; [3 3],[12.33333333 98.66666667] ; [0.66666667 5.33333333],0
s5,1,0.003433,8.561828,[ 22 102] ; [4 2],[24.8 99.2] ; [1.2 4.8],0
v3,1,0.009703,6.688714,[39 83] ; [5 1],[41.9375 80.0625] ; [2.0625 3.9375],0
p1,1,0.024157,5.083329,[  9 116] ; [2 4],[ 10.49618321 114.50381679] ; [0.50381679 5.49618321],0
s7,1,0.061606,3.493617,[35 81] ; [4 2],[37.08196721 78.91803279] ; [1.91803279 4.08196721],0
p4,1,0.062617,3.466667,[48 77] ; [4 1],[50. 75.] ; [2. 3.],0
p3,1,0.062982,3.457073,[38 87] ; [4 2],[40.07633588 84.92366412] ; [1.92366412 4.07633588],0
s3,1,0.070559,3.269958,[57 68] ; [5 1],[59.16030534 65.83969466] ; [2.83969466 3.16030534],0
s2,1,0.104397,2.637059,[42 81] ; [4 2],[43.86046512 79.13953488] ; [2.13953488 3.86046512],0
s8,1,0.123737,2.369375,[28 96] ; [3 3],[29.56923077 94.43076923] ; [1.43076923 4.56923077],0
a5,1,0.125221,2.350768,[81 45] ; [2 4],[79.22727273 46.77272727] ; [3.77272727 2.22727273],0
d4,1,0.139419,2.184363,[95 29] ; [3 3],[93.47692308 30.52307692] ; [4.52307692 1.47692308],0
a1,1,0.203605,1.616327,[  6 120] ; [1 5],[  6.68181818 119.31818182] ; [0.31818182 5.68181818],0
p6,1,0.209863,1.572373,[ 22 102] ; [2 3],[ 23.06976744 100.93023256] ; [0.93023256 4.06976744],0
p8,1,0.327736,0.957823,[39 87] ; [3 3],[40.09090909 85.90909091] ; [1.90909091 4.09090909],0
p11,1,0.34178,0.903743,[67 59] ; [2 4],[65.86363636 60.13636364] ; [3.13636364 2.86363636],0
r2,1,0.393636,0.727682,[116   9] ; [5 1],[115.45801527   9.54198473] ; [5.54198473 0.45801527],0
s1,1,0.393636,0.727682,[  9 116] ; [1 5],[  9.54198473 115.45801527] ; [0.45801527 5.54198473],0
a7,1,0.408616,0.682825,[83 42] ; [3 3],[82.0610687 42.9389313] ; [3.9389313 2.0610687],0
d1,1,0.447203,0.577731,[62 64] ; [2 4],[61.09090909 64.90909091] ; [2.90909091 3.09090909],0
p7,1,0.467676,0.527462,[54 70] ; [3 2],[54.79069767 69.20930233] ; [2.20930233 2.79069767],0
v1,1,0.531002,0.392474,[47 79] ; [3 3],[47.72727273 78.27272727] ; [2.27272727 3.72727273],0
a4,1,0.541368,0.37301,[47 78] ; [3 3],[47.70992366 77.29007634] ; [2.29007634 3.70992366],0
p2,1,0.586304,0.296154,[77 49] ; [3 3],[76.36363636 49.63636364] ; [3.63636364 2.36363636],0
b5,1,0.618142,0.248488,[71 55] ; [4 2],[71.59090909 54.40909091] ; [3.40909091 2.59090909],0
v2,1,0.625296,0.238494,[53 69] ; [2 4],[52.421875 69.578125] ; [2.578125 3.421875],0
b1,1,0.644679,0.212675,[72 54] ; [4 2],[72.54545455 53.45454545] ; [3.45454545 2.54545455],0
a6,1,0.671724,0.179592,[74 52] ; [3 3],[73.5 52.5] ; [3.5 2.5],0
p10,1,0.695058,0.153664,[35 90] ; [1 4],[34.61538462 90.38461538] ; [1.38461538 3.61538462],0
d5,1,0.698566,0.149968,[93 33] ; [4 2],[92.59090909 33.40909091] ; [4.40909091 1.59090909],0
d3,1,0.699269,0.149233,[74 52] ; [4 2],[74.45454545 51.54545455] ; [3.54545455 2.45454545],0
u3,1,0.732311,0.117,[31 19] ; [1 1],[30.76923077 19.23076923] ; [1.23076923 0.76923077],0
b2,1,0.749367,0.102064,[21 56] ; [2 4],[21.3373494 55.6626506] ; [1.6626506 4.3373494],0
b3,1,0.749367,0.102064,[21 56] ; [2 4],[21.3373494 55.6626506] ; [1.6626506 4.3373494],0
a3,1,0.77343,0.082881,[76 49] ; [4 2],[76.33587786 48.66412214] ; [3.66412214 2.33587786],0
u1,1,0.871051,0.026349,[ 18 108] ; [1 5],[ 18.13636364 107.86363636] ; [0.86363636 5.13636364],0
d2,1,0.923696,0.009174,[60 65] ; [3 3],[60.11450382 64.88549618] ; [2.88549618 3.11450382],0
u2,1,0.932248,0.007228,[26 23] ; [1 1],[25.94117647 23.05882353] ; [1.05882353 0.94117647],0
b4,1,0.968038,0.001606,[83 43] ; [4 2],[83.04545455 42.95454545] ; [3.95454545 2.04545455],0
