Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,1e-06,25.049526,[ 8 90] ; [19 24],[18.76595745 79.23404255] ; [ 8.23404255 34.76595745],1
p8,1,1.2e-05,19.10184,[10 89] ; [18 25],[19.52112676 79.47887324] ; [ 8.47887324 34.52112676],1
a2,1,0.004744,7.974704,[28 71] ; [ 3 40],[21.61267606 77.38732394] ; [ 9.38732394 33.61267606],0
p3,1,0.006217,7.486322,[23 75] ; [20 23],[29.88652482 68.11347518] ; [13.11347518 29.88652482],0
p4,1,0.019346,5.469986,[24 74] ; [19 24],[29.88652482 68.11347518] ; [13.11347518 29.88652482],0
v1,1,0.024849,5.03441,[28 68] ; [21 22],[33.84172662 62.15827338] ; [15.15827338 27.84172662],0
b5,1,0.025982,4.957229,[54 45] ; [32 11],[59.95774648 39.04225352] ; [26.04225352 16.95774648],0
a8,1,0.031119,4.646381,[ 5 89] ; [ 7 35],[ 8.29411765 85.70588235] ; [ 3.70588235 38.29411765],0
u1,1,0.037545,4.325504,[21 78] ; [ 3 40],[16.73239437 82.26760563] ; [ 7.26760563 35.73239437],0
a4,1,0.038644,4.276464,[55 43] ; [16 27],[49.34751773 48.65248227] ; [21.65248227 21.34751773],0
n2,1,0.051211,3.801353,[28 17] ; [11  1],[30.78947368 14.21052632] ; [8.21052632 3.78947368],0
s2,1,0.057089,3.620009,[36 63] ; [23 20],[41.13380282 57.86619718] ; [17.86619718 25.13380282],0
p10,1,0.109169,2.566204,[49 48] ; [28 15],[53.35 43.65] ; [23.65 19.35],0
p1,1,0.111265,2.53616,[10 89] ; [ 1 42],[ 7.66901408 91.33098592] ; [ 3.33098592 39.66901408],0
p5,1,0.114977,2.484441,[ 3 93] ; [ 4 38],[ 4.86956522 91.13043478] ; [ 2.13043478 39.86956522],0
v2,1,0.122763,2.381706,[43 50] ; [26 17],[47.18382353 45.81617647] ; [21.81617647 21.18382353],0
d2,1,0.144422,2.130203,[58 39] ; [20 23],[54.04285714 42.95714286] ; [23.95714286 19.04285714],0
r4,1,0.147949,2.093276,[69 30] ; [35  8],[72.50704225 26.49295775] ; [31.49295775 11.50704225],0
s3,1,0.163489,1.941654,[40 58] ; [23 20],[43.78723404 54.21276596] ; [19.21276596 23.78723404],0
p9,1,0.170618,1.877507,[50 45] ; [28 15],[53.69565217 41.30434783] ; [24.30434783 18.69565217],0
s6,1,0.252415,1.309889,[48 50] ; [25 17],[51.1 46.9] ; [21.9 20.1],0
p11,1,0.274218,1.195526,[50 49] ; [26 17],[52.98591549 46.01408451] ; [23.01408451 19.98591549],0
d3,1,0.282745,1.153847,[69 30] ; [26 17],[66.23239437 32.76760563] ; [28.76760563 14.23239437],0
a5,1,0.290554,1.117051,[71 28] ; [27 16],[68.32394366 30.67605634] ; [29.67605634 13.32394366],0
s7,1,0.307327,1.042127,[34 58] ; [19 22],[36.66165414 55.33834586] ; [16.33834586 24.66165414],0
p12,1,0.339269,0.913191,[ 6 92] ; [ 1 42],[ 4.86524823 93.13475177] ; [ 2.13475177 40.86524823],0
n5,1,0.361772,0.831733,[54 45] ; [27 16],[56.47183099 42.52816901] ; [24.52816901 18.47183099],0
r3,1,0.401534,0.703728,[82 17] ; [38  5],[83.66197183 15.33802817] ; [36.33802817  6.66197183],0
r2,1,0.428602,0.626608,[83 14] ; [38  4],[84.43884892 12.56115108] ; [36.56115108  5.43884892],0
n6,1,0.434073,0.6119,[69 30] ; [32 10],[70.91489362 28.08510638] ; [30.08510638 11.91489362],0
n4,1,0.439024,0.598832,[60 39] ; [29 14],[62.04929577 36.95070423] ; [26.95070423 16.04929577],0
u3,1,0.449024,0.573113,[16 13] ; [6 8],[14.8372093 14.1627907] ; [7.1627907 6.8372093],0
n1,1,0.45199,0.565657,[20 24] ; [4 8],[18.85714286 25.14285714] ; [5.14285714 6.85714286],0
s4,1,0.463661,0.537041,[21 76] ; [ 7 36],[19.4 77.6] ; [ 8.6 34.4],0
v4,1,0.497227,0.460851,[78 21] ; [36  7],[79.47887324 19.52112676] ; [34.52112676  8.47887324],0
b4,1,0.51692,0.420034,[61 38] ; [24 19],[59.26056338 39.73943662] ; [25.73943662 17.26056338],0
v3,1,0.528881,0.396541,[31 60] ; [12 30],[29.42105263 61.57894737] ; [13.57894737 28.42105263],0
a1,1,0.553069,0.351848,[10 89] ; [ 3 40],[ 9.06338028 89.93661972] ; [ 3.93661972 39.06338028],0
s5,1,0.567934,0.326151,[25 68] ; [13 28],[26.37313433 66.62686567] ; [11.62686567 29.37313433],0
s8,1,0.587095,0.294904,[33 66] ; [16 26],[34.40425532 64.59574468] ; [14.59574468 27.40425532],0
n3,1,0.593937,0.284238,[25 18] ; [8 4],[25.8 17.2] ; [7.2 4.8],0
u2,1,0.615735,0.251908,[18 11] ; [7 6],[17.26190476 11.73809524] ; [7.73809524 5.26190476],0
s1,1,0.647374,0.209227,[ 5 94] ; [ 3 40],[ 5.57746479 93.42253521] ; [ 2.42253521 40.57746479],0
b2,1,0.671588,0.17975,[26 37] ; [11 19],[25.06451613 37.93548387] ; [11.93548387 18.06451613],0
b3,1,0.671588,0.17975,[26 37] ; [11 19],[25.06451613 37.93548387] ; [11.93548387 18.06451613],0
a3,1,0.697206,0.151395,[70 29] ; [29 14],[69.02112676 29.97887324] ; [29.97887324 13.02112676],0
a6,1,0.871125,0.026318,[59 40] ; [25 18],[58.56338028 40.43661972] ; [25.43661972 17.56338028],0
b1,1,0.915872,0.011159,[47 52] ; [20 23],[46.71126761 52.28873239] ; [20.28873239 22.71126761],0
r1,1,0.92813,0.008136,[66 33] ; [29 14],[66.23239437 32.76760563] ; [28.76760563 14.23239437],0
d1,1,0.950382,0.003872,[65 34] ; [28 15],[64.83802817 34.16197183] ; [28.16197183 14.83802817],0
a7,1,0.950382,0.003872,[65 34] ; [28 15],[64.83802817 34.16197183] ; [28.16197183 14.83802817],0
d5,1,0.952266,0.003583,[81 18] ; [35  8],[80.87323944 18.12676056] ; [35.12676056  7.87323944],0
