Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p12,1,3.7e-05,17.004606,[ 1 53] ; [3 4],[ 3.54098361 50.45901639] ; [0.45901639 6.54098361],1
v3,1,0.001249,10.416494,[13 39] ; [6 1],[16.74576271 35.25423729] ; [2.25423729 4.74576271],0
p8,1,0.031597,4.620248,[23 31] ; [6 1],[25.67213115 28.32786885] ; [3.32786885 3.67213115],0
p6,1,0.10143,2.682915,[21 33] ; [5 2],[23.01639344 30.98360656] ; [2.98360656 4.01639344],0
s5,1,0.13253,2.262619,[15 37] ; [4 3],[16.74576271 35.25423729] ; [2.25423729 4.74576271],0
p11,1,0.14918,2.080619,[31 23] ; [6 1],[32.75409836 21.24590164] ; [4.24590164 2.75409836],0
s6,1,0.163819,1.93861,[31 22] ; [6 1],[32.68333333 20.31666667] ; [4.31666667 2.68333333],0
b1,1,0.178602,1.809216,[30 24] ; [2 5],[28.32786885 25.67213115] ; [3.67213115 3.32786885],0
n4,1,0.23326,1.420874,[34 20] ; [6 1],[35.40983607 18.59016393] ; [4.59016393 2.40983607],0
b4,1,0.285455,1.140933,[27 27] ; [5 2],[28.32786885 25.67213115] ; [3.67213115 3.32786885],0
n5,1,0.305891,1.048335,[36 18] ; [6 1],[37.18032787 16.81967213] ; [4.81967213 2.18032787],0
u3,1,0.356216,0.85119,[11 11] ; [3 1],[11.84615385 10.15384615] ; [2.15384615 1.84615385],0
a2,1,0.379976,0.770781,[ 3 51] ; [1 6],[ 3.54098361 50.45901639] ; [0.45901639 6.54098361],0
u1,1,0.379976,0.770781,[ 3 51] ; [1 6],[ 3.54098361 50.45901639] ; [0.45901639 6.54098361],0
a3,1,0.409009,0.681679,[32 22] ; [3 4],[30.98360656 23.01639344] ; [4.01639344 2.98360656],0
p3,1,0.438323,0.600667,[27 27] ; [4 2],[27.9 26.1] ; [3.1 2.9],0
s8,1,0.496897,0.461557,[19 34] ; [3 3],[19.76271186 33.23728814] ; [2.23728814 3.76271186],0
v1,1,0.525857,0.402391,[24 30] ; [4 3],[24.78688525 29.21311475] ; [3.21311475 3.78688525],0
s2,1,0.525857,0.402391,[30 24] ; [3 4],[29.21311475 24.78688525] ; [3.78688525 3.21311475],0
r3,1,0.532506,0.389607,[50  4] ; [6 1],[49.57377049  4.42622951] ; [6.42622951 0.57377049],0
a5,1,0.535184,0.384539,[32 22] ; [5 2],[32.75409836 21.24590164] ; [4.24590164 2.75409836],0
a7,1,0.596153,0.280838,[33 21] ; [5 2],[33.63934426 20.36065574] ; [4.36065574 2.63934426],0
p10,1,0.617794,0.24898,[36 18] ; [4 3],[35.40983607 18.59016393] ; [4.59016393 2.40983607],0
b5,1,0.617794,0.24898,[36 18] ; [4 3],[35.40983607 18.59016393] ; [4.59016393 2.40983607],0
a6,1,0.636375,0.223515,[30 23] ; [4 2],[30.54237288 22.45762712] ; [3.45762712 2.54237288],0
d1,1,0.654244,0.200592,[26 28] ; [4 3],[26.55737705 27.44262295] ; [3.44262295 3.55737705],0
a4,1,0.660763,0.192598,[20 34] ; [2 5],[19.47540984 34.52459016] ; [2.52459016 4.47540984],0
s1,1,0.674368,0.176535,[ 5 49] ; [1 6],[ 5.31147541 48.68852459] ; [0.68852459 6.31147541],0
s7,1,0.67882,0.171457,[21 30] ; [3 3],[21.47368421 29.52631579] ; [2.52631579 3.47368421],0
b3,1,0.697146,0.151457,[ 9 26] ; [2 4],[ 9.3902439 25.6097561] ; [1.6097561 4.3902439],0
b2,1,0.697146,0.151457,[ 9 26] ; [2 4],[ 9.3902439 25.6097561] ; [1.6097561 4.3902439],0
s4,1,0.703182,0.145183,[11 43] ; [1 6],[10.62295082 43.37704918] ; [1.37704918 5.62295082],0
p9,1,0.728957,0.120071,[35 19] ; [5 2],[35.40983607 18.59016393] ; [4.59016393 2.40983607],0
v2,1,0.745516,0.105337,[33 19] ; [4 3],[32.61016949 19.38983051] ; [4.38983051 2.61016949],0
u2,1,0.791959,0.069573,[ 9 12] ; [2 2],[ 9.24 11.76] ; [1.76 2.24],0
d5,1,0.796469,0.066522,[38 15] ; [4 2],[37.72881356 15.27118644] ; [4.27118644 1.72881356],0
d4,1,0.796469,0.066522,[38 15] ; [4 2],[37.72881356 15.27118644] ; [4.27118644 1.72881356],0
r1,1,0.800644,0.063763,[36 18] ; [5 2],[36.29508197 17.70491803] ; [4.70491803 2.29508197],0
r2,1,0.818352,0.052746,[47  6] ; [6 1],[46.81666667  6.18333333] ; [6.18333333 0.81666667],0
d2,1,0.832604,0.044674,[20 33] ; [2 4],[19.76271186 33.23728814] ; [2.23728814 3.76271186],0
r4,1,0.872807,0.02563,[45  9] ; [6 1],[45.14754098  8.85245902] ; [5.85245902 1.14754098],0
d3,1,0.895315,0.017314,[25 28] ; [3 3],[25.15254237 27.84745763] ; [2.84745763 3.15254237],0
a8,1,0.895603,0.017218,[10 43] ; [1 5],[ 9.88135593 43.11864407] ; [1.11864407 4.88135593],0
v4,1,0.922293,0.009515,[47  7] ; [6 1],[46.91803279  7.08196721] ; [6.08196721 0.91803279],0
s3,1,0.936594,0.006328,[30 24] ; [4 3],[30.09836066 23.90163934] ; [3.90163934 3.09836066],0
