Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,1e-06,23.582424,[33  7] ; [41 68],[19.86577181 20.13422819] ; [54.13422819 54.86577181],1
p8,1,0.000149,14.382606,[27 14] ; [36 77],[16.77272727 24.22727273] ; [46.22727273 66.77272727],1
p4,1,0.003743,8.404622,[26 15] ; [42 71],[18.1038961 22.8961039] ; [49.8961039 63.1038961],0
b4,1,0.006171,7.499667,[15 26] ; [70 44],[22.48387097 18.51612903] ; [62.51612903 51.48387097],0
s7,1,0.006365,7.443861,[20 19] ; [30 80],[13.08724832 25.91275168] ; [36.91275168 73.08724832],0
r3,1,0.008007,7.031879,[39  1] ; [91 23],[33.76623377  6.23376623] ; [96.23376623 17.76623377],0
a4,1,0.019159,5.4869,[10 31] ; [ 11 102],[ 5.59090909 35.40909091] ; [15.40909091 97.59090909],0
p3,1,0.021679,5.271405,[20 21] ; [33 81],[14.01935484 26.98064516] ; [38.98064516 75.01935484],0
b3,1,0.025363,4.998963,[11 15] ; [12 50],[ 6.79545455 19.20454545] ; [16.20454545 45.79545455],0
b2,1,0.025363,4.998963,[11 15] ; [12 50],[ 6.79545455 19.20454545] ; [16.20454545 45.79545455],0
r4,1,0.028826,4.778004,[35  6] ; [77 37],[29.62580645 11.37419355] ; [82.37419355 31.62580645],0
b5,1,0.03471,4.459408,[32  9] ; [68 46],[26.4516129 14.5483871] ; [73.5483871 40.4516129],0
s6,1,0.053194,3.737814,[25 15] ; [51 63],[19.74025974 20.25974026] ; [56.25974026 57.74025974],0
v4,1,0.056425,3.639467,[39  2] ; [94 19],[35.40909091  5.59090909] ; [97.59090909 15.40909091],0
p2,1,0.057095,3.619814,[34  7] ; [76 37],[29.28571429 11.71428571] ; [80.71428571 32.28571429],0
a3,1,0.057122,3.619048,[20 20] ; [37 75],[15. 25.] ; [42. 70.],0
a8,1,0.066373,3.370515,[ 8 30] ; [10 95],[ 4.78321678 33.21678322] ; [13.21678322 91.78321678],0
n1,1,0.07645,3.138807,[7 6] ; [ 9 25],[4.42553191 8.57446809] ; [11.57446809 22.42553191],0
r2,1,0.091878,2.841157,[38  3] ; [93 21],[34.6516129  6.3483871] ; [96.3483871 17.6516129],0
s8,1,0.094637,2.793678,[14 27] ; [24 90],[10.0516129 30.9483871] ; [27.9483871 86.0516129],0
n2,1,0.095083,2.786144,[11  2] ; [20 14],[8.57446809 4.42553191] ; [22.42553191 11.57446809],0
n4,1,0.119262,2.42698,[27 14] ; [59 55],[22.7483871 18.2516129] ; [63.2516129 50.7483871],0
