Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,70.922273,[ 30 103] ; [120  48],[66.27906977 66.72093023] ; [83.72093023 84.27906977],1
s2,1,0.0,66.453434,[ 21 112] ; [106  64],[55.74587459 77.25412541] ; [71.25412541 98.74587459],1
s8,1,0.0,51.5622,[ 19 115] ; [92 78],[48.92763158 85.07236842] ; [ 62.07236842 107.92763158],1
s7,1,0.0,39.963614,[ 22 101] ; [92 77],[48.02054795 74.97945205] ; [ 65.97945205 103.02054795],1
s5,1,0.0,27.213454,[ 15 115] ; [ 63 100],[34.60750853 95.39249147] ; [ 43.39249147 119.60750853],1
p9,1,3.5e-05,17.145683,[83 47] ; [139  25],[98.16326531 31.83673469] ; [123.83673469  40.16326531],1
v1,1,0.000452,12.304476,[42 91] ; [85 79],[56.87205387 76.12794613] ; [70.12794613 93.87205387],1
n6,1,0.001052,10.73335,[90 44] ; [140  28],[102.05298013  31.94701987] ; [127.94701987  40.05298013],0
v4,1,0.001182,10.518836,[111  21] ; [160   8],[119.24  12.76] ; [151.76  16.24],0
r4,1,0.002055,9.499691,[100  34] ; [150  20],[110.19736842  23.80263158] ; [139.80263158  30.19736842],0
p10,1,0.002182,9.390034,[82 50] ; [130  36],[93.90604027 38.09395973] ; [118.09395973  47.90604027],0
n2,1,0.003162,8.711569,[24 22] ; [41 10],[30.82474227 15.17525773] ; [34.17525773 16.82474227],0
r3,1,0.004085,8.245832,[114  19] ; [160   8],[121.06976744  11.93023256] ; [152.93023256  15.06976744],0
p12,1,0.00426,8.169612,[  1 132] ; [ 13 155],[  6.18604651 126.81395349] ; [  7.81395349 160.18604651],0
p7,1,0.00456,8.04631,[49 83] ; [85 73],[60.99310345 71.00689655] ; [73.00689655 84.99310345],0
s4,1,0.004813,7.948415,[ 11 123] ; [ 33 134],[ 19.58803987 114.41196013] ; [ 24.41196013 142.58803987],0
r1,1,0.010914,6.479301,[90 43] ; [136  33],[99.52980132 33.47019868] ; [126.47019868  42.52980132],0
b5,1,0.013381,6.118023,[78 56] ; [122  48],[88.15789474 45.84210526] ; [111.84210526  58.15789474],0
p2,1,0.035446,4.423549,[86 47] ; [128  41],[94.24503311 38.75496689] ; [119.75496689  49.24503311],0
a2,1,0.046358,3.968521,[ 24 110] ; [ 47 123],[ 31.29605263 102.70394737] ; [ 39.70394737 130.29605263],0
r2,1,0.04672,3.955442,[119  12] ; [160   6],[123.06060606   7.93939394] ; [155.93939394  10.06060606],0
v3,1,0.059675,3.546397,[35 93] ; [ 62 102],[42.52054795 85.47945205] ; [ 54.47945205 109.52054795],0
p11,1,0.072626,3.222645,[84 50] ; [123  47],[91.24342105 42.75657895] ; [115.75657895  54.24342105],0
u1,1,0.076512,3.137484,[ 14 120] ; [ 30 140],[ 19.39473684 114.60526316] ; [ 24.60526316 145.39473684],0
n3,1,0.082662,3.011765,[26 19] ; [38 13],[30. 15.] ; [34. 17.],0
a8,1,0.104002,2.643082,[ 13 114] ; [ 26 127],[ 17.68928571 109.31071429] ; [ 21.31071429 131.68928571],0
p6,1,0.154548,2.026782,[ 15 115] ; [ 29 137],[ 19.32432432 110.67567568] ; [ 24.67567568 141.32432432],0
v2,1,0.164561,1.931803,[63 67] ; [89 68],[68.85017422 61.14982578] ; [83.14982578 73.85017422],0
n1,1,0.170864,1.875345,[13 31] ; [22 29],[16.21052632 27.78947368] ; [18.78947368 32.21052632],0
n5,1,0.193465,1.691031,[79 54] ; [112  56],[84.39534884 48.60465116] ; [106.60465116  61.39534884],0
p5,1,0.245851,1.346726,[  3 130] ; [  8 159],[  4.87666667 128.12333333] ; [  6.12333333 160.87666667],0
d2,1,0.272674,1.203247,[70 61] ; [80 90],[65.28239203 65.71760797] ; [84.71760797 85.28239203],0
u4,1,0.274173,1.195751,[  1 133] ; [  4 166],[  2.20394737 131.79605263] ; [  2.79605263 167.20394737],0
b4,1,0.331932,0.941347,[77 57] ; [107  63],[81.10526316 52.89473684] ; [102.89473684  67.10526316],0
a5,1,0.350696,0.870937,[92 42] ; [125  45],[95.65131579 38.34868421] ; [121.34868421  48.65131579],0
u3,1,0.370423,0.802245,[17 20] ; [23 18],[18.97435897 18.02564103] ; [21.02564103 19.97435897],0
a6,1,0.371896,0.797318,[96 38] ; [113  56],[92.4290429 41.5709571] ; [116.5709571  52.4290429],0
d3,1,0.374686,0.788064,[94 39] ; [112  58],[90.42244224 42.57755776] ; [115.57755776  54.42244224],0
a3,1,0.433611,0.613133,[97 37] ; [129  40],[99.94719472 34.05280528] ; [126.05280528  42.94719472],0
