Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,150.33453,[  7 117] ; [303 145],[67.2027972 56.7972028] ; [242.7972028 205.2027972],1
d4,1,0.0,80.268509,[60 63] ; [387  61],[96.28896673 26.71103327] ; [350.71103327  97.28896673],1
d3,1,0.0,41.747252,[53 71] ; [329 118],[82.95621716 41.04378284] ; [299.04378284 147.95621716],1
a5,1,0.0,39.380244,[56 68] ; [335 113],[84.76223776 39.23776224] ; [306.23776224 141.76223776],1
d2,1,0.0,32.673822,[28 96] ; [230 217],[56.02802102 67.97197898] ; [201.97197898 245.02802102],1
a4,1,0.0,28.82737,[24 98] ; [208 238],[49.83098592 72.16901408] ; [182.16901408 263.83098592],1
a3,1,5e-06,21.01248,[62 61] ; [323 124],[83.07894737 39.92105263] ; [301.92105263 145.07894737],1
a2,1,1.9e-05,18.328875,[  9 115] ; [112 336],[26.23076923 97.76923077] ; [ 94.76923077 353.23076923],1
u1,1,5.5e-05,16.252626,[  4 120] ; [ 79 369],[ 17.99300699 106.00699301] ; [ 65.00699301 382.99300699],1
a7,1,5.9e-05,16.150267,[74 50] ; [347 100],[91.42556918 32.57443082] ; [329.57443082 117.42556918],1
r3,1,0.000599,11.780587,[107  17] ; [425  22],[115.53064799   8.46935201] ; [416.46935201  30.53064799],1
r1,1,0.001056,10.727561,[85 39] ; [366  80],[98.1122807 25.8877193] ; [352.8877193  93.1122807],0
p2,1,0.001167,10.541434,[86 38] ; [366  77],[98.85008818 25.14991182] ; [353.14991182  89.85008818],0
s6,1,0.00247,9.163051,[53 70] ; [260 185],[67.77992958 55.22007042] ; [245.22007042 199.77992958],0
a6,1,0.003401,8.578946,[73 51] ; [325 123],[86.27972028 37.72027972] ; [311.72027972 136.27972028],0
p10,1,0.003635,8.457584,[79 43] ; [344  99],[91.3380531 30.6619469] ; [331.6619469 111.3380531],0
p4,1,0.005959,7.562656,[51 71] ; [249 197],[64.43661972 57.56338028] ; [235.56338028 210.43661972],0
n4,1,0.007037,7.263414,[80 43] ; [345 103],[91.54991243 31.45008757] ; [333.45008757 114.54991243],0
v2,1,0.007814,7.075527,[49 68] ; [238 189],[61.72610294 55.27389706] ; [225.27389706 201.72610294],0
p9,1,0.008095,7.012269,[85 37] ; [358  85],[95.65663717 26.34336283] ; [347.34336283  95.65663717],0
s8,1,0.009269,6.770166,[31 93] ; [168 279],[43.21541156 80.78458844] ; [155.78458844 291.21541156],0
r4,1,0.010575,6.535445,[103  21] ; [408  40],[110.77622378  13.22377622] ; [400.22377622  47.77622378],0
p3,1,0.023698,5.116635,[43 81] ; [205 240],[54.0456942 69.9543058] ; [193.9543058 251.0456942],0
p1,1,0.027053,4.88741,[ 14 110] ; [ 25 420],[  8.49912127 115.50087873] ; [ 30.50087873 414.49912127],0
n2,1,0.04008,4.214489,[26  6] ; [66 41],[21.17985612 10.82014388] ; [70.82014388 36.17985612],0
p11,1,0.085112,2.964476,[88 36] ; [351  97],[95.16783217 28.83216783] ; [343.83216783 104.16783217],0
u3,1,0.095287,2.782705,[29 32] ; [75 49],[34.29189189 26.70810811] ; [69.70810811 54.29189189],0
s2,1,0.097269,2.749761,[39 84] ; [178 268],[46.9086116 76.0913884] ; [170.0913884 275.9086116],0
v4,1,0.107848,2.585469,[113  10] ; [427  20],[116.52631579   6.47368421] ; [423.47368421  23.52631579],0
s7,1,0.112134,2.52388,[39 79] ; [176 252],[46.46520147 71.53479853] ; [168.53479853 259.46520147],0
n5,1,0.119107,2.429027,[81 41] ; [328 118],[87.84859155 34.15140845] ; [321.15140845 124.84859155],0
b5,1,0.133156,2.255315,[70 54] ; [286 162],[77.17482517 46.82517483] ; [278.82517483 169.17482517],0
n6,1,0.146034,2.113195,[93 31] ; [361  85],[98.76491228 25.23508772] ; [355.23508772  90.76491228],0
s1,1,0.156687,2.005908,[  6 115] ; [ 11 433],[  3.64070796 117.35929204] ; [ 13.35929204 430.64070796],0
p7,1,0.177001,1.822627,[62 57] ; [259 180],[68.45698925 50.54301075] ; [252.54301075 186.45698925],0
s3,1,0.220951,1.498185,[64 57] ; [207 237],[58.03716814 62.96283186] ; [212.96283186 231.03716814],0
p8,1,0.255583,1.292527,[52 71] ; [211 228],[57.56049822 65.43950178] ; [205.43950178 233.56049822],0
v1,1,0.352762,0.863498,[55 66] ; [218 216],[59.51891892 61.48108108] ; [213.48108108 220.51891892],0
u2,1,0.353664,0.860266,[30 30] ; [71 53],[32.93478261 27.06521739] ; [68.06521739 55.93478261],0
b4,1,0.375,0.78703,[67 57] ; [262 186],[71.32167832 52.67832168] ; [257.67832168 190.32167832],0
v3,1,0.431694,0.618261,[41 80] ; [161 265],[44.68372943 76.31627057] ; [157.31627057 268.68372943],0
n1,1,0.490016,0.47649,[13 19] ; [36 70],[11.36231884 20.63768116] ; [37.63768116 68.36231884],0
n3,1,0.528438,0.397395,[22  8] ; [72 35],[20.58394161  9.41605839] ; [73.41605839 33.58394161],0
a1,1,0.542689,0.37058,[  4 120] ; [ 20 428],[  5.2027972 118.7972028] ; [ 18.7972028 429.2027972],0
b3,1,0.555226,0.348039,[29 47] ; [ 90 171],[26.83679525 49.16320475] ; [ 92.16320475 168.83679525],0
b2,1,0.555226,0.348039,[29 47] ; [ 90 171],[26.83679525 49.16320475] ; [ 92.16320475 168.83679525],0
p5,1,0.567655,0.326622,[  8 115] ; [ 23 421],[  6.72486772 116.27513228] ; [ 24.27513228 419.72486772],0
u4,1,0.577474,0.310337,[  2 122] ; [ 11 437],[  2.81818182 121.18181818] ; [ 10.18181818 437.81818182],0
p6,1,0.636108,0.223869,[34 89] ; [131 308],[36.11209964 86.88790036] ; [128.88790036 310.11209964],0
a8,1,0.63625,0.22368,[ 12 103] ; [ 49 358],[ 13.43869732 101.56130268] ; [ 47.56130268 359.43869732],0
p12,1,0.761037,0.092489,[  6 116] ; [ 19 425],[  5.38869258 116.61130742] ; [ 19.61130742 424.38869258],0
