Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,3e-06,21.590668,[15 17] ; [85 13],[24.61538462  7.38461538] ; [75.38461538 22.61538462],1
n4,1,6e-06,20.347568,[16 16] ; [86 12],[25.10769231  6.89230769] ; [76.89230769 21.10769231],1
p10,1,0.000461,12.267226,[17 14] ; [84 15],[24.08461538  6.91538462] ; [76.91538462 22.08461538],1
p9,1,0.000467,12.241773,[18 13] ; [86 13],[24.8  6.2] ; [79.2 19.8],1
p7,1,0.000507,12.090207,[13 18] ; [74 24],[20.90697674 10.09302326] ; [66.09302326 31.90697674],1
p8,1,0.00159,9.971591,[ 8 24] ; [56 42],[15.75384615 16.24615385] ; [48.24615385 49.75384615],0
s7,1,0.002729,8.980279,[16 13] ; [79 17],[22.04  6.96] ; [72.96 23.04],0
n6,1,0.002785,8.943301,[20 12] ; [84 13],[25.79844961  6.20155039] ; [78.20155039 18.79844961],0
s1,1,0.008089,7.013725,[ 5 26] ; [ 3 96],[ 1.90769231 29.09230769] ; [ 6.09230769 92.90769231],0
p3,1,0.009624,6.703144,[11 21] ; [60 39],[17.34351145 14.65648855] ; [53.65648855 45.34351145],0
p6,1,0.016277,5.772659,[ 7 24] ; [46 52],[12.73643411 18.26356589] ; [40.26356589 57.73643411],0
p11,1,0.034149,4.487252,[20 12] ; [80 19],[24.42748092  7.57251908] ; [75.57251908 23.42748092],0
p4,1,0.036286,4.383607,[14 18] ; [64 35],[19.05343511 12.94656489] ; [58.94656489 40.05343511],0
a8,1,0.057535,3.607053,[ 1 31] ; [15 78],[ 4.096 27.904] ; [11.904 81.096],0
s5,1,0.087187,2.925567,[11 20] ; [50 44],[15.128 15.872] ; [45.872 48.128],0
v4,1,0.093545,2.812291,[27  5] ; [92  6],[29.29230769  2.70769231] ; [89.70769231  8.29230769],0
v3,1,0.109062,2.567756,[10 20] ; [49 49],[13.828125 16.171875] ; [45.171875 52.828125],0
s8,1,0.122433,2.385923,[19 13] ; [73 26],[22.47328244  9.52671756] ; [69.52671756 29.47328244],0
d3,1,0.139364,2.184969,[12 20] ; [52 47],[15.63358779 16.36641221] ; [48.36641221 50.63358779],0
r3,1,0.147537,2.097528,[28  4] ; [94  5],[29.80152672  2.19847328] ; [92.19847328  6.80152672],0
u3,1,0.159982,1.974401,[7 2] ; [10 10],[5.27586207 3.72413793] ; [11.72413793  8.27586207],0
d4,1,0.185696,1.751435,[23  9] ; [81 17],[25.6  6.4] ; [78.4 19.6],0
d1,1,0.244922,1.352037,[14 18] ; [55 44],[16.85496183 15.14503817] ; [52.14503817 46.85496183],0
p5,1,0.276549,1.18397,[ 2 28] ; [14 85],[ 3.72093023 26.27906977] ; [12.27906977 86.72093023],0
u1,1,0.335308,0.928289,[ 1 31] ; [ 8 91],[ 2.19847328 29.80152672] ; [ 6.80152672 92.19847328],0
a3,1,0.348006,0.880715,[23  9] ; [79 20],[24.91603053  7.08396947] ; [77.08396947 21.91603053],0
s4,1,0.379904,0.771012,[10 22] ; [23 75],[ 8.12307692 23.87692308] ; [24.87692308 73.12307692],0
v1,1,0.399075,0.711111,[22 10] ; [58 38],[20. 12.] ; [60. 36.],0
a2,1,0.423966,0.639296,[ 2 30] ; [11 88],[ 3.17557252 28.82442748] ; [ 9.82442748 89.17557252],0
s3,1,0.432657,0.615679,[26  6] ; [86 13],[27.35877863  4.64122137] ; [84.64122137 14.35877863],0
a5,1,0.441509,0.592358,[21 11] ; [72 27],[22.71755725  9.28244275] ; [70.28244275 28.71755725],0
d2,1,0.445018,0.583309,[14 18] ; [51 48],[15.8778626 16.1221374] ; [49.1221374 49.8778626],0
b5,1,0.453236,0.562546,[16 16] ; [42 57],[14.16793893 17.83206107] ; [43.83206107 55.16793893],0
a4,1,0.512119,0.429736,[17 15] ; [46 53],[15.38931298 16.61068702] ; [47.61068702 51.38931298],0
b2,1,0.512964,0.428016,[ 8 15] ; [31 42],[ 9.34375 13.65625] ; [29.65625 43.34375],0
b3,1,0.512964,0.428016,[ 8 15] ; [31 42],[ 9.34375 13.65625] ; [29.65625 43.34375],0
p1,1,0.519339,0.415205,[ 3 29] ; [ 6 93],[ 2.19847328 29.80152672] ; [ 6.80152672 92.19847328],0
d5,1,0.58327,0.300978,[24  8] ; [78 20],[25.10769231  6.89230769] ; [76.89230769 21.10769231],0
