Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,8.4e-05,15.471146,[17  8] ; [24 69],[ 8.68644068 16.31355932] ; [32.31355932 60.68644068],1
s8,1,0.002431,9.191883,[10 15] ; [13 84],[ 4.71311475 20.28688525] ; [18.28688525 78.71311475],0
p1,1,0.003936,8.313331,[ 7 18] ; [ 7 89],[ 2.89256198 22.10743802] ; [11.10743802 84.89256198],0
s3,1,0.014822,5.937512,[15 10] ; [32 64],[ 9.7107438 15.2892562] ; [37.2892562 58.7107438],0
r2,1,0.017013,5.694988,[23  1] ; [68 25],[18.66666667  5.33333333] ; [72.33333333 20.66666667],0
v1,1,0.018667,5.532489,[12 13] ; [22 70],[ 7.26495726 17.73504274] ; [26.73504274 65.26495726],0
s6,1,0.052631,3.755603,[14 11] ; [33 62],[ 9.79166667 15.20833333] ; [37.20833333 57.79166667],0
d5,1,0.056197,3.646205,[20  5] ; [57 39],[15.90909091  9.09090909] ; [61.09090909 34.90909091],0
n3,1,0.109599,2.56,[7 1] ; [23 17],[5. 3.] ; [25. 15.],0
d4,1,0.134265,2.242487,[19  6] ; [58 39],[15.77868852  9.22131148] ; [61.22131148 35.77868852],0
v2,1,0.155053,2.021827,[11 14] ; [27 66],[ 8.05084746 16.94915254] ; [29.94915254 63.05084746],0
s7,1,0.171316,1.87139,[ 9 16] ; [21 72],[ 6.3559322 18.6440678] ; [23.6440678 69.3559322],0
r4,1,0.191539,1.705738,[15 10] ; [44 53],[12.09016393 12.90983607] ; [46.90983607 50.09016393],0
a7,1,0.213311,1.548809,[17  8] ; [52 44],[14.25619835 10.74380165] ; [54.74380165 41.25619835],0
a3,1,0.247095,1.339657,[16  9] ; [49 47],[13.42975207 11.57024793] ; [51.57024793 44.42975207],0
v3,1,0.247772,1.335822,[ 9 16] ; [23 71],[ 6.72268908 18.27731092] ; [25.27731092 68.72268908],0
p9,1,0.248228,1.333249,[20  5] ; [62 29],[17.67241379  7.32758621] ; [64.32758621 26.67241379],0
r3,1,0.252994,1.306697,[21  4] ; [70 26],[18.80165289  6.19834711] ; [72.19834711 23.80165289],0
v4,1,0.252994,1.306697,[21  4] ; [70 26],[18.80165289  6.19834711] ; [72.19834711 23.80165289],0
p10,1,0.26926,1.220512,[17  7] ; [55 39],[14.6440678  9.3559322] ; [57.3559322 36.6440678],0
s2,1,0.283763,1.148981,[10 15] ; [28 69],[ 7.78688525 17.21311475] ; [30.21311475 66.78688525],0
p8,1,0.284732,1.144366,[ 9 16] ; [24 71],[ 6.875 18.125] ; [26.125 68.875],0
n4,1,0.305698,1.049172,[17  8] ; [55 42],[14.75409836 10.24590164] ; [57.24590164 39.75409836],0
u2,1,0.37152,0.798574,[2 6] ; [20 28],[3.14285714 4.85714286] ; [18.85714286 29.14285714],0
d1,1,0.388903,0.742369,[10 15] ; [30 67],[ 8.19672131 16.80327869] ; [31.80327869 65.19672131],0
p2,1,0.428979,0.625585,[16  9] ; [53 43],[14.25619835 10.74380165] ; [54.74380165 41.25619835],0
b5,1,0.452176,0.565191,[17  8] ; [58 39],[15.36885246  9.63114754] ; [59.63114754 37.36885246],0
n5,1,0.4664,0.530492,[14 11] ; [62 35],[15.57377049  9.42622951] ; [60.42622951 36.57377049],0
a1,1,0.468797,0.524809,[ 1 24] ; [ 8 89],[ 1.8442623 23.1557377] ; [ 7.1557377 89.8442623],0
s5,1,0.478759,0.501689,[ 3 19] ; [19 75],[ 4.17241379 17.82758621] ; [17.82758621 76.17241379],0
p6,1,0.494994,0.465652,[ 5 18] ; [15 80],[ 3.89830508 19.10169492] ; [16.10169492 78.89830508],0
a8,1,0.5459,0.364714,[ 1 23] ; [ 7 84],[ 1.66956522 22.33043478] ; [ 6.33043478 84.66956522],0
b1,1,0.570203,0.322342,[ 8 17] ; [37 60],[ 9.22131148 15.77868852] ; [35.77868852 61.22131148],0
s1,1,0.583031,0.301361,[ 1 24] ; [ 2 94],[ 0.61983471 24.38016529] ; [ 2.38016529 93.61983471],0
d3,1,0.612583,0.256431,[13 12] ; [44 51],[11.875 13.125] ; [45.125 49.875],0
b4,1,0.63387,0.226849,[16  9] ; [57 40],[14.95901639 10.04098361] ; [58.04098361 38.95901639],0
u1,1,0.675225,0.175551,[ 1 24] ; [ 6 91],[ 1.43442623 23.56557377] ; [ 5.56557377 91.43442623],0
a2,1,0.683673,0.166021,[ 3 22] ; [ 9 88],[ 2.45901639 22.54098361] ; [ 9.54098361 87.45901639],0
a6,1,0.690927,0.158084,[14 11] ; [50 47],[13.1147541 11.8852459] ; [50.8852459 46.1147541],0
s4,1,0.693964,0.154827,[ 5 20] ; [23 74],[ 5.73770492 19.26229508] ; [22.26229508 74.73770492],0
b3,1,0.694466,0.154293,[ 5 10] ; [21 33],[5.65217391 9.34782609] ; [20.34782609 33.65217391],0
b2,1,0.694466,0.154293,[ 5 10] ; [21 33],[5.65217391 9.34782609] ; [20.34782609 33.65217391],0
p11,1,0.701072,0.147359,[16  9] ; [58 39],[15.16393443  9.83606557] ; [58.83606557 38.16393443],0
a5,1,0.742271,0.108141,[12 13] ; [43 54],[11.2704918 13.7295082] ; [43.7295082 53.2704918],0
p5,1,0.827458,0.047508,[ 1 24] ; [ 3 93],[ 0.82644628 24.17355372] ; [ 3.17355372 92.82644628],0
a4,1,0.843241,0.039105,[ 7 18] ; [25 71],[ 6.61157025 18.38842975] ; [25.38842975 70.61157025],0
n1,1,0.853533,0.034082,[2 6] ; [11 28],[2.21276596 5.78723404] ; [10.78723404 28.21276596],0
u3,1,0.901801,0.015224,[3 6] ; [15 33],[2.84210526 6.15789474] ; [15.15789474 32.84210526],0
n6,1,0.917788,0.010654,[17  8] ; [67 30],[17.21311475  7.78688525] ; [66.78688525 30.21311475],0
d2,1,0.925206,0.008813,[ 9 15] ; [37 59],[ 9.2 14.8] ; [36.8 59.2],0
