Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.000166,14.182436,[145 106] ; [54 11],[158.0664557  92.9335443] ; [40.9335443 24.0664557],1
b2,1,0.000561,11.902482,[51 90] ; [ 2 32],[42.70285714 98.29714286] ; [10.29714286 23.70285714],1
b3,1,0.000561,11.902482,[51 90] ; [ 2 32],[42.70285714 98.29714286] ; [10.29714286 23.70285714],1
s2,1,0.001119,10.620138,[111 144] ; [43 22],[122.71875 132.28125] ; [31.28125 33.71875],0
s5,1,0.00314,8.724015,[ 66 183] ; [28 33],[ 75.50322581 173.49677419] ; [18.49677419 42.50322581],0
s3,1,0.00646,7.417335,[132 122] ; [46 19],[141.73040752 112.26959248] ; [36.26959248 28.73040752],0
a8,1,0.014939,5.923704,[ 34 202] ; [ 2 61],[ 28.41471572 207.58528428] ; [ 7.58528428 55.41471572],0
p6,1,0.023868,5.104168,[ 68 187] ; [27 39],[ 75.46728972 179.53271028] ; [19.53271028 46.46728972],0
n4,1,0.025859,4.965425,[194  62] ; [41 25],[186.83229814  69.16770186] ; [48.16770186 17.83229814],0
p11,1,0.034156,4.486873,[212  44] ; [47 19],[205.91304348  50.08695652] ; [53.08695652 12.91304348],0
s7,1,0.06955,3.293597,[110 134] ; [37 27],[116.45454545 127.54545455] ; [30.54545455 33.45454545],0
v4,1,0.07448,3.181421,[235  19] ; [65  1],[238.125  15.875] ; [61.875  4.125],0
d3,1,0.095388,2.78101,[173  82] ; [51 14],[178.5  76.5] ; [45.5 19.5],0
b1,1,0.110086,2.552989,[101 155] ; [19 47],[ 95.40372671 160.59627329] ; [24.59627329 41.40372671],0
n5,1,0.11361,2.503277,[179  74] ; [40 26],[173.68965517  79.31034483] ; [45.31034483 20.68965517],0
s1,1,0.115904,2.471814,[  6 249] ; [ 4 61],[  7.96875 247.03125] ; [ 2.03125 62.96875],0
n3,1,0.12473,2.356902,[47 19] ; [16  2],[49.5 16.5] ; [13.5  4.5],0
a4,1,0.155281,2.019592,[106 150] ; [21 45],[100.9689441 155.0310559] ; [26.0310559 39.9689441],0
u3,1,0.158709,1.986486,[34 40] ; [15  9],[37. 37.] ; [12. 12.],0
p5,1,0.179597,1.800959,[ 25 231] ; [ 3 63],[ 22.26086957 233.73913043] ; [ 5.73913043 60.26086957],0
r4,1,0.268978,1.221954,[223  33] ; [54 12],[220.22360248  35.77639752] ; [56.77639752  9.22360248],0
a3,1,0.295965,1.092288,[180  76] ; [42 24],[176.49689441  79.50310559] ; [45.50310559 20.49689441],0
u2,1,0.331133,0.944462,[41 33] ; [16  8],[43.04081633 30.95918367] ; [13.95918367 10.04081633],0
d5,1,0.341919,0.903222,[203  53] ; [48 17],[200.17445483  55.82554517] ; [50.82554517 14.17445483],0
p7,1,0.372038,0.796845,[150 102] ; [42 22],[153.11392405  98.88607595] ; [38.88607595 25.11392405],0
s8,1,0.38163,0.765445,[ 97 158] ; [29 37],[100.09345794 154.90654206] ; [25.90654206 40.09345794],0
p12,1,0.419593,0.651454,[ 16 239] ; [ 6 60],[ 17.47663551 237.52336449] ; [ 4.52336449 61.47663551],0
a7,1,0.456465,0.554548,[189  67] ; [45 20],[186.61682243  69.38317757] ; [47.38317757 17.61682243],0
p9,1,0.466549,0.530138,[228  27] ; [61  5],[229.57943925  25.42056075] ; [59.42056075  6.57943925],0
d4,1,0.467687,0.527437,[208  48] ; [51 15],[205.91304348  50.08695652] ; [53.08695652 12.91304348],0
a2,1,0.512169,0.429634,[ 56 200] ; [12 54],[ 54.0621118 201.9378882] ; [13.9378882 52.0621118],0
d1,1,0.520893,0.412125,[140 116] ; [39 27],[142.31055901 113.68944099] ; [36.68944099 29.31055901],0
a5,1,0.555,0.348436,[184  72] ; [45 21],[182.0621118  73.9378882] ; [46.9378882 19.0621118],0
a6,1,0.571203,0.320673,[177  79] ; [48 18],[178.88198758  77.11801242] ; [46.11801242 19.88198758],0
v3,1,0.572637,0.31829,[ 74 175] ; [17 48],[ 72.16242038 176.83757962] ; [18.83757962 46.16242038],0
b5,1,0.589527,0.291084,[134 122] ; [37 29],[135.95031056 120.04968944] ; [35.04968944 30.95031056],0
p8,1,0.596267,0.280662,[124 131] ; [34 31],[125.90625 129.09375] ; [32.09375 32.90625],0
v2,1,0.633396,0.227484,[111 134] ; [26 36],[109.33224756 135.66775244] ; [27.66775244 34.33224756],0
n1,1,0.654616,0.20013,[22 44] ; [ 5 13],[21.21428571 44.78571429] ; [ 5.78571429 12.21428571],0
r1,1,0.756584,0.096081,[194  61] ; [49 17],[193.03738318  61.96261682] ; [49.96261682 16.03738318],0
u1,1,0.804356,0.061362,[ 38 218] ; [ 9 57],[ 37.36645963 218.63354037] ; [ 9.63354037 56.36645963],0
b4,1,0.806634,0.059913,[147 109] ; [39 27],[147.8757764 108.1242236] ; [38.1242236 27.8757764],0
p3,1,0.826939,0.047799,[112 143] ; [28 38],[111.21495327 143.78504673] ; [28.78504673 37.21495327],0
d2,1,0.829753,0.046233,[116 139] ; [31 35],[116.77570093 138.22429907] ; [30.22429907 35.77570093],0
p2,1,0.905125,0.014206,[207  48] ; [54 12],[207.3364486  47.6635514] ; [53.6635514 12.3364486],0
r2,1,0.922777,0.009397,[232  20] ; [61  5],[232.18867925  19.81132075] ; [60.81132075  5.18867925],0
r3,1,0.939828,0.005698,[239  15] ; [61  4],[238.87147335  15.12852665] ; [61.12852665  3.87147335],0
n2,1,0.961262,0.002359,[48 19] ; [13  5],[48.08235294 18.91764706] ; [12.91764706  5.08235294],0
p1,1,0.966146,0.001801,[ 19 237] ; [ 5 61],[ 19.08074534 236.91925466] ; [ 4.91925466 61.08074534],0
p4,1,0.968265,0.001583,[134 120] ; [35 31],[134.14375 119.85625] ; [34.85625 31.14375],0
n6,1,0.969496,0.001462,[213  42] ; [55 11],[212.89719626  42.10280374] ; [55.10280374 10.89719626],0
