Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,1e-06,25.147573,[135  37] ; [28 35],[119.30212766  52.69787234] ; [43.69787234 19.30212766],1
a6,1,2e-06,23.120968,[122  50] ; [23 40],[106.12765957  65.87234043] ; [38.87234043 24.12765957],1
p2,1,3e-05,17.387071,[137  32] ; [34 29],[124.56465517  44.43534483] ; [46.43534483 16.56465517],1
p10,1,0.001565,10.001027,[119  49] ; [30 32],[108.83478261  59.16521739] ; [40.16521739 21.83478261],0
u1,1,0.005066,7.855875,[ 25 147] ; [ 1 62],[ 19.02978723 152.97021277] ; [ 6.97021277 56.02978723],0
p9,1,0.005142,7.828865,[129  39] ; [36 26],[120.52173913  47.47826087] ; [44.47826087 17.52173913],0
a2,1,0.006539,7.395393,[ 33 139] ; [ 3 60],[ 26.34893617 145.65106383] ; [ 9.65106383 53.34893617],0
d5,1,0.008449,6.935712,[140  32] ; [41 22],[132.47659574  39.52340426] ; [48.52340426 14.47659574],0
d4,1,0.013695,6.076977,[147  25] ; [45 18],[140.52765957  31.47234043] ; [51.47234043 11.52765957],0
n1,1,0.014722,5.94949,[ 9 37] ; [11 12],[13.33333333 32.66666667] ; [ 6.66666667 16.33333333],0
d1,1,0.026649,4.913439,[99 73] ; [26 37],[91.4893617 80.5106383] ; [33.5106383 29.4893617],0
n6,1,0.044891,4.02272,[114  57] ; [33 30],[107.42307692  63.57692308] ; [39.57692308 23.42307692],0
b5,1,0.04587,3.986377,[112  60] ; [32 31],[105.39574468  66.60425532] ; [38.60425532 24.39574468],0
a1,1,0.04711,3.941441,[  4 168] ; [ 5 58],[  6.58723404 165.41276596] ; [ 2.41276596 60.58723404],0
v4,1,0.06917,3.302603,[163   8] ; [55  7],[159.99141631  11.00858369] ; [58.00858369  3.99141631],0
b1,1,0.121117,2.40282,[ 55 117] ; [27 36],[ 60.01702128 111.98297872] ; [21.98297872 41.01702128],0
v3,1,0.143679,2.138111,[ 52 112] ; [12 44],[ 47.70909091 116.29090909] ; [16.29090909 39.70909091],0
r1,1,0.145078,2.123252,[135  36] ; [44 19],[130.80769231  40.19230769] ; [48.19230769 14.80769231],0
a4,1,0.153786,2.034292,[ 59 113] ; [28 35],[ 63.67659574 108.32340426] ; [23.32340426 39.67659574],0
p4,1,0.192728,1.696638,[77 94] ; [22 40],[72.65665236 98.34334764] ; [26.34334764 35.65665236],0
p8,1,0.213017,1.550802,[73 97] ; [21 41],[ 68.87931034 101.12068966] ; [25.12068966 36.87931034],0
b3,1,0.248091,1.334022,[25 66] ; [14 23],[27.7265625 63.2734375] ; [11.2734375 25.7265625],0
b2,1,0.248091,1.334022,[25 66] ; [14 23],[27.7265625 63.2734375] ; [11.2734375 25.7265625],0
p1,1,0.249158,1.328019,[ 11 157] ; [ 7 56],[ 13.09090909 154.90909091] ; [ 4.90909091 58.09090909],0
n2,1,0.256026,1.290119,[27 18] ; [17  6],[29.11764706 15.88235294] ; [14.88235294  8.11764706],0
p5,1,0.280315,1.165562,[  8 162] ; [ 1 61],[  6.59482759 163.40517241] ; [ 2.40517241 59.59482759],0
s5,1,0.335804,0.926385,[ 44 121] ; [19 38],[ 46.82432432 118.17567568] ; [16.17567568 40.82432432],0
p12,1,0.354836,0.856086,[  7 163] ; [ 1 61],[  5.86206897 164.13793103] ; [ 2.13793103 59.86206897],0
s3,1,0.366706,0.814797,[81 90] ; [33 28],[84.02586207 86.97413793] ; [29.97413793 31.02586207],0
u3,1,0.380364,0.769524,[39 20] ; [14 11],[37.22619048 21.77380952] ; [15.77380952  9.22619048],0
s1,1,0.46369,0.536973,[  7 165] ; [ 4 59],[  8.05106383 163.94893617] ; [ 2.94893617 60.05106383],0
s6,1,0.495724,0.464079,[95 75] ; [31 30],[92.72727273 77.27272727] ; [33.27272727 27.72727273],0
r4,1,0.497165,0.460983,[153  19] ; [54  9],[151.50638298  20.49361702] ; [55.49361702  7.50638298],0
p7,1,0.580009,0.30622,[89 78] ; [31 32],[87.13043478 79.86956522] ; [32.86956522 30.13043478],0
a8,1,0.590516,0.28954,[ 11 146] ; [ 3 57],[ 10.12903226 146.87096774] ; [ 3.87096774 56.12903226],0
r3,1,0.60041,0.274377,[164   8] ; [59  4],[163.21702128   8.78297872] ; [59.78297872  3.21702128],0
d2,1,0.605852,0.266259,[ 70 102] ; [28 35],[ 71.72765957 100.27234043] ; [26.27234043 36.72765957],0
s7,1,0.622845,0.241889,[ 59 106] ; [19 40],[ 57.45535714 107.54464286] ; [20.54464286 38.45535714],0
a3,1,0.6488,0.207416,[111  61] ; [38 24],[109.52136752  62.47863248] ; [39.47863248 22.52136752],0
v2,1,0.654545,0.200218,[87 76] ; [30 30],[85.52017937 77.47982063] ; [31.47982063 28.52017937],0
s2,1,0.679152,0.171082,[73 98] ; [25 38],[71.61538462 99.38461538] ; [26.38461538 36.61538462],0
v1,1,0.680914,0.169098,[ 62 104] ; [25 37],[ 63.34210526 102.65789474] ; [23.65789474 38.34210526],0
a5,1,0.710118,0.138159,[111  61] ; [39 24],[109.78723404  62.21276596] ; [40.21276596 22.78723404],0
p3,1,0.71037,0.137908,[ 66 105] ; [26 37],[ 67.23076923 103.76923077] ; [24.76923077 38.23076923],0
s4,1,0.754173,0.098058,[ 35 137] ; [14 49],[ 35.86382979 136.13617021] ; [13.13617021 49.86382979],0
p6,1,0.805494,0.060636,[ 45 124] ; [15 45],[ 44.27947598 124.72052402] ; [15.72052402 44.27947598],0
n3,1,0.831462,0.045295,[34 12] ; [15  6],[33.64179104 12.35820896] ; [15.35820896  5.64179104],0
b4,1,0.855051,0.033371,[106  66] ; [38 25],[105.39574468  66.60425532] ; [38.60425532 24.39574468],0
p11,1,0.889561,0.019282,[113  59] ; [42 21],[113.44680851  58.55319149] ; [41.55319149 21.44680851],0
u2,1,0.890415,0.018983,[34 25] ; [14 11],[33.71428571 25.28571429] ; [14.28571429 10.71428571],0
s8,1,0.912956,0.011949,[ 54 118] ; [19 43],[ 53.65811966 118.34188034] ; [19.34188034 42.65811966],0
n4,1,0.919209,0.010288,[ 67 105] ; [25 38],[ 67.33617021 104.66382979] ; [24.66382979 38.33617021],0
