Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,0.00891,6.840838,[9 8] ; [22 76],[ 4.5826087 12.4173913] ; [26.4173913 71.5826087],0
p4,1,0.031524,4.624212,[17  1] ; [71 30],[13.31092437  4.68907563] ; [74.68907563 26.31092437],0
r3,1,0.047683,3.921132,[16  2] ; [99  2],[17.39495798  0.60504202] ; [97.60504202  3.39495798],0
p10,1,0.101694,2.67877,[17  1] ; [77 22],[14.46153846  3.53846154] ; [79.53846154 19.46153846],0
s6,1,0.108027,2.582854,[13  4] ; [54 43],[9.99122807 7.00877193] ; [57.00877193 39.99122807],0
d3,1,0.157806,1.995126,[14  3] ; [65 35],[11.47863248  5.52136752] ; [67.52136752 32.47863248],0
a4,1,0.180347,1.794765,[11  7] ; [44 56],[8.38983051 9.61016949] ; [46.61016949 53.38983051],0
u2,1,0.193493,1.690821,[2 6] ; [21 21],[3.68 4.32] ; [19.32 22.68],0
n4,1,0.212704,1.552924,[11  7] ; [76 25],[13.15966387  4.84033613] ; [73.84033613 27.15966387],0
p9,1,0.218667,1.513098,[17  1] ; [84 17],[15.27731092  2.72268908] ; [85.72268908 15.27731092],0
p5,1,0.23791,1.392935,[ 3 15] ; [ 8 93],[ 1.66386555 16.33613445] ; [ 9.33613445 91.66386555],0
u1,1,0.296262,1.090942,[ 4 14] ; [13 88],[ 2.57142857 15.42857143] ; [14.42857143 86.57142857],0
p3,1,0.29918,1.077844,[12  6] ; [54 47],[9.98319328 8.01680672] ; [56.01680672 44.98319328],0
p2,1,0.328016,0.956715,[17  1] ; [87 14],[15.73109244  2.26890756] ; [88.26890756 12.73109244],0
p11,1,0.361737,0.831853,[14  4] ; [87 14],[15.27731092  2.72268908] ; [85.72268908 15.27731092],0
b4,1,0.380282,0.769789,[13  5] ; [62 39],[11.34453782  6.65546218] ; [63.65546218 37.34453782],0
a2,1,0.382463,0.76277,[ 5 13] ; [19 82],[ 3.6302521 14.3697479] ; [20.3697479 80.6302521],0
a8,1,0.40965,0.679816,[ 1 16] ; [12 81],[ 2.00909091 14.99090909] ; [10.99090909 82.00909091],0
p7,1,0.411201,0.675325,[16  2] ; [80 19],[14.76923077  3.23076923] ; [81.23076923 17.76923077],0
n2,1,0.443789,0.586466,[1 1] ; [18  6],[1.46153846 0.53846154] ; [17.53846154  6.46153846],0
d1,1,0.463008,0.538614,[12  6] ; [58 43],[10.58823529  7.41176471] ; [59.41176471 41.58823529],0
p8,1,0.467442,0.528016,[14  4] ; [70 31],[12.70588235  5.29411765] ; [71.29411765 29.70588235],0
n1,1,0.470027,0.521912,[1 1] ; [ 6 17],[0.56 1.44] ; [ 6.44 16.56],0
n3,1,0.470027,0.521912,[1 1] ; [17  6],[1.44 0.56] ; [16.56  6.44],0
n6,1,0.504152,0.446186,[13  4] ; [84 17],[13.97457627  3.02542373] ; [83.02542373 17.97457627],0
v3,1,0.554681,0.348998,[ 4 13] ; [30 68],[ 5.02608696 11.97391304] ; [28.97391304 69.02608696],0
u3,1,0.558678,0.341999,[3 5] ; [20 21],[3.75510204 4.24489796] ; [19.24489796 21.75510204],0
n5,1,0.61174,0.257649,[14  4] ; [72 28],[13.11864407  4.88135593] ; [72.88135593 27.11864407],0
s2,1,0.627049,0.236084,[ 7 11] ; [33 67],[ 6.10169492 11.89830508] ; [33.89830508 66.10169492],0
p12,1,0.629066,0.233329,[ 1 17] ; [ 9 91],[ 1.52542373 16.47457627] ; [ 8.47457627 91.52542373],0
a5,1,0.681495,0.168447,[13  5] ; [68 33],[12.25210084  5.74789916] ; [68.74789916 32.25210084],0
b1,1,0.711919,0.136368,[ 7 11] ; [44 57],[ 7.71428571 10.28571429] ; [43.28571429 57.71428571],0
r4,1,0.726605,0.122252,[17  1] ; [93  8],[16.63865546  1.36134454] ; [93.36134454  7.63865546],0
b5,1,0.7283,0.120678,[12  6] ; [63 38],[11.34453782  6.65546218] ; [63.65546218 37.34453782],0
v1,1,0.755037,0.097347,[9 8] ; [57 43],[9.58974359 7.41025641] ; [56.41025641 43.58974359],0
d4,1,0.756295,0.096317,[15  3] ; [81 20],[14.5210084  3.4789916] ; [81.4789916 19.5210084],0
s3,1,0.759762,0.093509,[ 8 10] ; [41 60],[ 7.41176471 10.58823529] ; [41.58823529 59.41176471],0
d5,1,0.76567,0.08883,[14  3] ; [80 21],[13.54237288  3.45762712] ; [80.45762712 20.54237288],0
s8,1,0.777371,0.079946,[ 6 12] ; [30 70],[ 5.49152542 12.50847458] ; [30.50847458 69.49152542],0
a6,1,0.788294,0.072106,[12  6] ; [64 37],[11.49579832  6.50420168] ; [64.50420168 36.49579832],0
r2,1,0.814764,0.054889,[17  1] ; [92  7],[16.76923077  1.23076923] ; [92.23076923  6.76923077],0
r1,1,0.817809,0.053067,[14  4] ; [76 25],[13.61344538  4.38655462] ; [76.38655462 24.61344538],0
b2,1,0.820259,0.051625,[4 6] ; [25 32],[4.32835821 5.67164179] ; [24.67164179 32.32835821],0
b3,1,0.820259,0.051625,[4 6] ; [25 32],[4.32835821 5.67164179] ; [24.67164179 32.32835821],0
a3,1,0.820812,0.051303,[10  8] ; [59 42],[10.43697479  7.56302521] ; [58.56302521 42.43697479],0
p1,1,0.835789,0.042966,[ 2 16] ; [13 88],[ 2.26890756 15.73109244] ; [12.73109244 88.26890756],0
v2,1,0.868747,0.027308,[9 8] ; [54 44],[9.31304348 7.68695652] ; [53.68695652 44.31304348],0
d2,1,0.869837,0.026852,[ 8 10] ; [47 54],[8.31932773 9.68067227] ; [46.68067227 54.31932773],0
a7,1,0.896703,0.016855,[13  4] ; [75 25],[12.78632479  4.21367521] ; [75.21367521 24.78632479],0
