Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,5.6e-05,16.224021,[9 6] ; [15 86],[ 3.10344828 11.89655172] ; [20.89655172 80.10344828],1
s2,1,0.000118,14.830525,[13  3] ; [32 71],[6.05042017 9.94957983] ; [38.94957983 64.05042017],1
s7,1,0.000473,12.218182,[11  5] ; [24 72],[ 5. 11.] ; [30. 66.],1
a5,1,0.000883,11.058514,[ 5 11] ; [76 28],[10.8  5.2] ; [70.2 33.8],1
s8,1,0.001627,9.928895,[10  6] ; [25 79],[ 4.66666667 11.33333333] ; [30.33333333 73.66666667],0
s3,1,0.014347,5.994986,[12  4] ; [43 59],[7.45762712 8.54237288] ; [47.54237288 54.45762712],0
s6,1,0.026401,4.929574,[12  4] ; [47 57],[7.86666667 8.13333333] ; [51.13333333 52.86666667],0
s5,1,0.056318,3.642629,[5 9] ; [15 85],[ 2.45614035 11.54385965] ; [17.54385965 82.45614035],0
r1,1,0.066394,3.369985,[9 7] ; [80 23],[11.96638655  4.03361345] ; [77.03361345 25.96638655],0
p9,1,0.11711,2.455556,[13  2] ; [68 34],[10.38461538  4.61538462] ; [70.61538462 31.38461538],0
p2,1,0.126125,2.339563,[14  2] ; [71 32],[11.42857143  4.57142857] ; [73.57142857 29.42857143],0
v3,1,0.148456,2.088039,[ 2 14] ; [29 68],[ 4.38938053 11.61061947] ; [26.61061947 70.38938053],0
d4,1,0.175304,1.836992,[15  1] ; [82 21],[13.04201681  2.95798319] ; [83.95798319 19.04201681],0
a4,1,0.212391,1.555052,[ 4 12] ; [43 61],[6.26666667 9.73333333] ; [40.73333333 63.26666667],0
d3,1,0.227524,1.456275,[14  2] ; [75 27],[12.06779661  3.93220339] ; [76.93220339 25.06779661],0
d2,1,0.255864,1.290997,[ 4 12] ; [41 62],[6.05042017 9.94957983] ; [38.94957983 64.05042017],0
u1,1,0.27376,1.19781,[ 3 13] ; [10 94],[ 1.73333333 14.26666667] ; [11.26666667 92.73333333],0
v4,1,0.292387,1.108597,[15  1] ; [87 17],[13.6  2.4] ; [88.4 15.6],0
n4,1,0.316006,1.005407,[ 6 10] ; [53 51],[7.86666667 8.13333333] ; [51.13333333 52.86666667],0
a2,1,0.339052,0.914012,[ 2 14] ; [24 80],[ 3.46666667 12.53333333] ; [22.53333333 81.46666667],0
r2,1,0.364485,0.822382,[15  1] ; [88 15],[13.8487395  2.1512605] ; [89.1512605 13.8487395],0
r3,1,0.367036,0.813675,[14  1] ; [88 16],[12.85714286  2.14285714] ; [89.14285714 14.85714286],0
b5,1,0.367678,0.811496,[12  4] ; [66 38],[10.4  5.6] ; [67.6 36.4],0
a8,1,0.455743,0.556328,[ 1 14] ; [13 83],[ 1.89189189 13.10810811] ; [12.10810811 83.89189189],0
d5,1,0.470721,0.520282,[12  4] ; [85 18],[13.04201681  2.95798319] ; [83.95798319 19.04201681],0
b2,1,0.493472,0.468947,[3 6] ; [13 44],[2.18181818 6.81818182] ; [13.81818182 43.18181818],0
b3,1,0.493472,0.468947,[3 6] ; [13 44],[2.18181818 6.81818182] ; [13.81818182 43.18181818],0
v1,1,0.504835,0.444757,[ 5 11] ; [40 60],[6.20689655 9.79310345] ; [38.79310345 61.20689655],0
d1,1,0.542669,0.370616,[7 9] ; [54 50],[8.13333333 7.86666667] ; [52.86666667 51.13333333],0
p7,1,0.544204,0.367803,[8 6] ; [48 51],[6.9380531 7.0619469] ; [49.0619469 49.9380531],0
n1,1,0.550029,0.357265,[1 4] ; [11 22],[1.57894737 3.42105263] ; [10.42105263 22.57894737],0
p10,1,0.6114,0.258141,[10  5] ; [61 41],[9.1025641 5.8974359] ; [61.8974359 40.1025641],0
b4,1,0.613751,0.254749,[8 8] ; [59 45],[8.93333333 7.06666667] ; [58.06666667 45.93333333],0
r4,1,0.656083,0.198317,[11  5] ; [77 27],[11.73333333  4.26666667] ; [76.26666667 27.73333333],0
p11,1,0.665862,0.18648,[8 8] ; [58 46],[8.8 7.2] ; [57.2 46.8],0
p5,1,0.673969,0.176995,[ 1 15] ; [ 4 97],[ 0.68376068 15.31623932] ; [ 4.31623932 96.68376068],0
p3,1,0.743403,0.107158,[ 6 10] ; [34 68],[ 5.42372881 10.57627119] ; [34.57627119 67.42372881],0
u2,1,0.76966,0.085744,[3 2] ; [22 11],[3.28947368 1.71052632] ; [21.71052632 11.28947368],0
p8,1,0.779886,0.078102,[5 9] ; [40 61],[5.47826087 8.52173913] ; [39.52173913 61.47826087],0
b1,1,0.80166,0.063101,[7 9] ; [49 55],[7.46666667 8.53333333] ; [48.53333333 55.46666667],0
p1,1,0.83093,0.045586,[ 1 15] ; [ 8 95],[ 1.21008403 14.78991597] ; [ 7.78991597 95.21008403],0
a6,1,0.879229,0.023088,[13  3] ; [82 21],[12.77310924  3.22689076] ; [82.22689076 20.77310924],0
p4,1,0.918742,0.010408,[ 6 10] ; [40 63],[6.18487395 9.81512605] ; [39.81512605 63.18487395],0
a3,1,0.949794,0.003965,[11  5] ; [70 33],[10.8907563  5.1092437] ; [70.1092437 32.8907563],0
v2,1,0.984148,0.000395,[7 8] ; [45 52],[6.96428571 8.03571429] ; [45.03571429 51.96428571],0
n5,1,0.996368,2.1e-05,[7 9] ; [45 58],[6.99159664 9.00840336] ; [45.00840336 57.99159664],0
