Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,5.4e-05,16.316336,[18 38] ; [43 19],[28.94915254 27.05084746] ; [32.05084746 29.94915254],1
v1,1,7e-05,15.798903,[23 31] ; [48 13],[33.33913043 20.66086957] ; [37.66086957 23.33913043],1
p1,1,0.015332,5.877934,[ 9 47] ; [ 2 61],[ 5.17647059 50.82352941] ; [ 5.82352941 57.17647059],0
n4,1,0.038984,4.261554,[44 12] ; [57  5],[47.93220339  8.06779661] ; [53.06779661  8.93220339],0
s4,1,0.080401,3.056784,[15 40] ; [ 9 54],[11.18644068 43.81355932] ; [12.81355932 50.18644068],0
p3,1,0.100648,2.695239,[30 26] ; [43 20],[34.35294118 21.64705882] ; [38.64705882 24.35294118],0
n3,1,0.113846,2.5,[10  8] ; [10  2],[12.  6.] ; [8. 4.],0
d4,1,0.126555,2.33426,[41 14] ; [54  9],[44.27966102 10.72033898] ; [50.72033898 12.27966102],0
a3,1,0.144675,2.127512,[41 15] ; [53 10],[44.23529412 11.76470588] ; [49.76470588 13.23529412],0
s2,1,0.153401,2.038103,[38 18] ; [50 13],[41.41176471 14.58823529] ; [46.58823529 16.41176471],0
a1,1,0.195575,1.675113,[ 2 54] ; [ 6 57],[ 3.76470588 52.23529412] ; [ 4.23529412 58.76470588],0
u4,1,0.215529,1.533894,[ 1 55] ; [ 4 59],[ 2.35294118 53.64705882] ; [ 2.64705882 60.35294118],0
r2,1,0.239856,1.38144,[50  6] ; [58  3],[51.69230769  4.30769231] ; [56.30769231  4.69230769],0
p7,1,0.243625,1.359495,[37 19] ; [47 15],[39.86440678 16.13559322] ; [44.13559322 17.86440678],0
d3,1,0.250783,1.318935,[29 27] ; [26 37],[25.88235294 30.11764706] ; [29.11764706 33.88235294],0
p11,1,0.265626,1.239196,[48  8] ; [49 14],[45.64705882 10.35294118] ; [51.35294118 11.64705882],0
d5,1,0.288245,1.127799,[42 13] ; [53 10],[44.27966102 10.72033898] ; [50.72033898 12.27966102],0
a5,1,0.314418,1.012027,[41 15] ; [51 12],[43.29411765 12.70588235] ; [48.70588235 14.29411765],0
a8,1,0.333507,0.935234,[ 6 47] ; [11 51],[ 7.83478261 45.16521739] ; [ 9.16521739 52.83478261],0
b1,1,0.373634,0.791544,[33 23] ; [32 31],[30.58823529 25.41176471] ; [34.41176471 28.58823529],0
b4,1,0.386616,0.749559,[24 32] ; [32 31],[26.35294118 29.64705882] ; [29.64705882 33.35294118],0
u3,1,0.404657,0.694444,[8 7] ; [7 3],[9. 6.] ; [6. 4.],0
s7,1,0.427711,0.62903,[42 12] ; [51 10],[43.66956522 10.33043478] ; [49.33043478 11.66956522],0
p2,1,0.432845,0.615178,[42 14] ; [51 12],[43.76470588 12.23529412] ; [49.23529412 13.76470588],0
b2,1,0.441142,0.59331,[21 17] ; [23 26],[19.2183908 18.7816092] ; [24.7816092 24.2183908],0
b3,1,0.441142,0.59331,[21 17] ; [23 26],[19.2183908 18.7816092] ; [24.7816092 24.2183908],0
d2,1,0.446782,0.578803,[29 27] ; [37 26],[31.05882353 24.94117647] ; [34.94117647 28.05882353],0
n5,1,0.463629,0.53712,[48  8] ; [50 12],[46.50847458  9.49152542] ; [51.49152542 10.50847458],0
n6,1,0.53585,0.383285,[50  6] ; [53  9],[48.88135593  7.11864407] ; [54.11864407  7.88135593],0
s1,1,0.553631,0.350853,[ 3 53] ; [ 2 61],[ 2.35294118 53.64705882] ; [ 2.64705882 60.35294118],0
p5,1,0.571667,0.319901,[ 9 46] ; [ 8 55],[ 7.92372881 47.07627119] ; [ 9.07627119 53.92372881],0
p6,1,0.599153,0.276275,[28 28] ; [28 34],[26.57627119 29.42372881] ; [29.42372881 32.57627119],0
s6,1,0.61232,0.25681,[47  8] ; [50 11],[45.99137931  9.00862069] ; [51.00862069  9.99137931],0
p12,1,0.618562,0.247894,[ 6 49] ; [ 5 56],[ 5.21551724 49.78448276] ; [ 5.78448276 55.21551724],0
p4,1,0.636738,0.223034,[37 19] ; [39 24],[35.76470588 20.23529412] ; [40.23529412 22.76470588],0
n1,1,0.642636,0.215311,[12  7] ; [6 5],[11.4  7.6] ; [6.6 4.4],0
n2,1,0.694266,0.154506,[13  6] ; [9 3],[13.48387097  5.51612903] ; [8.51612903 3.48387097],0
p8,1,0.699574,0.148916,[32 24] ; [37 24],[33.02564103 22.97435897] ; [35.97435897 25.02564103],0
a4,1,0.745156,0.105646,[25 31] ; [30 33],[25.88235294 30.11764706] ; [29.11764706 33.88235294],0
p10,1,0.752264,0.099638,[48  8] ; [51 10],[47.38461538  8.61538462] ; [51.61538462  9.38461538],0
s5,1,0.755591,0.096893,[24 31] ; [27 31],[24.82300885 30.17699115] ; [26.17699115 31.82300885],0
a2,1,0.82956,0.04634,[ 6 50] ; [ 6 57],[ 5.64705882 50.35294118] ; [ 6.35294118 56.64705882],0
d1,1,0.844591,0.038426,[31 25] ; [36 27],[31.52941176 24.47058824] ; [35.47058824 27.52941176],0
b5,1,0.861674,0.030361,[24 32] ; [28 35],[24.47058824 31.52941176] ; [27.52941176 35.47058824],0
u1,1,0.862991,0.02978,[ 4 52] ; [ 4 59],[ 3.76470588 52.23529412] ; [ 4.23529412 58.76470588],0
s3,1,0.863202,0.029687,[41 15] ; [47 16],[41.41176471 14.58823529] ; [46.58823529 16.41176471],0
v4,1,0.898142,0.016386,[53  3] ; [59  3],[53.15254237  2.84745763] ; [58.84745763  3.15254237],0
a6,1,0.909501,0.01292,[19 37] ; [22 41],[19.29411765 36.70588235] ; [21.70588235 41.29411765],0
r1,1,0.915519,0.011253,[44 12] ; [50 13],[44.23529412 11.76470588] ; [49.76470588 13.23529412],0
p9,1,0.920853,0.009872,[49  7] ; [53  8],[48.82051282  7.17948718] ; [53.17948718  7.82051282],0
r4,1,0.974034,0.001059,[49  7] ; [55  8],[48.94117647  7.05882353] ; [55.05882353  7.94117647],0
u2,1,1.0,0.0,[9 6] ; [6 4],[9. 6.] ; [6. 4.],0
