Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,1e-06,23.929824,[39 14] ; [ 5 24],[28.43902439 24.56097561] ; [15.56097561 13.43902439],1
d5,1,0.000961,10.901173,[39 14] ; [11 19],[31.92771084 21.07228916] ; [18.07228916 11.92771084],1
s5,1,0.001393,10.215507,[20 32] ; [ 2 29],[13.78313253 38.21686747] ; [ 8.21686747 22.78313253],0
s6,1,0.001851,9.691396,[30 22] ; [ 7 24],[23.18072289 28.81927711] ; [13.81927711 17.18072289],0
s4,1,0.003372,8.594279,[21 32] ; [ 3 28],[15.14285714 37.85714286] ; [ 8.85714286 22.14285714],0
a4,1,0.006754,7.337345,[17 36] ; [ 2 29],[11.98809524 41.01190476] ; [ 7.01190476 23.98809524],0
v3,1,0.025686,4.977046,[11 40] ; [ 1 29],[ 7.55555556 43.44444444] ; [ 4.44444444 25.55555556],0
a5,1,0.034001,4.494648,[28 25] ; [ 9 22],[23.3452381 29.6547619] ; [13.6547619 17.3452381],0
a3,1,0.03789,4.309969,[29 23] ; [10 21],[24.43373494 27.56626506] ; [14.56626506 16.43373494],0
n3,1,0.039941,4.2204,[10 14] ; [10  3],[12.97297297 11.02702703] ; [7.02702703 5.97297297],0
d2,1,0.054697,3.691296,[23 30] ; [ 7 24],[18.92857143 34.07142857] ; [11.07142857 19.92857143],0
v1,1,0.069456,3.295841,[20 32] ; [ 6 25],[16.28915663 35.71084337] ; [ 9.71084337 21.28915663],0
s7,1,0.078816,3.089144,[17 33] ; [ 5 26],[13.58024691 36.41975309] ; [ 8.41975309 22.58024691],0
n5,1,0.095333,2.781932,[16 37] ; [15 16],[19.55952381 33.44047619] ; [11.44047619 19.55952381],0
s2,1,0.102211,2.670701,[25 28] ; [ 9 22],[21.45238095 31.54761905] ; [12.54761905 18.45238095],0
a7,1,0.121228,2.401382,[34 19] ; [14 16],[30.65060241 22.34939759] ; [17.34939759 12.65060241],0
p3,1,0.135203,2.231728,[20 32] ; [ 7 24],[16.91566265 35.08433735] ; [10.08433735 20.91566265],0
a6,1,0.156692,2.005861,[29 24] ; [12 19],[25.86904762 27.13095238] ; [15.13095238 15.86904762],0
b4,1,0.176362,1.828017,[32 21] ; [14 17],[29.02380952 23.97619048] ; [16.97619048 14.02380952],0
v2,1,0.420076,0.650102,[16 36] ; [ 7 24],[14.40963855 37.59036145] ; [ 8.59036145 22.40963855],0
p8,1,0.432933,0.614943,[18 34] ; [13 17],[19.65853659 32.34146341] ; [11.34146341 18.65853659],0
n2,1,0.442703,0.589266,[16  8] ; [7 6],[14.91891892  9.08108108] ; [8.08108108 4.91891892],0
u3,1,0.448951,0.573299,[13 11] ; [ 9 12],[11.73333333 12.26666667] ; [10.26666667 10.73333333],0
p7,1,0.47379,0.513122,[23 28] ; [16 14],[24.55555556 26.44444444] ; [14.44444444 15.55555556],0
r3,1,0.528264,0.39773,[44  9] ; [24  7],[42.9047619 10.0952381] ; [25.0952381  5.9047619],0
p5,1,0.530218,0.393974,[ 2 51] ; [ 2 27],[ 2.58536585 50.41463415] ; [ 1.41463415 27.58536585],0
p6,1,0.531573,0.391384,[15 37] ; [ 7 24],[13.78313253 38.21686747] ; [ 8.21686747 22.78313253],0
p2,1,0.569316,0.323829,[32 21] ; [20 10],[33.20481928 19.79518072] ; [18.79518072 11.20481928],0
b1,1,0.575119,0.314192,[24 29] ; [16 15],[25.23809524 27.76190476] ; [14.76190476 16.23809524],0
s1,1,0.578103,0.309312,[ 2 51] ; [ 2 29],[ 2.52380952 50.47619048] ; [ 1.47619048 29.52380952],0
s3,1,0.585307,0.297734,[22 31] ; [11 20],[20.82142857 32.17857143] ; [12.17857143 18.82142857],0
p10,1,0.631032,0.230663,[30 23] ; [18 11],[31.02439024 21.97560976] ; [16.97560976 12.02439024],0
p1,1,0.662945,0.189965,[ 5 48] ; [ 2 28],[ 4.46987952 48.53012048] ; [ 2.53012048 27.46987952],0
n6,1,0.703722,0.144629,[33 20] ; [18 13],[32.17857143 20.82142857] ; [18.82142857 12.17857143],0
v4,1,0.731309,0.117913,[44  9] ; [24  6],[43.42168675  9.57831325] ; [24.57831325  5.42168675],0
n1,1,0.79246,0.069231,[ 7 17] ; [3 9],[ 6.66666667 17.33333333] ; [3.33333333 8.66666667],0
b5,1,0.834923,0.043427,[32 21] ; [18 13],[31.54761905 21.45238095] ; [18.45238095 12.54761905],0
s8,1,0.83973,0.040901,[13 40] ; [ 7 24],[12.61904762 40.38095238] ; [ 7.38095238 23.61904762],0
u2,1,0.841132,0.040179,[11 13] ; [ 9 12],[10.66666667 13.33333333] ; [ 9.33333333 11.66666667],0
p4,1,0.934111,0.006835,[21 32] ; [12 19],[20.82142857 32.17857143] ; [12.17857143 18.82142857],0
r2,1,0.951182,0.003748,[39 14] ; [23  8],[39.11904762 13.88095238] ; [22.88095238  8.11904762],0
r4,1,0.952764,0.003509,[26 27] ; [15 16],[25.86904762 27.13095238] ; [15.13095238 15.86904762],0
p11,1,0.969513,0.001461,[31 22] ; [18 13],[30.91666667 22.08333333] ; [18.08333333 12.91666667],0
b3,1,1.0,0.0,[11 22] ; [4 8],[11. 22.] ; [4. 8.],0
p9,1,1.0,0.0,[34 17] ; [20 10],[34. 17.] ; [20. 10.],0
b2,1,1.0,0.0,[11 22] ; [4 8],[11. 22.] ; [4. 8.],0
