Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.011638,6.365263,[2 1] ; [454  19],[2.87394958 0.12605042] ; [453.12605042  19.87394958],0
u1,1,0.0207,5.351909,[2 1] ; [ 79 399],[0.50519751 2.49480249] ; [ 80.49480249 397.50519751],0
n1,1,0.140447,2.173056,[2 1] ; [29 76],[0.86111111 2.13888889] ; [30.13888889 74.86111111],0
n6,1,0.213745,1.545876,[2 1] ; [420  51],[2.67088608 0.32911392] ; [419.32911392  51.67088608],0
a4,1,0.350155,0.872896,[2 1] ; [191 285],[1.20876827 1.79123173] ; [191.79123173 284.20876827],0
s3,1,0.474614,0.511214,[1 2] ; [251 214],[1.61538462 1.38461538] ; [250.38461538 214.61538462],0
a2,1,0.560958,0.338048,[1 2] ; [ 95 383],[0.5987526 2.4012474] ; [ 95.4012474 382.5987526],0
s2,1,0.597433,0.278886,[1 2] ; [229 242],[1.4556962 1.5443038] ; [228.5443038 242.4556962],0
s7,1,0.624399,0.239732,[1 2] ; [218 241],[1.42207792 1.57792208] ; [217.57792208 241.42207792],0
v1,1,0.657813,0.196191,[2 1] ; [250 214],[1.61884368 1.38115632] ; [250.38115632 213.61884368],0
n2,1,0.671426,0.179938,[2 1] ; [81 24],[2.30555556 0.69444444] ; [80.69444444 24.30555556],0
n5,1,0.750488,0.101121,[2 1] ; [351 119],[2.23890063 0.76109937] ; [350.76109937 119.23890063],0
a7,1,0.753829,0.098341,[2 1] ; [355 121],[2.23590814 0.76409186] ; [354.76409186 121.23590814],0
s8,1,0.762147,0.091605,[1 2] ; [199 275],[1.25786164 1.74213836] ; [198.74213836 275.25786164],0
v2,1,0.784508,0.074774,[2 1] ; [272 190],[1.76774194 1.23225806] ; [272.23225806 189.76774194],0
n3,1,0.789153,0.071508,[2 1] ; [78 28],[2.20183486 0.79816514] ; [77.79816514 28.20183486],0
b4,1,0.820893,0.051255,[2 1] ; [288 190],[1.80873181 1.19126819] ; [288.19126819 189.80873181],0
v3,1,0.823519,0.049738,[1 2] ; [182 277],[1.18831169 1.81168831] ; [181.81168831 277.18831169],0
b3,1,0.863584,0.02952,[1 2] ; [113 183],[1.14381271 1.85618729] ; [112.85618729 183.14381271],0
b2,1,0.863584,0.02952,[1 2] ; [113 183],[1.14381271 1.85618729] ; [112.85618729 183.14381271],0
a5,1,0.873452,0.025369,[2 1] ; [338 139],[2.125 0.875] ; [337.875 139.125],0
a6,1,0.901366,0.01536,[2 1] ; [333 143],[2.09812109 0.90187891] ; [332.90187891 143.09812109],0
d3,1,0.907813,0.013409,[2 1] ; [332 144],[2.09185804 0.90814196] ; [331.90814196 144.09185804],0
a3,1,0.950362,0.003875,[2 1] ; [326 151],[2.05 0.95] ; [325.95 151.05],0
s6,1,0.991675,0.000109,[2 1] ; [314 155],[2.00847458 0.99152542] ; [313.99152542 155.00847458],0
