Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n1,1,0.086069,2.946405,[2 1] ; [ 4 16],[0.7826087 2.2173913] ; [ 5.2173913 14.7826087],0
s7,1,0.102554,2.665369,[4 1] ; [24 33],[2.25806452 2.74193548] ; [25.74193548 31.25806452],0
p2,1,0.125648,2.34546,[2 3] ; [45 17],[3.50746269 1.49253731] ; [43.49253731 18.50746269],0
p1,1,0.168689,1.89456,[1 4] ; [ 3 59],[0.29850746 4.70149254] ; [ 3.70149254 58.29850746],0
a6,1,0.178767,1.807843,[2 3] ; [43 19],[3.35820896 1.64179104] ; [41.64179104 20.35820896],0
s3,1,0.19639,1.669018,[4 1] ; [31 31],[2.6119403 2.3880597] ; [32.3880597 29.6119403],0
s2,1,0.220712,1.499734,[4 1] ; [32 30],[2.68656716 2.31343284] ; [33.31343284 28.68656716],0
v4,1,0.267437,1.229844,[4 1] ; [58  4],[4.62686567 0.37313433] ; [57.37313433  4.62686567],0
p9,1,0.267437,1.229844,[4 1] ; [58  4],[4.62686567 0.37313433] ; [57.37313433  4.62686567],0
p7,1,0.272256,1.205344,[1 3] ; [32 28],[2.0625 1.9375] ; [30.9375 29.0625],0
p6,1,0.275548,1.188916,[3 2] ; [22 40],[1.86567164 3.13432836] ; [23.13432836 38.86567164],0
a7,1,0.326044,0.964545,[3 2] ; [49 13],[3.88059701 1.11940299] ; [48.11940299 13.88059701],0
u1,1,0.326044,0.964545,[2 3] ; [13 49],[1.11940299 3.88059701] ; [13.88059701 48.11940299],0
v2,1,0.328068,0.956509,[4 1] ; [34 25],[2.96875 2.03125] ; [35.03125 23.96875],0
d3,1,0.379493,0.772343,[3 2] ; [48 14],[3.80597015 1.19402985] ; [47.19402985 14.80597015],0
p8,1,0.390797,0.736462,[3 2] ; [25 37],[2.08955224 2.91044776] ; [25.91044776 36.08955224],0
s8,1,0.432894,0.615046,[3 2] ; [26 36],[2.1641791 2.8358209] ; [26.8358209 35.1641791],0
p4,1,0.451655,0.566495,[3 2] ; [26 35],[2.1969697 2.8030303] ; [26.8030303 34.1969697],0
b4,1,0.476683,0.506443,[2 3] ; [35 27],[2.76119403 2.23880597] ; [34.23880597 27.76119403],0
n5,1,0.483011,0.492057,[4 1] ; [40 22],[3.28358209 1.71641791] ; [40.71641791 21.28358209],0
s6,1,0.495856,0.463795,[4 1] ; [39 21],[3.30769231 1.69230769] ; [39.69230769 20.30769231],0
a4,1,0.522075,0.409793,[3 2] ; [28 34],[2.31343284 2.68656716] ; [28.68656716 33.31343284],0
v1,1,0.522075,0.409793,[3 2] ; [28 34],[2.31343284 2.68656716] ; [28.68656716 33.31343284],0
a5,1,0.525206,0.403659,[4 1] ; [41 21],[3.35820896 1.64179104] ; [41.64179104 20.35820896],0
v3,1,0.567827,0.326332,[1 3] ; [24 37],[1.53846154 2.46153846] ; [23.46153846 37.53846154],0
n2,1,0.601598,0.272593,[2 1] ; [16  4],[2.34782609 0.65217391] ; [15.65217391  4.34782609],0
p3,1,0.664451,0.188162,[2 3] ; [19 43],[1.56716418 3.43283582] ; [19.43283582 42.56716418],0
b5,1,0.722882,0.125748,[3 2] ; [42 20],[3.35820896 1.64179104] ; [41.64179104 20.35820896],0
u2,1,0.763441,0.09058,[1 1] ; [ 9 14],[0.8 1.2] ; [ 9.2 13.8],0
a2,1,0.774093,0.082383,[1 4] ; [16 46],[1.26865672 3.73134328] ; [15.73134328 46.26865672],0
b2,1,0.854403,0.033673,[2 3] ; [10 18],[1.81818182 3.18181818] ; [10.18181818 17.81818182],0
b3,1,0.854403,0.033673,[2 3] ; [10 18],[1.81818182 3.18181818] ; [10.18181818 17.81818182],0
a3,1,0.860434,0.030913,[3 2] ; [39 22],[3.18181818 1.81818182] ; [38.81818182 22.18181818],0
u3,1,0.901694,0.015257,[1 1] ; [10 12],[0.91666667 1.08333333] ; [10.08333333 11.91666667],0
n3,1,0.906855,0.01369,[2 1] ; [14  6],[2.08695652 0.91304348] ; [13.91304348  6.08695652],0
n6,1,0.959166,0.002622,[4 1] ; [49 13],[3.95522388 1.04477612] ; [49.04477612 12.95522388],0
