Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,6e-06,20.365962,[49  7] ; [1 6],[44.44444444 11.55555556] ; [5.55555556 1.44444444],1
n4,1,0.000101,15.121676,[46 10] ; [1 6],[41.77777778 14.22222222] ; [5.22222222 1.77777778],1
v4,1,0.00021,13.741991,[51  4] ; [3 4],[47.90322581  7.09677419] ; [6.09677419 0.90322581],1
r3,1,0.001439,10.154605,[53  3] ; [4 3],[50.66666667  5.33333333] ; [6.33333333 0.66666667],0
n5,1,0.015087,5.90625,[35 21] ; [1 6],[32. 24.] ; [4. 3.],0
n6,1,0.125751,2.344186,[40 16] ; [3 4],[38.22222222 17.77777778] ; [4.77777778 2.22222222],0
p2,1,0.156376,2.008929,[39 17] ; [3 4],[37.33333333 18.66666667] ; [4.66666667 2.33333333],0
a7,1,0.229074,1.446603,[37 19] ; [3 4],[35.55555556 20.44444444] ; [4.44444444 2.55555556],0
a3,1,0.256839,1.285714,[36 20] ; [6 1],[37.33333333 18.66666667] ; [4.66666667 2.33333333],0
b5,1,0.271028,1.211538,[36 20] ; [3 4],[34.66666667 21.33333333] ; [4.33333333 2.66666667],0
v3,1,0.30546,1.050203,[27 28] ; [2 5],[25.72580645 29.27419355] ; [3.27419355 3.72580645],0
n1,1,0.314065,1.013503,[9 8] ; [1 3],[8.0952381 8.9047619] ; [1.9047619 2.0952381],0
s6,1,0.328101,0.956378,[28 26] ; [5 2],[29.21311475 24.78688525] ; [3.78688525 3.21311475],0
p1,1,0.361056,0.834216,[ 3 53] ; [1 6],[ 3.55555556 52.44444444] ; [0.44444444 6.55555556],0
b4,1,0.365588,0.818607,[34 22] ; [3 4],[32.88888889 23.11111111] ; [4.11111111 2.88888889],0
n3,1,0.388072,0.744974,[13  5] ; [2 2],[12.27272727  5.72727273] ; [2.72727273 1.27272727],0
s2,1,0.409009,0.681679,[22 32] ; [4 3],[23.01639344 30.98360656] ; [2.98360656 4.01639344],0
a5,1,0.437485,0.602871,[40 16] ; [4 3],[39.11111111 16.88888889] ; [4.88888889 2.11111111],0
a2,1,0.473786,0.513132,[15 41] ; [1 6],[14.22222222 41.77777778] ; [1.77777778 5.22222222],0
s7,1,0.522638,0.408685,[21 30] ; [2 5],[20.22413793 30.77586207] ; [2.77586207 4.22413793],0
b2,1,0.523496,0.407,[12 23] ; [1 4],[11.375 23.625] ; [1.625 3.375],0
b3,1,0.523496,0.407,[12 23] ; [1 4],[11.375 23.625] ; [1.625 3.375],0
s3,1,0.559393,0.340756,[30 25] ; [3 4],[29.27419355 25.72580645] ; [3.72580645 3.27419355],0
s5,1,0.562293,0.33575,[13 41] ; [1 6],[12.39344262 41.60655738] ; [1.60655738 5.39344262],0
a6,1,0.58208,0.302885,[34 22] ; [5 2],[34.66666667 21.33333333] ; [4.33333333 2.66666667],0
p7,1,0.588738,0.292319,[29 25] ; [3 4],[28.32786885 25.67213115] ; [3.67213115 3.32786885],0
d1,1,0.59256,0.286364,[26 30] ; [4 3],[26.66666667 29.33333333] ; [3.33333333 3.66666667],0
p6,1,0.667905,0.184062,[13 40] ; [1 5],[12.57627119 40.42372881] ; [1.42372881 4.57627119],0
p10,1,0.718531,0.129905,[11 44] ; [1 6],[10.64516129 44.35483871] ; [1.35483871 5.64516129],0
d2,1,0.721546,0.127016,[28 28] ; [3 4],[27.55555556 28.44444444] ; [3.44444444 3.55555556],0
n2,1,0.736152,0.113538,[14  3] ; [3 1],[13.76190476  3.23809524] ; [3.23809524 0.76190476],0
p3,1,0.776039,0.080931,[22 34] ; [2 4],[21.67741935 34.32258065] ; [2.32258065 3.67741935],0
p11,1,0.789034,0.071591,[29 27] ; [4 3],[29.33333333 26.66666667] ; [3.66666667 3.33333333],0
s1,1,0.790335,0.07069,[ 6 49] ; [1 6],[ 6.20967742 48.79032258] ; [0.79032258 6.20967742],0
d3,1,0.848225,0.036628,[38 18] ; [5 2],[38.22222222 17.77777778] ; [4.77777778 2.22222222],0
p8,1,0.848225,0.036628,[18 38] ; [2 5],[17.77777778 38.22222222] ; [2.22222222 4.77777778],0
b1,1,0.928572,0.008036,[31 25] ; [4 3],[31.11111111 24.88888889] ; [3.88888889 3.11111111],0
v2,1,0.958156,0.002753,[32 23] ; [4 3],[31.93548387 23.06451613] ; [4.06451613 2.93548387],0
a4,1,0.968761,0.001534,[24 31] ; [3 4],[23.9516129 31.0483871] ; [3.0483871 3.9516129],0
s4,1,0.98534,0.000338,[ 8 47] ; [1 6],[ 7.98387097 47.01612903] ; [1.01612903 5.98387097],0
p4,1,1.0,0.0,[24 32] ; [3 4],[24. 32.] ; [3. 4.],0
d5,1,1.0,0.0,[40 16] ; [5 2],[40. 16.] ; [5. 2.],0
