Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.000486,12.169838,[13 11] ; [13 60],[ 6.43298969 17.56701031] ; [19.56701031 53.43298969],1
p8,1,0.045667,3.993851,[ 9 13] ; [15 60],[ 5.44329897 16.55670103] ; [18.55670103 56.44329897],0
r4,1,0.080951,3.045701,[15  9] ; [32 44],[11.28 12.72] ; [35.72 40.28],0
r1,1,0.09035,2.868124,[15  9] ; [32 43],[11.39393939 12.60606061] ; [35.60606061 39.39393939],0
b4,1,0.099002,2.721547,[16  8] ; [36 40],[12.48 11.52] ; [39.52 36.48],0
d3,1,0.189925,1.718203,[16  8] ; [38 36],[13.2244898 10.7755102] ; [40.7755102 33.2244898],0
a3,1,0.210128,1.570544,[17  6] ; [44 30],[14.46391753  8.53608247] ; [46.53608247 27.46391753],0
b1,1,0.294093,1.100791,[10 14] ; [41 35],[12.24 11.76] ; [38.76 37.24],0
v4,1,0.295452,1.094608,[19  5] ; [51 24],[16.96969697  7.03030303] ; [53.03030303 21.96969697],0
n4,1,0.323759,0.973699,[16  8] ; [42 34],[13.92 10.08] ; [44.08 31.92],0
a5,1,0.337866,0.91851,[15  9] ; [39 37],[12.96 11.04] ; [41.04 34.96],0
u3,1,0.341591,0.904453,[3 4] ; [ 8 24],[1.97435897 5.02564103] ; [ 9.02564103 22.97435897],0
s1,1,0.351274,0.86885,[ 3 21] ; [ 5 71],[ 1.92 22.08] ; [ 6.08 69.92],0
v1,1,0.365803,0.817871,[ 8 16] ; [18 57],[ 6.3030303 17.6969697] ; [19.6969697 55.3030303],0
p1,1,0.390081,0.738689,[ 2 22] ; [ 3 73],[ 1.2 22.8] ; [ 3.8 72.2],0
p9,1,0.405586,0.691702,[12 11] ; [30 41],[10.27659574 12.72340426] ; [31.72340426 39.27659574],0
p7,1,0.406315,0.689558,[ 6 16] ; [28 48],[ 7.63265306 14.36734694] ; [26.36734694 49.63265306],0
s3,1,0.407043,0.68742,[ 5 18] ; [23 52],[ 6.57142857 16.42857143] ; [21.42857143 53.57142857],0
n2,1,0.429195,0.625,[5 3] ; [15 17],[4. 4.] ; [16. 16.],0
n6,1,0.442561,0.589632,[14 10] ; [37 38],[12.36363636 11.63636364] ; [38.63636364 36.36363636],0
s2,1,0.458768,0.548898,[ 5 19] ; [11 65],[ 3.84 20.16] ; [12.16 63.84],0
b2,1,0.47546,0.509259,[3 7] ; [19 26],[4. 6.] ; [18. 27.],0
b3,1,0.47546,0.509259,[3 7] ; [19 26],[4. 6.] ; [18. 27.],0
r3,1,0.513838,0.426244,[16  8] ; [45 31],[14.64  9.36] ; [46.36 29.64],0
d4,1,0.539475,0.376514,[17  7] ; [48 27],[15.75757576  8.24242424] ; [49.24242424 25.75757576],0
s4,1,0.540083,0.375386,[ 4 20] ; [ 9 67],[ 3.12 20.88] ; [ 9.88 66.12],0
p10,1,0.546546,0.363541,[10 13] ; [27 47],[ 8.77319588 14.22680412] ; [28.22680412 45.77319588],0
n1,1,0.552664,0.352567,[2 5] ; [13 19],[2.69230769 4.30769231] ; [12.30769231 19.69230769],0
a4,1,0.558865,0.341674,[ 8 16] ; [30 45],[ 9.21212121 14.78787879] ; [28.78787879 46.21212121],0
n3,1,0.56635,0.328827,[4 3] ; [14 17],[3.31578947 3.68421053] ; [14.68421053 16.31578947],0
n5,1,0.580784,0.304969,[13 11] ; [46 30],[14.16  9.84] ; [44.84 31.16],0
d2,1,0.607385,0.264,[12 12] ; [33 42],[10.90909091 13.09090909] ; [34.09090909 40.90909091],0
d5,1,0.63831,0.220959,[16  8] ; [46 29],[15.03030303  8.96969697] ; [46.96969697 28.03030303],0
a2,1,0.639575,0.219298,[ 4 20] ; [16 60],[ 4.8 19.2] ; [15.2 60.8],0
s7,1,0.669084,0.182675,[ 3 18] ; [13 58],[ 3.65217391 17.34782609] ; [12.34782609 58.65217391],0
p6,1,0.693861,0.154937,[ 5 17] ; [14 60],[ 4.35416667 17.64583333] ; [14.64583333 59.35416667],0
d1,1,0.747751,0.103431,[11 13] ; [32 44],[10.32 13.68] ; [32.68 43.32],0
u1,1,0.754892,0.097466,[ 2 22] ; [ 8 68],[ 2.4 21.6] ; [ 7.6 68.4],0
s8,1,0.754892,0.097466,[ 2 22] ; [ 8 68],[ 2.4 21.6] ; [ 7.6 68.4],0
a6,1,0.774289,0.082237,[15  9] ; [45 31],[14.4  9.6] ; [45.6 30.4],0
p3,1,0.822902,0.050093,[ 5 18] ; [18 57],[ 5.39795918 17.60204082] ; [17.60204082 57.39795918],0
a7,1,0.8273,0.047596,[15  9] ; [45 30],[14.54545455  9.45454545] ; [45.45454545 29.54545455],0
b5,1,0.862793,0.029867,[15  9] ; [46 30],[14.64  9.36] ; [46.36 29.64],0
p4,1,0.888984,0.019485,[ 5 16] ; [17 59],[ 4.7628866 16.2371134] ; [17.2371134 58.7628866],0
u2,1,0.889381,0.019345,[2 5] ; [10 22],[2.15384615 4.84615385] ; [ 9.84615385 22.15384615],0
a1,1,0.895848,0.017137,[ 2 22] ; [ 7 69],[ 2.16 21.84] ; [ 6.84 69.16],0
p2,1,0.96928,0.001483,[11 12] ; [36 40],[10.91919192 12.08080808] ; [36.08080808 39.91919192],0
s5,1,0.972066,0.001226,[ 2 22] ; [ 6 68],[ 1.95918367 22.04081633] ; [ 6.04081633 67.95918367],0
