Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-06,24.637664,[103   6] ; [4 5],[98.83898305 10.16101695] ; [8.16101695 0.83898305],1
r2,1,6e-05,16.109655,[106   3] ; [6 3],[103.45762712   5.54237288] ; [8.54237288 0.45762712],1
p10,1,0.003552,8.499784,[90 17] ; [4 5],[86.70689655 20.29310345] ; [7.29310345 1.70689655],0
v4,1,0.005635,7.663318,[101   7] ; [6 3],[98.76923077  9.23076923] ; [8.23076923 0.76923077],0
p9,1,0.008702,6.883019,[91 15] ; [4 4],[88.33333333 17.66666667] ; [6.66666667 1.33333333],0
d2,1,0.020164,5.397622,[53 56] ; [8 1],[56.34745763 52.65254237] ; [4.65254237 4.34745763],0
p1,1,0.028454,4.800374,[10 97] ; [3 6],[11.99137931 95.00862069] ; [1.00862069 7.99137931],0
p7,1,0.045518,3.999332,[70 35] ; [3 6],[67.23684211 37.76315789] ; [5.76315789 3.23684211],0
r1,1,0.064227,3.424731,[88 20] ; [5 4],[85.84615385 22.15384615] ; [7.15384615 1.84615385],0
p4,1,0.080392,3.05695,[68 40] ; [3 6],[65.53846154 42.46153846] ; [5.46153846 3.53846154],0
s2,1,0.111259,2.53624,[66 43] ; [3 6],[63.73728814 45.26271186] ; [5.26271186 3.73728814],0
s7,1,0.114643,2.48902,[68 36] ; [3 5],[65.92857143 38.07142857] ; [5.07142857 2.92857143],0
a7,1,0.118763,2.433564,[76 33] ; [4 5],[73.89830508 35.10169492] ; [6.10169492 2.89830508],0
v2,1,0.141144,2.165446,[51 56] ; [2 7],[48.88793103 58.11206897] ; [4.11206897 4.88793103],0
d5,1,0.149743,2.074865,[84 25] ; [5 4],[82.21186441 26.78813559] ; [6.78813559 2.21186441],0
d3,1,0.172521,1.8609,[73 36] ; [4 5],[71.12711864 37.87288136] ; [5.87288136 3.12711864],0
p8,1,0.180276,1.795348,[53 54] ; [2 6],[51.17391304 55.82608696] ; [3.82608696 4.17391304],0
v3,1,0.184292,1.762666,[34 71] ; [1 8],[32.23684211 72.76315789] ; [2.76315789 6.23684211],0
n4,1,0.18852,1.729144,[74 35] ; [8 1],[75.74576271 33.25423729] ; [6.25423729 2.74576271],0
n6,1,0.213233,1.549337,[99 10] ; [7 2],[97.91525424 11.08474576] ; [8.08474576 0.91525424],0
a6,1,0.238342,1.390375,[70 39] ; [4 5],[68.3559322 40.6440678] ; [5.6440678 3.3559322],0
u3,1,0.241964,1.369118,[19 15] ; [1 3],[17.89473684 16.10526316] ; [2.10526316 1.89473684],0
s6,1,0.250066,1.322936,[95 12] ; [6 2],[93.97391304 13.02608696] ; [7.02608696 0.97391304],0
s3,1,0.272583,1.203704,[68 40] ; [4 5],[66.46153846 41.53846154] ; [5.53846154 3.46153846],0
b1,1,0.316035,1.005286,[42 67] ; [5 4],[43.41525424 65.58474576] ; [3.58474576 5.41525424],0
s8,1,0.316041,1.00526,[47 62] ; [2 6],[45.64957265 63.35042735] ; [3.35042735 4.64957265],0
s4,1,0.33143,0.943303,[31 76] ; [4 5],[32.28448276 74.71551724] ; [2.71551724 6.28448276],0
d4,1,0.394794,0.724126,[86 23] ; [6 3],[84.98305085 24.01694915] ; [7.01694915 1.98305085],0
a3,1,0.413508,0.668692,[75 34] ; [5 4],[73.89830508 35.10169492] ; [6.10169492 2.89830508],0
s1,1,0.493774,0.468293,[  6 103] ; [1 8],[  6.46610169 102.53389831] ; [0.53389831 8.46610169],0
n1,1,0.522003,0.409935,[12 15] ; [3 2],[12.65625 14.34375] ; [2.34375 2.65625],0
a5,1,0.570714,0.32149,[82 27] ; [6 3],[81.28813559 27.71186441] ; [6.71186441 2.28813559],0
p11,1,0.570714,0.32149,[82 27] ; [6 3],[81.28813559 27.71186441] ; [6.71186441 2.28813559],0
a1,1,0.590713,0.289232,[  7 102] ; [1 8],[  7.38983051 101.61016949] ; [0.61016949 8.38983051],0
p5,1,0.61248,0.256579,[17 91] ; [2 7],[17.53846154 90.46153846] ; [1.46153846 7.53846154],0
p3,1,0.650626,0.205111,[57 52] ; [4 5],[56.34745763 52.65254237] ; [4.65254237 4.34745763],0
b4,1,0.757619,0.09524,[67 42] ; [6 3],[67.43220339 41.56779661] ; [5.56779661 3.43220339],0
n3,1,0.77864,0.079012,[20  7] ; [4 1],[20.25  6.75] ; [3.75 1.25],0
p6,1,0.798508,0.065167,[41 68] ; [3 6],[40.6440678 68.3559322] ; [3.3559322 5.6440678],0
p2,1,0.840336,0.040587,[87 21] ; [7 2],[86.76923077 21.23076923] ; [7.23076923 1.76923077],0
d1,1,0.934174,0.006822,[59 50] ; [5 4],[59.11864407 49.88135593] ; [4.88135593 4.11864407],0
u2,1,0.95434,0.003278,[16 17] ; [2 2],[16.05405405 16.94594595] ; [1.94594595 2.05405405],0
a4,1,0.97643,0.000873,[49 60] ; [4 5],[48.95762712 60.04237288] ; [4.04237288 4.95762712],0
b5,1,0.97643,0.000873,[49 60] ; [4 5],[48.95762712 60.04237288] ; [4.04237288 4.95762712],0
