Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,0.0,25.696336,[42 17] ; [23 59],[27.19858156 31.80141844] ; [37.80141844 44.19858156],1
v3,1,3e-06,22.014641,[31 29] ; [13 72],[18.20689655 41.79310345] ; [25.79310345 59.20689655],1
d1,1,0.000859,11.109681,[35 25] ; [26 59],[25.24137931 34.75862069] ; [35.75862069 49.24137931],1
p6,1,0.00094,10.941866,[29 30] ; [19 65],[19.8041958 39.1958042] ; [28.1958042 55.8041958],1
d3,1,0.002054,9.500267,[43 17] ; [38 45],[33.98601399 26.01398601] ; [47.01398601 35.98601399],0
d5,1,0.011873,6.32967,[50 10] ; [54 30],[43.33333333 16.66666667] ; [60.66666667 23.33333333],0
p7,1,0.013908,6.049771,[40 19] ; [39 44],[32.82394366 26.17605634] ; [46.17605634 36.82394366],0
n4,1,0.020179,5.396313,[47 13] ; [51 34],[40.55172414 19.44827586] ; [57.44827586 27.55172414],0
s6,1,0.037386,4.332738,[37 18] ; [42 43],[31.03571429 23.96428571] ; [47.96428571 37.03571429],0
r3,1,0.048595,3.889286,[57  3] ; [71 13],[53.33333333  6.66666667] ; [74.66666667  9.33333333],0
n5,1,0.05073,3.817156,[49 11] ; [57 28],[43.86206897 16.13793103] ; [62.13793103 22.86206897],0
s5,1,0.05604,3.650864,[19 35] ; [17 66],[14.18978102 39.81021898] ; [21.81021898 61.18978102],0
a2,1,0.067123,3.352003,[ 9 51] ; [ 5 80],[ 5.79310345 54.20689655] ; [ 8.20689655 76.79310345],0
s7,1,0.071244,3.25412,[27 28] ; [28 55],[21.92028986 33.07971014] ; [33.07971014 49.92028986],0
p3,1,0.083571,2.994042,[32 28] ; [33 52],[26.89655172 33.10344828] ; [38.10344828 46.89655172],0
d4,1,0.085945,2.948739,[48 12] ; [57 28],[43.44827586 16.55172414] ; [61.55172414 23.44827586],0
d2,1,0.102024,2.673623,[25 35] ; [24 60],[20.41666667 39.58333333] ; [28.58333333 55.41666667],0
p4,1,0.124347,2.361691,[36 24] ; [40 45],[31.44827586 28.55172414] ; [44.55172414 40.44827586],0
a3,1,0.12978,2.29513,[40 20] ; [46 39],[35.5862069 24.4137931] ; [50.4137931 34.5862069],0
s2,1,0.133135,2.255561,[33 27] ; [36 49],[28.55172414 31.44827586] ; [40.44827586 44.55172414],0
a4,1,0.218078,1.516972,[22 38] ; [23 62],[18.62068966 41.37931034] ; [26.37931034 58.62068966],0
p1,1,0.22175,1.493012,[ 4 56] ; [11 74],[ 6.20689655 53.79310345] ; [ 8.79310345 76.20689655],0
s8,1,0.240259,1.379071,[24 36] ; [26 59],[20.68965517 39.31034483] ; [29.31034483 55.68965517],0
r4,1,0.242898,1.363697,[43 17] ; [53 32],[39.72413793 20.27586207] ; [56.27586207 28.72413793],0
s3,1,0.271482,1.209242,[32 28] ; [37 47],[28.75 31.25] ; [40.25 43.75],0
u3,1,0.307786,1.040152,[11  9] ; [16 23],[ 9.15254237 10.84745763] ; [17.84745763 21.15254237],0
b4,1,0.337739,0.918994,[40 20] ; [50 35],[37.24137931 22.75862069] ; [52.75862069 32.24137931],0
p11,1,0.346708,0.885469,[51  9] ; [67 18],[48.82758621 11.17241379] ; [69.17241379 15.82758621],0
n6,1,0.346708,0.885469,[51  9] ; [67 18],[48.82758621 11.17241379] ; [69.17241379 15.82758621],0
n1,1,0.352567,0.864198,[ 5 13] ; [10 14],[ 6.42857143 11.57142857] ; [ 8.57142857 15.42857143],0
p12,1,0.394495,0.725041,[ 4 56] ; [ 3 81],[ 2.91666667 57.08333333] ; [ 4.08333333 79.91666667],0
p8,1,0.409284,0.680881,[30 28] ; [38 47],[27.58041958 30.41958042] ; [40.41958042 44.58041958],0
p5,1,0.443289,0.587755,[ 9 51] ; [ 9 75],[ 7.5 52.5] ; [10.5 73.5],0
b2,1,0.58039,0.305605,[14 25] ; [18 25],[15.2195122 23.7804878] ; [16.7804878 26.2195122],0
b3,1,0.58039,0.305605,[14 25] ; [18 25],[15.2195122 23.7804878] ; [16.7804878 26.2195122],0
p9,1,0.600471,0.274286,[57  3] ; [78  6],[56.25  3.75] ; [78.75  5.25],0
u1,1,0.610526,0.25941,[ 4 56] ; [ 4 81],[ 3.31034483 56.68965517] ; [ 4.68965517 80.31034483],0
n2,1,0.672583,0.178595,[14  5] ; [19  5],[14.58139535  4.41860465] ; [18.41860465  5.58139535],0
a6,1,0.708311,0.13997,[32 28] ; [48 37],[33.10344828 26.89655172] ; [46.89655172 38.10344828],0
s1,1,0.722589,0.126026,[ 2 58] ; [ 2 83],[ 1.65517241 58.34482759] ; [ 2.34482759 82.65517241],0
u2,1,0.779437,0.07843,[10 10] ; [21 18],[10.50847458  9.49152542] ; [20.49152542 18.50847458],0
