Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,2.8e-05,17.550238,[13  2] ; [ 8 27],[6.3 8.7] ; [14.7 20.3],1
s2,1,0.000357,12.745019,[6 9] ; [ 1 36],[ 2.01923077 12.98076923] ; [ 4.98076923 32.01923077],1
p10,1,0.002595,9.072063,[11  4] ; [10 26],[6.17647059 8.82352941] ; [14.82352941 21.17647059],0
s6,1,0.006261,7.473657,[8 7] ; [ 6 31],[ 4.03846154 10.96153846] ; [ 9.96153846 27.03846154],0
p2,1,0.01405,6.031863,[9 5] ; [10 27],[5.21568627 8.78431373] ; [13.78431373 23.21568627],0
n2,1,0.025985,4.956995,[5 1] ; [ 6 13],[2.64 3.36] ; [ 8.36 10.64],0
p6,1,0.037119,4.344947,[ 3 12] ; [ 1 35],[ 1.17647059 13.82352941] ; [ 2.82352941 33.17647059],0
p8,1,0.047155,3.939865,[7 8] ; [ 7 29],[ 4.11764706 10.88235294] ; [ 9.88235294 26.11764706],0
d2,1,0.047311,3.934286,[ 3 12] ; [18 18],[6.17647059 8.82352941] ; [14.82352941 21.17647059],0
p7,1,0.054292,3.703704,[7 7] ; [ 8 28],[4.2 9.8] ; [10.8 25.2],0
b5,1,0.100129,2.703489,[9 6] ; [13 24],[6.34615385 8.65384615] ; [15.65384615 21.34615385],0
v4,1,0.104434,2.636487,[11  4] ; [18 19],[8.36538462 6.63461538] ; [20.63461538 16.36538462],0
r4,1,0.151085,2.061261,[ 4 11] ; [ 4 33],[ 2.30769231 12.69230769] ; [ 5.69230769 31.30769231],0
a3,1,0.170507,1.878479,[10  4] ; [18 18],[7.84 6.16] ; [20.16 15.84],0
r2,1,0.233722,1.418067,[12  3] ; [22 13],[10.2  4.8] ; [23.8 11.2],0
s5,1,0.256018,1.290165,[ 4 11] ; [ 5 32],[ 2.59615385 12.40384615] ; [ 6.40384615 30.59615385],0
p11,1,0.258312,1.277779,[6 9] ; [ 9 28],[ 4.32692308 10.67307692] ; [10.67307692 26.32692308],0
b4,1,0.265645,1.239099,[11  4] ; [21 16],[9.23076923 5.76923077] ; [22.76923077 14.23076923],0
a5,1,0.358471,0.843243,[9 6] ; [17 20],[7.5 7.5] ; [18.5 18.5],0
s4,1,0.360684,0.83551,[ 1 14] ; [ 6 31],[ 2.01923077 12.98076923] ; [ 4.98076923 32.01923077],0
v3,1,0.412457,0.671707,[ 4 11] ; [ 6 30],[ 2.94117647 12.05882353] ; [ 7.05882353 28.94117647],0
p3,1,0.415985,0.661629,[5 9] ; [ 9 28],[ 3.84313725 10.15686275] ; [10.15686275 26.84313725],0
d3,1,0.438716,0.59964,[7 8] ; [13 24],[5.76923077 9.23076923] ; [14.23076923 22.76923077],0
a7,1,0.438716,0.59964,[7 8] ; [13 24],[5.76923077 9.23076923] ; [14.23076923 22.76923077],0
n4,1,0.474441,0.511615,[9 6] ; [26 11],[10.09615385  4.90384615] ; [24.90384615 12.09615385],0
u2,1,0.477197,0.505263,[1 4] ; [ 7 12],[1.66666667 3.33333333] ; [ 6.33333333 12.66666667],0
b2,1,0.510961,0.432099,[4 4] ; [10 17],[3.2 4.8] ; [10.8 16.2],0
b3,1,0.510961,0.432099,[4 4] ; [10 17],[3.2 4.8] ; [10.8 16.2],0
p4,1,0.543436,0.369208,[ 5 10] ; [ 9 27],[ 4.11764706 10.88235294] ; [ 9.88235294 26.11764706],0
