Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,2.5e-05,17.780781,[16 25] ; [10 96],[ 7.25170068 33.74829932] ; [18.74829932 87.25170068],1
v2,1,0.000267,13.287407,[25 15] ; [31 74],[15.44827586 24.55172414] ; [40.55172414 64.44827586],1
v1,1,0.001425,10.172943,[21 19] ; [26 79],[12.96551724 27.03448276] ; [34.03448276 70.96551724],0
r2,1,0.004091,8.242864,[40  1] ; [81 23],[34.2137931  6.7862069] ; [86.7862069 17.2137931],0
s7,1,0.009758,6.678535,[17 23] ; [21 79],[10.85714286 29.14285714] ; [27.14285714 72.85714286],0
n4,1,0.013632,6.085164,[32  9] ; [60 47],[25.48648649 15.51351351] ; [66.51351351 40.48648649],0
s6,1,0.019056,5.496375,[23 18] ; [37 69],[16.73469388 24.26530612] ; [43.26530612 62.73469388],0
a2,1,0.046423,3.966184,[13 28] ; [18 89],[ 8.58783784 32.41216216] ; [22.41216216 84.58783784],0
n6,1,0.046554,3.961429,[31 10] ; [62 45],[25.76351351 15.23648649] ; [67.23648649 39.76351351],0
d5,1,0.047621,3.923309,[33  8] ; [68 39],[27.97972973 13.02027027] ; [73.02027027 33.97972973],0
d3,1,0.054008,3.712457,[29 12] ; [57 50],[23.82432432 17.17567568] ; [62.17567568 44.82432432],0
a6,1,0.056565,3.635349,[30 11] ; [60 47],[24.93243243 16.06756757] ; [65.06756757 41.93243243],0
r4,1,0.059569,3.549334,[32  9] ; [66 41],[27.14864865 13.85135135] ; [70.85135135 36.14864865],0
v4,1,0.063872,3.433885,[36  5] ; [78 28],[31.79591837  9.20408163] ; [82.20408163 23.79591837],0
s2,1,0.064472,3.418425,[15 26] ; [23 83],[10.59863946 30.40136054] ; [27.40136054 78.59863946],0
b4,1,0.083815,2.98932,[29 12] ; [59 48],[24.37837838 16.62162162] ; [63.62162162 43.37837838],0
p4,1,0.086558,2.937248,[15 25] ; [25 82],[10.88435374 29.11564626] ; [29.11564626 77.88435374],0
s5,1,0.10989,2.555804,[10 29] ; [15 90],[ 6.77083333 32.22916667] ; [18.22916667 86.77083333],0
u2,1,0.157436,1.998682,[8 5] ; [19 29],[5.75409836 7.24590164] ; [21.24590164 26.75409836],0
p9,1,0.16123,1.962653,[17 22] ; [32 71],[13.45774648 25.54225352] ; [35.54225352 67.45774648],0
a3,1,0.166841,1.911098,[28 13] ; [58 46],[24.31724138 16.68275862] ; [61.68275862 42.31724138],0
d4,1,0.181909,1.78196,[32  8] ; [73 33],[28.76712329 11.23287671] ; [76.23287671 29.76712329],0
r3,1,0.185692,1.751471,[34  6] ; [80 27],[31.02040816  8.97959184] ; [82.97959184 24.02040816],0
a8,1,0.193555,1.690348,[ 7 31] ; [10 88],[ 4.75 33.25] ; [12.25 85.75],0
d1,1,0.204417,1.610534,[22 19] ; [45 62],[18.56081081 22.43918919] ; [48.43918919 58.56081081],0
a4,1,0.218673,1.513057,[21 20] ; [42 63],[17.69178082 23.30821918] ; [45.30821918 59.69178082],0
n5,1,0.237117,1.397654,[27 14] ; [59 48],[23.82432432 17.17567568] ; [62.17567568 44.82432432],0
a7,1,0.248163,1.333618,[27 13] ; [61 46],[23.94557823 16.05442177] ; [64.05442177 42.94557823],0
s4,1,0.249738,1.324768,[ 3 38] ; [15 90],[ 5.05479452 35.94520548] ; [12.94520548 92.05479452],0
p8,1,0.257686,1.281148,[12 27] ; [23 83],[ 9.4137931 29.5862069] ; [25.5862069 80.4137931],0
n2,1,0.259499,1.271428,[10  4] ; [29 24],[8.14925373 5.85074627] ; [30.85074627 22.14925373],0
p6,1,0.27237,1.204772,[10 30] ; [18 88],[ 7.67123288 32.32876712] ; [20.32876712 85.67123288],0
s3,1,0.275766,1.187841,[18 21] ; [38 67],[15.16666667 23.83333333] ; [40.83333333 64.16666667],0
d2,1,0.311634,1.023738,[23 17] ; [51 55],[20.2739726 19.7260274] ; [53.7260274 52.2739726],0
u3,1,0.327606,0.958338,[7 6] ; [19 30],[5.4516129 7.5483871] ; [20.5483871 28.4516129],0
r1,1,0.335579,0.927249,[29 12] ; [66 40],[26.49659864 14.50340136] ; [68.50340136 37.49659864],0
a1,1,0.364107,0.823678,[ 5 36] ; [ 8 99],[ 3.60135135 37.39864865] ; [ 9.39864865 97.60135135],0
b2,1,0.379043,0.773805,[ 6 20] ; [22 46],[ 7.74468085 18.25531915] ; [20.25531915 47.74468085],0
b3,1,0.379043,0.773805,[ 6 20] ; [22 46],[ 7.74468085 18.25531915] ; [20.25531915 47.74468085],0
a5,1,0.398732,0.712147,[25 16] ; [57 50],[22.71621622 18.28378378] ; [59.28378378 47.71621622],0
s1,1,0.425362,0.635453,[ 1 39] ; [  6 100],[ 1.91780822 38.08219178] ; [  5.08219178 100.91780822],0
n3,1,0.477583,0.504376,[9 4] ; [31 22],[7.87878788 5.12121212] ; [32.12121212 20.87878788],0
u1,1,0.533675,0.387389,[ 7 34] ; [14 93],[ 5.81756757 35.18243243] ; [15.18243243 91.81756757],0
p1,1,0.542077,0.371703,[ 3 38] ; [  5 100],[ 2.24657534 38.75342466] ; [ 5.75342466 99.24657534],0
p2,1,0.595375,0.282029,[21 20] ; [60 47],[22.43918919 18.56081081] ; [58.56081081 48.43918919],0
p7,1,0.806814,0.059799,[13 26] ; [38 69],[13.62328767 25.37671233] ; [37.37671233 69.62328767],0
n1,1,0.809362,0.058201,[4 8] ; [20 34],[4.36363636 7.63636364] ; [19.63636364 34.36363636],0
b1,1,0.836056,0.042824,[18 23] ; [49 58],[18.56081081 22.43918919] ; [48.43918919 58.56081081],0
u4,1,0.902543,0.014994,[ 1 40] ; [  3 104],[ 1.10810811 39.89189189] ; [  2.89189189 104.10810811],0
p11,1,0.903119,0.014816,[21 20] ; [56 51],[21.33108108 19.66891892] ; [55.66891892 51.33108108],0
b5,1,0.928378,0.00808,[26 15] ; [67 40],[25.76351351 15.23648649] ; [67.23648649 39.76351351],0
