Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,0.007001,7.272727,[70 40] ; [2 8],[66. 44.] ; [6. 4.],0
a6,1,0.008836,6.855722,[70 42] ; [2 8],[66.09836066 45.90163934] ; [5.90163934 4.09836066],0
r3,1,0.037303,4.336533,[87 23] ; [5 5],[84.33333333 25.66666667] ; [7.66666667 2.33333333],0
v2,1,0.051853,3.780494,[45 64] ; [1 9],[42.13445378 66.86554622] ; [3.86554622 6.13445378],0
s6,1,0.068221,3.325315,[26 84] ; [5 5],[28.41666667 81.58333333] ; [2.58333333 7.41666667],0
a5,1,0.098367,2.731816,[64 48] ; [3 7],[61.50819672 50.49180328] ; [5.49180328 4.50819672],0
a1,1,0.155573,2.016735,[  8 104] ; [2 8],[  9.18032787 102.81967213] ; [0.81967213 9.18032787],0
n5,1,0.160631,1.968271,[52 59] ; [7 3],[54.12396694 56.87603306] ; [4.87603306 5.12396694],0
d4,1,0.185913,1.749709,[78 33] ; [5 5],[76.14049587 34.85950413] ; [6.85950413 3.14049587],0
r2,1,0.199165,1.648485,[92 18] ; [6 3],[90.58823529 19.41176471] ; [7.41176471 1.58823529],0
p9,1,0.203093,1.619991,[31 77] ; [1 9],[29.28813559 78.71186441] ; [2.71186441 7.28813559],0
p11,1,0.225277,1.470433,[56 56] ; [3 7],[54.16393443 57.83606557] ; [4.83606557 5.16393443],0
a3,1,0.28106,1.161956,[64 47] ; [4 6],[62.38016529 48.61983471] ; [5.61983471 4.38016529],0
b3,1,0.291645,1.112014,[22 53] ; [3 3],[23.14814815 51.85185185] ; [1.85185185 4.14814815],0
b2,1,0.291645,1.112014,[22 53] ; [3 3],[23.14814815 51.85185185] ; [1.85185185 4.14814815],0
d1,1,0.317121,1.000783,[52 60] ; [3 7],[50.49180328 61.50819672] ; [4.50819672 5.49180328],0
s1,1,0.334955,0.929644,[  4 106] ; [1 9],[  4.58333333 105.41666667] ; [0.41666667 9.58333333],0
r4,1,0.338195,0.91726,[73 39] ; [5 5],[71.60655738 40.39344262] ; [6.39344262 3.60655738],0
p7,1,0.359423,0.839908,[38 73] ; [2 8],[36.69421488 74.30578512] ; [3.30578512 6.69421488],0
s5,1,0.39836,0.713272,[12 97] ; [2 8],[12.82352941 96.17647059] ; [1.17647059 8.82352941],0
b1,1,0.410281,0.677986,[60 52] ; [4 6],[58.75409836 53.24590164] ; [5.24590164 4.75409836],0
v1,1,0.417196,0.658202,[36 75] ; [2 8],[34.85950413 76.14049587] ; [3.14049587 6.85950413],0
p6,1,0.435085,0.60921,[22 87] ; [1 9],[21.06722689 87.93277311] ; [1.93277311 8.06722689],0
n4,1,0.560672,0.338542,[66 45] ; [5 5],[65.1322314 45.8677686] ; [5.8677686 4.1322314],0
a7,1,0.576646,0.311688,[65 45] ; [5 5],[64.16666667 45.83333333] ; [5.83333333 4.16666667],0
v4,1,0.591255,0.288388,[86 25] ; [7 3],[85.31404959 25.68595041] ; [7.68595041 2.31404959],0
d5,1,0.612066,0.257178,[76 36] ; [6 4],[75.27868852 36.72131148] ; [6.72131148 3.27868852],0
n3,1,0.625137,0.238713,[26 17] ; [3 3],[25.44897959 17.55102041] ; [3.55102041 2.44897959],0
d3,1,0.662391,0.190632,[64 48] ; [5 5],[63.3442623 48.6557377] ; [5.6557377 4.3442623],0
n2,1,0.672121,0.179131,[26 18] ; [3 3],[25.52 18.48] ; [3.48 2.52],0
p3,1,0.681716,0.1682,[29 83] ; [2 8],[28.45901639 83.54098361] ; [2.54098361 7.45901639],0
d2,1,0.698991,0.149523,[51 59] ; [4 6],[50.41666667 59.58333333] ; [4.58333333 5.41666667],0
u3,1,0.771454,0.084375,[21 27] ; [3 3],[21.33333333 26.66666667] ; [2.66666667 3.33333333],0
u2,1,0.783684,0.075362,[18 28] ; [2 4],[17.69230769 28.30769231] ; [2.30769231 3.69230769],0
b4,1,0.818696,0.052543,[63 49] ; [6 4],[63.3442623 48.6557377] ; [5.6557377 4.3442623],0
n6,1,0.864569,0.029091,[69 41] ; [6 4],[68.75 41.25] ; [6.25 3.75],0
b5,1,0.875801,0.024428,[70 42] ; [6 4],[69.7704918 42.2295082] ; [6.2295082 3.7704918],0
p2,1,0.913782,0.011722,[58 54] ; [5 5],[57.83606557 54.16393443] ; [5.16393443 4.83606557],0
n1,1,0.940505,0.00557,[14 30] ; [2 4],[14.08 29.92] ; [1.92 4.08],0
p4,1,0.97161,0.001267,[33 79] ; [3 7],[33.04918033 78.95081967] ; [2.95081967 7.04918033],0
a4,1,0.9822,0.000498,[44 67] ; [4 6],[44.03305785 66.96694215] ; [3.96694215 6.03305785],0
s2,1,0.992716,8.3e-05,[ 11 100] ; [1 9],[11.00826446 99.99173554] ; [0.99173554 9.00826446],0
