Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1e-06,24.169777,[17 21] ; [77 12],[28.12598425  9.87401575] ; [65.87401575 23.12598425],1
a6,1,0.001292,10.35326,[13 25] ; [58 31],[21.24409449 16.75590551] ; [49.75590551 39.24409449],0
v3,1,0.017965,5.599597,[ 5 33] ; [29 57],[10.41935484 27.58064516] ; [23.58064516 62.41935484],0
r1,1,0.018006,5.595565,[16 22] ; [57 31],[22.01587302 15.98412698] ; [50.98412698 37.01587302],0
a4,1,0.026519,4.921879,[ 4 34] ; [25 62],[ 8.816 29.184] ; [20.184 66.816],0
s3,1,0.035155,4.437611,[ 5 33] ; [27 60],[ 9.728 28.272] ; [22.272 64.728],0
v1,1,0.040549,4.194778,[10 28] ; [39 46],[15.13821138 22.86178862] ; [33.86178862 51.13821138],0
a5,1,0.041644,4.149617,[13 25] ; [48 41],[18.2519685 19.7480315] ; [42.7480315 46.2519685],0
s1,1,0.047776,3.917841,[ 4 34] ; [ 2 85],[ 1.824 36.176] ; [ 4.176 82.824],0
p3,1,0.056239,3.644961,[11 27] ; [42 47],[15.85826772 22.14173228] ; [37.14173228 51.85826772],0
p1,1,0.103571,2.649682,[ 2 36] ; [14 75],[ 4.78740157 33.21259843] ; [11.21259843 77.78740157],0
r2,1,0.116642,2.461837,[28 10] ; [76 13],[31.11811024  6.88188976] ; [72.88188976 16.11811024],0
n6,1,0.161751,1.957779,[23 15] ; [65 24],[26.33070866 11.66929134] ; [61.66929134 27.33070866],0
r4,1,0.165101,1.926877,[24 14] ; [67 22],[27.22834646 10.77165354] ; [63.77165354 25.22834646],0
s6,1,0.18686,1.742201,[11 27] ; [36 51],[14.288 23.712] ; [32.712 54.288],0
u2,1,0.208912,1.578947,[12  9] ; [20 29],[ 9.6 11.4] ; [22.4 26.6],0
b4,1,0.222193,1.490149,[16 22] ; [48 41],[19.1496063 18.8503937] ; [44.8503937 44.1496063],0
a8,1,0.239015,1.386393,[ 2 36] ; [10 72],[ 3.8 34.2] ; [ 8.2 73.8],0
p12,1,0.260772,1.264656,[ 1 37] ; [ 7 81],[ 2.41269841 35.58730159] ; [ 5.58730159 82.41269841],0
b5,1,0.265193,1.241446,[19 19] ; [54 35],[21.84251969 16.15748031] ; [51.15748031 37.84251969],0
n1,1,0.272482,1.204211,[ 6 13] ; [12 13],[ 7.77272727 11.22727273] ; [10.22727273 14.77272727],0
b1,1,0.319907,0.989327,[19 19] ; [36 53],[16.45669291 21.54330709] ; [38.54330709 50.45669291],0
s8,1,0.330501,0.946932,[ 5 33] ; [18 70],[ 6.93650794 31.06349206] ; [16.06349206 71.93650794],0
v2,1,0.378777,0.774669,[11 25] ; [32 50],[13.11864407 22.88135593] ; [29.88135593 52.11864407],0
d5,1,0.436776,0.604739,[13 25] ; [37 52],[14.96062992 23.03937008] ; [35.03937008 53.96062992],0
a1,1,0.467601,0.527638,[ 1 37] ; [ 5 84],[ 1.79527559 36.20472441] ; [ 4.20472441 84.79527559],0
s4,1,0.477854,0.503756,[ 5 33] ; [ 8 81],[ 3.88976378 34.11023622] ; [ 9.11023622 79.88976378],0
u3,1,0.49125,0.473787,[10 11] ; [19 30],[ 8.7 12.3] ; [20.3 28.7],0
n3,1,0.491251,0.473785,[15  4] ; [16  7],[14.02380952  4.97619048] ; [16.97619048  6.02380952],0
p6,1,0.499817,0.455324,[ 8 30] ; [23 63],[ 9.5 28.5] ; [21.5 64.5],0
d3,1,0.53019,0.394027,[ 8 29] ; [24 65],[ 9.3968254 27.6031746] ; [22.6031746 66.3968254],0
s7,1,0.543833,0.368482,[ 6 31] ; [17 64],[ 7.21186441 29.78813559] ; [15.78813559 65.21186441],0
p2,1,0.597386,0.278956,[26 12] ; [65 24],[27.22834646 10.77165354] ; [63.77165354 25.22834646],0
p4,1,0.598283,0.277594,[16 22] ; [42 47],[17.35433071 20.64566929] ; [40.64566929 48.35433071],0
p9,1,0.620577,0.245058,[24 13] ; [59 26],[25.17213115 11.82786885] ; [57.82786885 27.17213115],0
d2,1,0.656001,0.198418,[ 8 30] ; [22 67],[ 8.97637795 29.02362205] ; [21.02362205 67.97637795],0
p11,1,0.666959,0.18518,[25 13] ; [62 27],[26.03149606 11.96850394] ; [60.96850394 28.03149606],0
p7,1,0.678555,0.171757,[19 19] ; [47 40],[20.064 17.936] ; [45.936 41.064],0
a7,1,0.681009,0.168992,[22 16] ; [48 41],[20.94488189 17.05511811] ; [49.05511811 39.94488189],0
r3,1,0.686561,0.162833,[31  7] ; [69 19],[30.15873016  7.84126984] ; [69.84126984 18.15873016],0
s5,1,0.721477,0.127082,[ 4 34] ; [11 75],[ 4.59677419 33.40322581] ; [10.40322581 75.59677419],0
n2,1,0.737149,0.112649,[12  7] ; [17  8],[12.52272727  6.47727273] ; [16.47727273  8.52272727],0
v4,1,0.751256,0.100478,[32  6] ; [76 12],[32.57142857  5.42857143] ; [75.42857143 12.57142857],0
p5,1,0.859463,0.031349,[ 3 34] ; [ 8 80],[ 3.256 33.744] ; [ 7.744 80.256],0
p10,1,0.859549,0.03131,[23 14] ; [52 34],[22.56097561 14.43902439] ; [52.43902439 33.56097561],0
a3,1,0.898106,0.016398,[17 21] ; [40 47],[17.328 20.672] ; [39.672 47.328],0
p8,1,0.899307,0.016011,[17 20] ; [38 47],[16.68032787 20.31967213] ; [38.31967213 46.68032787],0
