Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.001732,9.81391,[10  3] ; [ 3 13],[5.82758621 7.17241379] ; [7.17241379 8.82758621],0
p11,1,0.041794,4.143521,[9 4] ; [ 5 11],[6.27586207 6.72413793] ; [7.72413793 8.27586207],0
p4,1,0.047987,3.91045,[7 6] ; [ 3 13],[4.48275862 8.51724138] ; [ 5.51724138 10.48275862],0
r3,1,0.071254,3.253889,[10  3] ; [7 9],[7.62068966 5.37931034] ; [9.37931034 6.62068966],0
s8,1,0.082142,3.021995,[4 9] ; [ 1 15],[ 2.24137931 10.75862069] ; [ 2.75862069 13.24137931],0
b4,1,0.089019,2.892033,[4 9] ; [10  6],[6.27586207 6.72413793] ; [7.72413793 8.27586207],0
b1,1,0.119355,2.425759,[12  1] ; [11  5],[10.31034483  2.68965517] ; [12.68965517  3.31034483],0
d1,1,0.119355,2.425759,[ 1 12] ; [ 5 11],[ 2.68965517 10.31034483] ; [ 3.31034483 12.68965517],0
p7,1,0.137276,2.208236,[10  3] ; [8 8],[8.06896552 4.93103448] ; [9.93103448 6.06896552],0
n2,1,0.164264,1.934524,[3 1] ; [3 6],[1.84615385 2.15384615] ; [4.15384615 4.84615385],0
v4,1,0.170007,1.882882,[9 4] ; [7 9],[7.17241379 5.82758621] ; [8.82758621 7.17241379],0
d2,1,0.185116,1.756067,[ 2 11] ; [ 6 10],[3.5862069 9.4137931] ; [ 4.4137931 11.5862069],0
a5,1,0.197631,1.659799,[8 5] ; [ 6 10],[6.27586207 6.72413793] ; [7.72413793 8.27586207],0
r4,1,0.227107,1.458891,[4 9] ; [ 2 14],[ 2.68965517 10.31034483] ; [ 3.31034483 12.68965517],0
v1,1,0.233297,1.420648,[6 7] ; [ 4 12],[4.48275862 8.51724138] ; [ 5.51724138 10.48275862],0
p3,1,0.262125,1.257498,[4 9] ; [ 2 13],[ 2.78571429 10.21428571] ; [ 3.21428571 11.78571429],0
p6,1,0.274006,1.196581,[ 2 11] ; [ 5 10],[3.25 9.75] ; [ 3.75 11.25],0
p8,1,0.28315,1.151909,[6 7] ; [ 4 11],[4.64285714 8.35714286] ; [5.35714286 9.64285714],0
p2,1,0.340405,0.908906,[8 5] ; [7 9],[6.72413793 6.27586207] ; [8.27586207 7.72413793],0
b5,1,0.340405,0.908906,[8 5] ; [7 9],[6.72413793 6.27586207] ; [8.27586207 7.72413793],0
s6,1,0.410727,0.676695,[6 7] ; [ 5 11],[4.93103448 8.06896552] ; [6.06896552 9.93103448],0
a1,1,0.421806,0.645279,[ 2 11] ; [ 1 15],[ 1.34482759 11.65517241] ; [ 1.65517241 14.34482759],0
v3,1,0.453319,0.56234,[ 3 10] ; [ 2 14],[ 2.24137931 10.75862069] ; [ 2.75862069 13.24137931],0
u2,1,0.474549,0.511364,[5 1] ; [6 3],[4.4 1.6] ; [6.6 2.4],0
s7,1,0.474895,0.510563,[3 8] ; [ 2 11],[2.29166667 8.70833333] ; [ 2.70833333 10.29166667],0
n3,1,0.505985,0.442361,[3 1] ; [5 4],[2.46153846 1.53846154] ; [5.53846154 3.46153846],0
s4,1,0.524967,0.404125,[ 2 11] ; [ 4 12],[ 2.68965517 10.31034483] ; [ 3.31034483 12.68965517],0
a6,1,0.534359,0.386095,[5 8] ; [8 8],[5.82758621 7.17241379] ; [7.17241379 8.82758621],0
d5,1,0.588439,0.292788,[6 7] ; [9 7],[6.72413793 6.27586207] ; [8.27586207 7.72413793],0
n5,1,0.637947,0.221437,[6 7] ; [ 6 10],[5.37931034 7.62068966] ; [6.62068966 9.37931034],0
d3,1,0.637947,0.221437,[6 7] ; [ 6 10],[5.37931034 7.62068966] ; [6.62068966 9.37931034],0
s1,1,0.672452,0.178748,[ 1 12] ; [ 2 14],[ 1.34482759 11.65517241] ; [ 1.65517241 14.34482759],0
a4,1,0.704507,0.143826,[4 9] ; [ 6 10],[4.48275862 8.51724138] ; [ 5.51724138 10.48275862],0
d4,1,0.704507,0.143826,[9 4] ; [10  6],[8.51724138 4.48275862] ; [10.48275862  5.51724138],0
a3,1,0.704738,0.14359,[7 6] ; [7 8],[6.5 6.5] ; [7.5 7.5],0
a8,1,0.755189,0.097222,[ 2 10] ; [ 2 14],[ 1.71428571 10.28571429] ; [ 2.28571429 13.71428571],0
n1,1,0.763824,0.090278,[1 3] ; [3 6],[1.23076923 2.76923077] ; [2.76923077 6.23076923],0
s3,1,0.777607,0.079772,[5 8] ; [ 5 10],[4.64285714 8.35714286] ; [5.35714286 9.64285714],0
s2,1,0.811414,0.056931,[ 2 11] ; [ 3 13],[ 2.24137931 10.75862069] ; [ 2.75862069 13.24137931],0
v2,1,0.819872,0.051852,[4 8] ; [ 6 10],[4.28571429 7.71428571] ; [ 5.71428571 10.28571429],0
s5,1,0.822729,0.050192,[ 2 11] ; [ 2 14],[ 1.79310345 11.20689655] ; [ 2.20689655 13.79310345],0
a7,1,0.897001,0.016758,[7 6] ; [9 7],[7.17241379 5.82758621] ; [8.82758621 7.17241379],0
n4,1,0.957675,0.002817,[5 8] ; [ 6 10],[4.93103448 8.06896552] ; [6.06896552 9.93103448],0
r1,1,0.957675,0.002817,[5 8] ; [ 6 10],[4.93103448 8.06896552] ; [6.06896552 9.93103448],0
u3,1,1.0,0.0,[2 4] ; [3 6],[2. 4.] ; [3. 6.],0
