Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.004006,8.281143,[16 12] ; [21 57],[ 9.77358491 18.22641509] ; [27.22641509 50.77358491],0
u3,1,0.008892,6.844444,[8 1] ; [14 21],[4.5 4.5] ; [17.5 17.5],0
r2,1,0.017993,5.596802,[27  1] ; [61 19],[22.81481481  5.18518519] ; [65.18518519 14.81481481],0
v1,1,0.018674,5.531832,[14 14] ; [21 60],[ 8.99082569 19.00917431] ; [26.00917431 54.99082569],0
s1,1,0.02703,4.888889,[ 5 22] ; [ 4 77],[ 2.25 24.75] ; [ 6.75 74.25],0
n4,1,0.02849,4.798176,[23  5] ; [48 33],[18.23853211  9.76146789] ; [52.76146789 28.23853211],0
s8,1,0.030305,4.691901,[ 8 20] ; [ 9 71],[ 4.40740741 23.59259259] ; [12.59259259 67.40740741],0
s7,1,0.030545,4.678363,[10 14] ; [15 61],[ 6. 18.] ; [19. 57.],0
p3,1,0.031053,4.650049,[ 9 19] ; [11 69],[ 5.18518519 22.81481481] ; [14.81481481 65.18518519],0
n2,1,0.086931,2.930301,[7 2] ; [18 21],[4.6875 4.3125] ; [20.3125 18.6875],0
s6,1,0.087653,2.916964,[13 15] ; [23 57],[ 9.33333333 18.66666667] ; [26.66666667 53.33333333],0
v4,1,0.095957,2.771491,[24  4] ; [55 24],[20.6728972  7.3271028] ; [58.3271028 20.6728972],0
p8,1,0.095982,2.771064,[ 2 26] ; [17 64],[ 4.88073394 23.11926606] ; [14.11926606 66.88073394],0
n6,1,0.112968,2.512201,[20  8] ; [44 37],[16.44036697 11.55963303] ; [47.55963303 33.44036697],0
p10,1,0.178859,1.807078,[ 9 19] ; [16 65],[ 6.42201835 21.57798165] ; [18.57798165 62.42201835],0
d4,1,0.202848,1.621748,[22  5] ; [55 25],[19.42990654  7.57009346] ; [57.57009346 22.42990654],0
n5,1,0.211225,1.56301,[19  9] ; [44 37],[16.18348624 11.81651376] ; [46.81651376 34.18348624],0
s2,1,0.218904,1.511542,[10 18] ; [19 61],[ 7.51851852 20.48148148] ; [21.48148148 58.51851852],0
u2,1,0.225818,1.467011,[6 2] ; [18 17],[4.46511628 3.53488372] ; [19.53488372 15.46511628],0
r3,1,0.259241,1.272807,[22  5] ; [57 24],[19.75  7.25] ; [59.25 21.75],0
u1,1,0.296034,1.091976,[ 1 27] ; [ 8 73],[ 2.31192661 25.68807339] ; [ 6.68807339 74.31192661],0
r4,1,0.303516,1.05868,[19  9] ; [46 35],[16.69724771 11.30275229] ; [48.30275229 32.69724771],0
n3,1,0.331802,0.941851,[6 3] ; [18 19],[4.69565217 4.30434783] ; [19.30434783 17.69565217],0
a3,1,0.33526,0.928474,[19  9] ; [46 34],[16.85185185 11.14814815] ; [48.14814815 31.85185185],0
