Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,1e-06,24.40079,[19 49] ; [43 17],[32.9375 35.0625] ; [29.0625 30.9375],1
v1,1,0.000151,14.35348,[28 40] ; [44 15],[38.5511811 29.4488189] ; [33.4488189 25.5511811],1
s8,1,0.000233,13.545615,[42 28] ; [54  7],[51.29770992 18.70229008] ; [44.70229008 16.29770992],1
n4,1,0.001592,9.96909,[56 13] ; [60  1],[61.56923077  7.43076923] ; [54.43076923  6.56923077],0
a1,1,0.008348,6.957323,[ 1 69] ; [ 8 53],[ 4.80916031 65.19083969] ; [ 4.19083969 56.80916031],0
n6,1,0.008615,6.900979,[54 14] ; [58  3],[59.03875969  8.96124031] ; [52.96124031  8.03875969],0
p7,1,0.011714,6.353581,[41 28] ; [48 12],[47.60465116 21.39534884] ; [41.39534884 18.60465116],0
a5,1,0.01615,5.786517,[47 23] ; [52  9],[52.90076336 17.09923664] ; [46.09923664 14.90076336],0
p3,1,0.017141,5.681841,[35 35] ; [43 18],[41.67938931 28.32061069] ; [36.32061069 24.67938931],0
n5,1,0.023674,5.118345,[55 14] ; [57  4],[59.44615385  9.55384615] ; [52.55384615  8.44615385],0
p5,1,0.024568,5.054105,[ 6 63] ; [14 47],[10.61538462 58.38461538] ; [ 9.38461538 51.61538462],0
d5,1,0.027866,4.83631,[51 19] ; [53  7],[56. 14.] ; [48. 12.],0
r4,1,0.030131,4.701778,[53 17] ; [55  6],[57.70992366 12.29007634] ; [50.29007634 10.70992366],0
b2,1,0.033177,4.536635,[20 31] ; [28 18],[25.2371134 25.7628866] ; [22.7628866 23.2371134],0
b3,1,0.033177,4.536635,[20 31] ; [28 18],[25.2371134 25.7628866] ; [22.7628866 23.2371134],0
s6,1,0.033565,4.516711,[52 17] ; [53  6],[56.6015625 12.3984375] ; [48.3984375 10.6015625],0
p11,1,0.058671,3.574564,[53 17] ; [54  7],[57.17557252 12.82442748] ; [49.82442748 11.17557252],0
s4,1,0.070148,3.279562,[22 47] ; [11 50],[17.51538462 51.48461538] ; [15.48461538 45.51538462],0
p10,1,0.07755,3.115521,[55 15] ; [54  6],[58.69230769 11.30769231] ; [50.30769231  9.69230769],0
p9,1,0.092011,2.838837,[57 13] ; [55  5],[60.30769231  9.69230769] ; [51.69230769  8.30769231],0
a2,1,0.100629,2.695552,[11 59] ; [ 4 57],[ 8.01526718 61.98473282] ; [ 6.98473282 54.01526718],0
p6,1,0.106291,2.608519,[27 42] ; [32 28],[31.55813953 37.44186047] ; [27.44186047 32.55813953],0
r3,1,0.132839,2.259009,[65  5] ; [60  1],[66.79389313  3.20610687] ; [58.20610687  2.79389313],0
