Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,126.513776,[421  47] ; [70 78],[373.03246753  94.96753247] ; [117.96753247  30.03246753],1
n6,1,0.0,52.032958,[426  40] ; [100  48],[399.21172638  66.78827362] ; [126.78827362  21.21172638],1
p10,1,0.0,40.275344,[417  46] ; [100  46],[393.05582923  69.94417077] ; [123.94417077  22.05582923],1
p4,1,3e-06,21.864448,[304 160] ; [65 83],[279.76470588 184.23529412] ; [89.23529412 58.76470588],1
v3,1,5e-06,20.749227,[213 238] ; [ 36 105],[189.69425676 261.30574324] ; [59.30574324 81.69425676],1
v1,1,6e-06,20.497421,[276 176] ; [56 86],[252.63299663 199.36700337] ; [79.36700337 62.63299663],1
s7,1,1.7e-05,18.507141,[226 216] ; [ 44 100],[203.65187713 238.34812287] ; [66.34812287 77.65187713],1
p9,1,6.2e-05,16.043892,[416  45] ; [114  33],[401.85855263  59.14144737] ; [128.14144737  18.85855263],1
s6,1,9.1e-05,15.319749,[305 155] ; [71 76],[284.94233937 175.05766063] ; [91.05766063 55.94233937],1
s2,1,0.000126,14.694218,[230 232] ; [ 47 101],[209.79344262 252.20655738] ; [67.20655738 80.79344262],1
a5,1,0.000562,11.898076,[363 104] ; [94 54],[347.02276423 119.97723577] ; [109.97723577  38.02276423],1
a2,1,0.000608,11.751352,[120 348] ; [ 18 130],[104.84415584 363.15584416] ; [ 33.15584416 114.84415584],1
d2,1,0.001688,9.860751,[238 226] ; [54 94],[221.38562092 242.61437908] ; [70.61437908 77.38562092],0
p3,1,0.001856,9.686292,[250 214] ; [58 90],[233.51633987 230.48366013] ; [74.48366013 73.51633987],0
s3,1,0.00459,8.034195,[255 204] ; [61 84],[240.13907285 218.86092715] ; [75.86092715 69.13907285],0
u1,1,0.005614,7.670199,[ 86 382] ; [ 13 135],[ 75.21428571 392.78571429] ; [ 23.78571429 124.21428571],0
s8,1,0.009235,6.776754,[216 247] ; [51 97],[202.32569558 260.67430442] ; [64.67430442 83.32569558],0
p5,1,0.009904,6.65214,[ 70 393] ; [ 10 136],[ 60.82101806 402.17898194] ; [ 19.17898194 126.82101806],0
d1,1,0.011255,6.424681,[286 182] ; [73 75],[272.74675325 195.25324675] ; [86.25324675 61.74675325],0
a4,1,0.012173,6.28551,[218 247] ; [52 96],[204.81239804 260.18760196] ; [65.18760196 82.81239804],0
p6,1,0.013835,6.059112,[174 286] ; [ 38 105],[161.72470978 298.27529022] ; [50.27529022 92.72470978],0
p8,1,0.022987,5.169464,[265 192] ; [70 78],[253.04958678 203.95041322] ; [81.95041322 66.04958678],0
d5,1,0.026167,4.944936,[385  81] ; [110  38],[375.68403909  90.31596091] ; [119.31596091  28.68403909],0
a3,1,0.030751,4.666806,[345 121] ; [96 52],[334.70032573 131.29967427] ; [106.29967427  41.70032573],0
s5,1,0.030925,4.657099,[146 310] ; [ 32 110],[135.73244147 320.26755853] ; [42.26755853 99.73244147],0
v2,1,0.041855,4.141052,[279 168] ; [75 67],[268.65534805 178.34465195] ; [85.34465195 56.65534805],0
a6,1,0.049701,3.851513,[329 136] ; [92 56],[319.35562806 145.64437194] ; [101.64437194  46.35562806],0
r4,1,0.061967,3.483941,[429  39] ; [128  20],[423.17532468  44.82467532] ; [133.82467532  14.17532468],0
p12,1,0.070598,3.269064,[ 48 414] ; [  8 139],[ 42.48275862 419.51724138] ; [ 13.51724138 133.48275862],0
p7,1,0.080115,3.062563,[306 149] ; [86 59],[297.26666667 157.73333333] ; [94.73333333 50.26666667],0
