Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p12,1,0.000605,11.759976,[ 3 64] ; [4 7],[ 6.01282051 60.98717949] ; [ 0.98717949 10.01282051],1
v1,1,0.011274,6.421665,[34 34] ; [10  1],[37.87341772 30.12658228] ; [6.12658228 4.87341772],0
d2,1,0.033375,4.526428,[39 29] ; [10  1],[42.17721519 25.82278481] ; [6.82278481 4.17721519],0
p3,1,0.049314,3.864635,[34 34] ; [9 2],[37.01265823 30.98734177] ; [5.98734177 5.01265823],0
s1,1,0.081824,3.028295,[ 3 65] ; [2 9],[ 4.30379747 63.69620253] ; [ 0.69620253 10.30379747],0
p8,1,0.096525,2.762049,[37 30] ; [9 2],[39.51282051 27.48717949] ; [6.48717949 4.51282051],0
s5,1,0.121335,2.4,[38 26] ; [7 1],[40. 24.] ; [5. 3.],0
p6,1,0.148459,2.088016,[33 34] ; [8 3],[35.21794872 31.78205128] ; [5.78205128 5.21794872],0
a3,1,0.156948,2.003389,[48 20] ; [10  1],[49.92405063 18.07594937] ; [8.07594937 2.92405063],0
p7,1,0.160665,1.967952,[46 19] ; [10  1],[47.89473684 17.10526316] ; [8.10526316 2.89473684],0
p1,1,0.228807,1.448265,[ 9 59] ; [3 8],[10.32911392 57.67088608] ; [1.67088608 9.32911392],0
r1,1,0.279652,1.168779,[52 16] ; [10  1],[53.36708861 14.63291139] ; [8.63291139 2.36708861],0
b2,1,0.351613,0.867628,[10 29] ; [3 4],[11.02173913 27.97826087] ; [1.97826087 5.02173913],0
b3,1,0.351613,0.867628,[10 29] ; [3 4],[11.02173913 27.97826087] ; [1.97826087 5.02173913],0
v3,1,0.39534,0.722455,[22 46] ; [5 6],[23.24050633 44.75949367] ; [3.75949367 7.24050633],0
a6,1,0.430526,0.621404,[41 27] ; [8 3],[42.17721519 25.82278481] ; [6.82278481 4.17721519],0
n6,1,0.477663,0.504195,[56 12] ; [10  1],[56.81012658 11.18987342] ; [9.18987342 1.81012658],0
d3,1,0.49665,0.462087,[49 19] ; [9 2],[49.92405063 18.07594937] ; [8.07594937 2.92405063],0
a2,1,0.49665,0.462087,[19 49] ; [2 9],[18.07594937 49.92405063] ; [2.92405063 8.07594937],0
a8,1,0.498938,0.457195,[ 3 60] ; [1 9],[ 3.45205479 59.54794521] ; [0.54794521 9.45205479],0
b4,1,0.519397,0.415091,[38 30] ; [5 6],[37.01265823 30.98734177] ; [5.98734177 5.01265823],0
s2,1,0.532476,0.389663,[56 11] ; [10  1],[56.69230769 10.30769231] ; [9.30769231 1.69230769],0
d5,1,0.61773,0.249071,[58 10] ; [10  1],[58.53164557  9.46835443] ; [9.46835443 1.53164557],0
v2,1,0.674084,0.176862,[31 34] ; [6 5],[31.64473684 33.35526316] ; [5.35526316 5.64473684],0
a7,1,0.736789,0.112969,[46 22] ; [8 3],[46.48101266 21.51898734] ; [7.51898734 3.48101266],0
a4,1,0.849804,0.03586,[33 35] ; [5 6],[32.70886076 35.29113924] ; [5.29113924 5.70886076],0
p11,1,0.872226,0.025867,[51 17] ; [8 3],[50.78481013 17.21518987] ; [8.21518987 2.78481013],0
s3,1,0.884325,0.021167,[56 11] ; [9 2],[55.83333333 11.16666667] ; [9.16666667 1.83333333],0
u1,1,0.884801,0.020992,[20 48] ; [3 8],[19.79746835 48.20253165] ; [3.20253165 7.79746835],0
s7,1,0.888569,0.019632,[52 13] ; [9 2],[52.17105263 12.82894737] ; [8.82894737 2.17105263],0
b1,1,0.934,0.006858,[30 38] ; [5 6],[30.12658228 37.87341772] ; [4.87341772 6.12658228],0
a5,1,0.963401,0.002106,[49 19] ; [8 3],[49.06329114 18.93670886] ; [7.93670886 3.06329114],0
b5,1,0.979574,0.000656,[43 25] ; [7 4],[43.03797468 24.96202532] ; [6.96202532 4.03797468],0
