Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,41.676068,[67 42] ; [ 41 135],[41.30526316 67.69473684] ; [ 66.69473684 109.30526316],1
s2,1,0.0,41.560939,[55 57] ; [ 25 151],[31.11111111 80.88888889] ; [ 48.88888889 127.11111111],1
s5,1,1e-06,23.411331,[35 75] ; [ 16 158],[19.75352113 90.24647887] ; [ 31.24647887 142.75352113],1
v4,1,5.5e-05,16.253709,[107   5] ; [135  38],[95.10175439 16.89824561] ; [146.89824561  26.10175439],1
s7,1,6.2e-05,16.049493,[33 80] ; [ 17 147],[20.39711191 92.60288809] ; [ 29.60288809 134.39711191],1
s4,1,0.000234,13.538194,[28 84] ; [ 16 161],[17.05190311 94.94809689] ; [ 26.94809689 150.05190311],1
p9,1,0.000778,11.29403,[85 24] ; [100  71],[72.01785714 36.98214286] ; [112.98214286  58.01785714],1
p10,1,0.00217,9.399975,[79 33] ; [91 83],[66.57342657 45.42657343] ; [103.42657343  70.57342657],0
n6,1,0.004346,8.133439,[89 24] ; [110  65],[78.07986111 34.92013889] ; [120.92013889  54.07986111],0
v1,1,0.004528,8.059055,[52 60] ; [ 52 122],[40.72727273 71.27272727] ; [ 63.27272727 110.72727273],0
p2,1,0.004547,8.051165,[84 29] ; [102  74],[72.7266436 40.2733564] ; [113.2733564  62.7266436],0
r4,1,0.006883,7.303318,[92 22] ; [117  60],[81.87628866 32.12371134] ; [127.12371134  49.87628866],0
n2,1,0.011818,6.338044,[31  7] ; [36 27],[25.20792079 12.79207921] ; [41.79207921 21.20792079],0
p12,1,0.016132,5.788423,[  7 106] ; [  2 173],[  3.53125 109.46875] ; [  5.46875 169.53125],0
p11,1,0.026353,4.932737,[81 33] ; [103  74],[72.08247423 41.91752577] ; [111.91752577  65.08247423],0
a7,1,0.029826,4.719299,[83 31] ; [105  69],[74.41666667 39.58333333] ; [113.58333333  60.41666667],0
p5,1,0.033598,4.515028,[  6 106] ; [  2 174],[  3.11111111 108.88888889] ; [  4.88888889 171.11111111],0
r3,1,0.036434,4.376693,[101  11] ; [141  33],[94.76923077 17.23076923] ; [147.23076923  26.76923077],0
r2,1,0.044853,4.024156,[104   8] ; [147  26],[98.63859649 13.36140351] ; [152.36140351  20.63859649],0
b5,1,0.045038,4.017218,[79 35] ; [102  75],[70.90721649 43.09278351] ; [110.09278351  66.90721649],0
r1,1,0.051555,3.790167,[83 31] ; [108  67],[75.34256055 38.65743945] ; [115.65743945  59.34256055],0
p7,1,0.051969,3.776773,[50 57] ; [ 61 113],[42.26690391 64.73309609] ; [ 68.73309609 105.26690391],0
n3,1,0.05525,3.674538,[29  9] ; [35 26],[24.56565657 13.43434343] ; [39.43434343 21.56565657],0
b1,1,0.060371,3.527163,[34 80] ; [ 72 105],[41.5257732 72.4742268] ; [ 64.4742268 112.5257732],0
d2,1,0.065555,3.390959,[34 79] ; [ 71 103],[41.34146341 71.65853659] ; [ 63.65853659 110.34146341],0
v3,1,0.077831,3.109618,[34 77] ; [ 36 133],[27.75 83.25] ; [ 42.25 126.75],0
v2,1,0.082587,3.013243,[51 55] ; [ 63 105],[44.10218978 61.89781022] ; [69.89781022 98.10218978],0
u1,1,0.100688,2.694617,[15 99] ; [ 13 164],[ 10.96907216 103.03092784] ; [ 17.03092784 159.96907216],0
a8,1,0.103463,2.651342,[16 88] ; [ 15 153],[11.85294118 92.14705882] ; [ 19.14705882 148.85294118],0
b4,1,0.105946,2.613678,[74 40] ; [98 79],[67.3814433 46.6185567] ; [104.6185567  72.3814433],0
n5,1,0.169156,1.890405,[74 39] ; [101  75],[68.42560554 44.57439446] ; [106.57439446  69.42560554],0
a2,1,0.174563,1.843311,[23 91] ; [ 25 152],[18.80412371 95.19587629] ; [ 29.19587629 147.80412371],0
d4,1,0.176539,1.826519,[87 26] ; [122  53],[82.00347222 30.99652778] ; [126.99652778  48.00347222],0
b3,1,0.179425,1.802384,[14 38] ; [36 59],[17.68707483 34.31292517] ; [32.31292517 62.68707483],0
b2,1,0.179425,1.802384,[14 38] ; [36 59],[17.68707483 34.31292517] ; [32.31292517 62.68707483],0
p1,1,0.230122,1.440107,[  4 109] ; [ 12 163],[  6.27777778 106.72222222] ; [  9.72222222 165.27777778],0
d3,1,0.234472,1.413527,[70 43] ; [96 79],[65.13194444 47.86805556] ; [100.86805556  74.13194444],0
u4,1,0.326824,0.961443,[  2 112] ; [  1 176],[  1.17525773 112.82474227] ; [  1.82474227 175.17525773],0
u3,1,0.355565,0.853496,[20 23] ; [26 43],[17.66071429 25.33928571] ; [28.33928571 40.66071429],0
p6,1,0.374837,0.787567,[16 94] ; [ 19 154],[13.60424028 96.39575972] ; [ 21.39575972 151.60424028],0
