Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,6.6e-05,15.927433,[9 3] ; [ 37 127],[3.13636364 8.86363636] ; [ 42.86363636 121.13636364],1
s5,1,0.000333,12.876279,[9 2] ; [ 46 111],[3.60119048 7.39880952] ; [ 51.39880952 105.60119048],1
p1,1,0.002533,9.116373,[3 9] ; [  7 159],[ 0.6741573 11.3258427] ; [  9.3258427 156.6741573],0
p8,1,0.008114,7.008216,[10  2] ; [71 91],[5.5862069 6.4137931] ; [75.4137931 86.5862069],0
p12,1,0.009313,6.761839,[3 9] ; [  9 156],[ 0.81355932 11.18644068] ; [ 11.18644068 153.81355932],0
p7,1,0.02238,5.216036,[11  1] ; [95 68],[7.26857143 4.73142857] ; [98.73142857 64.26857143],0
s7,1,0.022763,5.186525,[8 2] ; [68 90],[4.52380952 5.47619048] ; [71.47619048 86.52380952],0
d1,1,0.055343,3.67171,[4 8] ; [102  64],[7.14606742 4.85393258] ; [98.85393258 67.14606742],0
a1,1,0.085221,2.962412,[ 2 10] ; [  8 158],[ 0.6741573 11.3258427] ; [  9.3258427 156.6741573],0
b2,1,0.126045,2.340549,[5 4] ; [29 66],[2.94230769 6.05769231] ; [31.05769231 63.94230769],0
b3,1,0.126045,2.340549,[5 4] ; [29 66],[2.94230769 6.05769231] ; [31.05769231 63.94230769],0
p2,1,0.141424,2.1624,[11  1] ; [120  46],[8.83146067 3.16853933] ; [122.16853933  43.83146067],0
v3,1,0.154191,2.030295,[8 4] ; [74 89],[5.62285714 6.37714286] ; [76.37714286 86.62285714],0
u2,1,0.197595,1.660061,[3 1] ; [17 24],[1.77777778 2.22222222] ; [18.22222222 22.77777778],0
b5,1,0.201729,1.629811,[4 8] ; [87 79],[6.13483146 5.86516854] ; [84.86516854 81.13483146],0
a7,1,0.207217,1.590766,[11  1] ; [125  40],[9.22033898 2.77966102] ; [126.77966102  38.22033898],0
d2,1,0.223893,1.479246,[4 8] ; [85 80],[6.03389831 5.96610169] ; [82.96610169 82.03389831],0
u3,1,0.237463,1.395592,[3 1] ; [19 24],[1.87234043 2.12765957] ; [20.12765957 22.87234043],0
s4,1,0.363569,0.825526,[ 1 11] ; [ 31 134],[2.16949153 9.83050847] ; [ 29.83050847 135.16949153],0
r1,1,0.386147,0.751039,[11  1] ; [135  30],[9.89830508 2.10169492] ; [136.10169492  28.89830508],0
n5,1,0.388489,0.743667,[9 3] ; [102  61],[7.61142857 4.38857143] ; [103.38857143  59.61142857],0
d4,1,0.441363,0.592737,[9 3] ; [138  27],[9.96610169 2.03389831] ; [137.03389831  27.96610169],0
a5,1,0.452116,0.565342,[10  2] ; [122  44],[8.8988764 3.1011236] ; [123.1011236  42.8988764],0
s2,1,0.469937,0.522125,[4 7] ; [79 87],[5.15819209 5.84180791] ; [77.84180791 88.15819209],0
u1,1,0.473148,0.514614,[3 9] ; [ 28 138],[2.08988764 9.91011236] ; [ 28.91011236 137.08988764],0
b4,1,0.485156,0.487251,[6 6] ; [100  66],[7.14606742 4.85393258] ; [98.85393258 67.14606742],0
r4,1,0.555412,0.347711,[11  1] ; [142  24],[10.31460674  1.68539326] ; [142.68539326  23.31460674],0
s8,1,0.56302,0.334503,[5 6] ; [ 61 105],[4.10169492 6.89830508] ; [ 61.89830508 104.10169492],0
a3,1,0.572875,0.317896,[8 4] ; [123  43],[8.83146067 3.16853933] ; [122.16853933  43.83146067],0
a2,1,0.587515,0.294242,[ 2 10] ; [ 39 127],[2.76404494 9.23595506] ; [ 38.23595506 127.76404494],0
a4,1,0.602991,0.270508,[4 8] ; [68 98],[4.85393258 7.14606742] ; [67.14606742 98.85393258],0
a6,1,0.677081,0.17343,[9 3] ; [115  51],[8.35955056 3.64044944] ; [115.64044944  50.35955056],0
b1,1,0.719253,0.12921,[4 8] ; [ 64 102],[4.58426966 7.41573034] ; [ 63.41573034 102.58426966],0
n3,1,0.813142,0.055873,[3 1] ; [32  8],[3.18181818 0.81818182] ; [31.81818182  8.18181818],0
n6,1,0.816889,0.053614,[10  2] ; [133  32],[9.69491525 2.30508475] ; [133.30508475  31.69491525],0
a8,1,0.819796,0.051896,[ 1 10] ; [ 17 133],[1.22981366 9.77018634] ; [ 16.77018634 133.22981366],0
n4,1,0.829618,0.046308,[9 3] ; [119  46],[8.6779661 3.3220339] ; [119.3220339  45.6779661],0
d3,1,0.884979,0.020927,[8 4] ; [114  52],[8.2247191 3.7752809] ; [113.7752809  52.2247191],0
d5,1,0.970979,0.001324,[10  2] ; [139  27],[10.04494382  1.95505618] ; [138.95505618  27.04494382],0
n1,1,0.977675,0.000783,[1 3] ; [10 29],[1.02325581 2.97674419] ; [ 9.97674419 29.02325581],0
s3,1,0.997131,1.3e-05,[6 5] ; [89 74],[6.00574713 4.99425287] ; [88.99425287 74.00574713],0
