Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,4e-06,21.099219,[57 15] ; [ 2 11],[49.97647059 22.02352941] ; [9.02352941 3.97647059],1
r1,1,0.004435,8.096535,[47 25] ; [ 3 10],[42.35294118 29.64705882] ; [7.64705882 5.35294118],0
v4,1,0.006786,7.328787,[61 10] ; [7 6],[57.47619048 13.52380952] ; [10.52380952  2.47619048],0
s6,1,0.00873,6.87719,[39 32] ; [ 2 11],[34.6547619 36.3452381] ; [6.3452381 6.6547619],0
s3,1,0.013296,6.129327,[30 38] ; [ 1 12],[26.02469136 41.97530864] ; [4.97530864 8.02469136],0
d5,1,0.015432,5.866421,[31 41] ; [ 1 12],[27.10588235 44.89411765] ; [4.89411765 8.10588235],0
b1,1,0.031442,4.628658,[22 50] ; [8 5],[25.41176471 46.58823529] ; [4.58823529 8.41176471],0
n3,1,0.033642,4.512811,[18  5] ; [3 5],[15.58064516  7.41935484] ; [5.41935484 2.58064516],0
v1,1,0.036556,4.370964,[33 38] ; [ 2 11],[29.58333333 41.41666667] ; [5.41666667 7.58333333],0
p10,1,0.039469,4.240569,[46 25] ; [4 8],[42.77108434 28.22891566] ; [7.22891566 4.77108434],0
a6,1,0.042275,4.124172,[44 28] ; [4 9],[40.65882353 31.34117647] ; [7.34117647 5.65882353],0
p4,1,0.042804,4.103124,[26 46] ; [ 1 12],[22.87058824 49.12941176] ; [4.12941176 8.87058824],0
s2,1,0.074901,3.172203,[22 47] ; [ 1 12],[19.35365854 49.64634146] ; [3.64634146 9.35365854],0
s7,1,0.08957,2.882092,[21 48] ; [ 1 12],[18.51219512 50.48780488] ; [3.48780488 9.51219512],0
p3,1,0.116987,2.457205,[20 51] ; [ 1 12],[17.75 53.25] ; [3.25 9.75],0
a8,1,0.124228,2.363184,[ 6 58] ; [3 9],[ 7.57894737 56.42105263] ; [ 1.42105263 10.57894737],0
p9,1,0.140517,2.172292,[50 20] ; [6 6],[47.80487805 22.19512195] ; [8.19512195 3.80487805],0
d3,1,0.168019,1.900534,[18 54] ; [ 1 12],[16.09411765 55.90588235] ; [ 2.90588235 10.09411765],0
s8,1,0.168019,1.900534,[18 54] ; [ 1 12],[16.09411765 55.90588235] ; [ 2.90588235 10.09411765],0
a7,1,0.170894,1.875086,[37 35] ; [4 9],[34.72941176 37.27058824] ; [6.27058824 6.72941176],0
a5,1,0.170894,1.875086,[37 35] ; [4 9],[34.72941176 37.27058824] ; [6.27058824 6.72941176],0
r3,1,0.187824,1.734604,[55 17] ; [7 5],[53.14285714 18.85714286] ; [8.85714286 3.14285714],0
p11,1,0.190257,1.715629,[47 25] ; [6 7],[44.89411765 27.10588235] ; [8.10588235 4.89411765],0
v2,1,0.274294,1.195145,[22 46] ; [ 2 10],[20.4 47.6] ; [3.6 8.4],0
b2,1,0.329801,0.949677,[12 28] ; [3 3],[13.04347826 26.95652174] ; [1.95652174 4.04347826],0
b3,1,0.329801,0.949677,[12 28] ; [3 3],[13.04347826 26.95652174] ; [1.95652174 4.04347826],0
d2,1,0.397185,0.716833,[19 53] ; [ 2 11],[17.78823529 54.21176471] ; [3.21176471 9.78823529],0
n2,1,0.455522,0.556875,[19  6] ; [5 3],[18.18181818  6.81818182] ; [5.81818182 2.18181818],0
a3,1,0.503233,0.448111,[37 34] ; [5 7],[35.92771084 35.07228916] ; [6.07228916 5.92771084],0
n4,1,0.503248,0.448081,[51 21] ; [8 5],[49.97647059 22.02352941] ; [9.02352941 3.97647059],0
p12,1,0.580623,0.305229,[ 3 69] ; [ 1 12],[ 3.38823529 68.61176471] ; [ 0.61176471 12.38823529],0
p1,1,0.620481,0.245192,[ 9 63] ; [ 1 12],[ 8.47058824 63.52941176] ; [ 1.52941176 11.47058824],0
p2,1,0.763147,0.090812,[42 30] ; [7 6],[41.50588235 30.49411765] ; [7.49411765 5.50588235],0
p5,1,0.763147,0.090812,[ 4 68] ; [ 1 12],[ 4.23529412 67.76470588] ; [ 0.76470588 12.23529412],0
