Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,36.625869,[41  6] ; [ 1 16],[30.84375 16.15625] ; [11.15625  5.84375],1
d4,1,5e-06,20.790448,[45  2] ; [8 9],[38.921875  8.078125] ; [14.078125  2.921875],1
d3,1,0.000515,12.060166,[38  9] ; [ 6 11],[32.3125 14.6875] ; [11.6875  5.3125],1
r2,1,0.005378,7.747628,[45  1] ; [13  4],[42.34920635  3.65079365] ; [15.65079365  1.34920635],0
a5,1,0.007298,7.198004,[40  7] ; [9 8],[35.984375 11.015625] ; [13.015625  3.984375],0
r3,1,0.01947,5.458777,[45  2] ; [13  4],[42.59375  4.40625] ; [15.40625  1.59375],0
p1,1,0.023492,5.131748,[ 1 46] ; [ 3 14],[ 2.9375 44.0625] ; [ 1.0625 15.9375],0
r4,1,0.033639,4.512954,[43  4] ; [12  5],[40.390625  6.609375] ; [14.609375  2.390625],0
n4,1,0.041413,4.159045,[41  6] ; [11  6],[38.1875  8.8125] ; [13.8125  3.1875],0
d2,1,0.042108,4.130878,[30 17] ; [ 6 11],[26.4375 20.5625] ; [9.5625 7.4375],0
n1,1,0.048328,3.898526,[2 5] ; [5 1],[3.76923077 3.23076923] ; [3.23076923 2.76923077],0
v2,1,0.069361,3.29807,[35 12] ; [8 8],[32.07936508 14.92063492] ; [10.92063492  5.07936508],0
a6,1,0.074618,3.178386,[31 16] ; [ 7 10],[27.90625 19.09375] ; [10.09375  6.90625],0
a2,1,0.084406,2.977961,[12 35] ; [ 1 16],[ 9.546875 37.453125] ; [ 3.453125 13.546875],0
v1,1,0.105074,2.626787,[30 17] ; [ 7 10],[27.171875 19.828125] ; [9.828125 7.171875],0
v4,1,0.107191,2.595157,[46  1] ; [15  2],[44.796875  2.203125] ; [16.203125  0.796875],0
a4,1,0.124332,2.361888,[24 23] ; [ 5 12],[21.296875 25.703125] ; [7.703125 9.296875],0
n5,1,0.129225,2.30179,[38  8] ; [11  6],[35.77777778 10.22222222] ; [13.22222222  3.77777778],0
u1,1,0.149375,2.078619,[10 37] ; [ 1 16],[ 8.078125 38.921875] ; [ 2.921875 14.078125],0
r1,1,0.178085,1.813532,[38  9] ; [11  6],[35.984375 11.015625] ; [13.015625  3.984375],0
p9,1,0.20244,1.62468,[41  5] ; [13  4],[39.42857143  6.57142857] ; [14.57142857  2.42857143],0
p10,1,0.202825,1.621916,[39  7] ; [12  5],[37.23809524  8.76190476] ; [13.76190476  3.23809524],0
a7,1,0.226324,1.463818,[35 12] ; [10  7],[33.046875 13.953125] ; [11.953125  5.046875],0
b4,1,0.227608,1.455747,[30 17] ; [8 9],[27.90625 19.09375] ; [10.09375  6.90625],0
n6,1,0.257571,1.281764,[39  8] ; [16  1],[40.390625  6.609375] ; [14.609375  2.390625],0
b1,1,0.264772,1.243633,[15 32] ; [8 9],[16.890625 30.109375] ; [ 6.109375 10.890625],0
p12,1,0.273022,1.201502,[ 2 45] ; [ 2 15],[ 2.9375 44.0625] ; [ 1.0625 15.9375],0
s5,1,0.281139,1.161575,[11 32] ; [ 2 14],[ 9.47457627 33.52542373] ; [ 3.52542373 12.47457627],0
p11,1,0.294909,1.097075,[41  6] ; [13  4],[39.65625  7.34375] ; [14.34375  2.65625],0
p2,1,0.294909,1.097075,[41  6] ; [13  4],[39.65625  7.34375] ; [14.34375  2.65625],0
s7,1,0.380732,0.768336,[23 21] ; [11  6],[24.52459016 19.47540984] ; [9.47540984 7.52459016],0
a3,1,0.3892,0.74144,[37 10] ; [15  2],[38.1875  8.8125] ; [13.8125  3.1875],0
v3,1,0.393212,0.728988,[28 17] ; [8 8],[26.55737705 18.44262295] ; [9.44262295 6.55737705],0
s1,1,0.466818,0.529499,[ 1 44] ; [ 1 16],[ 1.4516129 43.5483871] ; [ 0.5483871 16.4516129],0
p8,1,0.528509,0.397258,[29 18] ; [9 8],[27.90625 19.09375] ; [10.09375  6.90625],0
b3,1,0.586211,0.2963,[19 17] ; [8 5],[19.83673469 16.16326531] ; [7.16326531 5.83673469],0
b2,1,0.586211,0.2963,[19 17] ; [8 5],[19.83673469 16.16326531] ; [7.16326531 5.83673469],0
b5,1,0.664589,0.187996,[22 25] ; [9 8],[22.765625 24.234375] ; [8.234375 8.765625],0
p7,1,0.682296,0.167553,[32 15] ; [10  6],[31.33333333 15.66666667] ; [10.66666667  5.33333333],0
s2,1,0.682737,0.167061,[16 29] ; [ 7 10],[16.69354839 28.30645161] ; [ 6.30645161 10.69354839],0
s4,1,0.693243,0.155597,[ 4 43] ; [ 2 15],[ 4.40625 42.59375] ; [ 1.59375 15.40625],0
p4,1,0.710176,0.138101,[28 19] ; [11  6],[28.640625 18.359375] ; [10.359375  6.640625],0
p3,1,0.748275,0.102986,[27 20] ; [9 8],[26.4375 20.5625] ; [9.5625 7.4375],0
a1,1,0.785639,0.073972,[ 2 45] ; [ 1 16],[ 2.203125 44.796875] ; [ 0.796875 16.203125],0
u2,1,0.793428,0.068571,[6 4] ; [1 1],[5.83333333 4.16666667] ; [1.16666667 0.83333333],0
a8,1,0.80202,0.062868,[ 6 34] ; [ 3 14],[ 6.31578947 33.68421053] ; [ 2.68421053 14.31578947],0
p5,1,0.859113,0.031508,[ 5 41] ; [ 2 14],[ 5.19354839 40.80645161] ; [ 1.80645161 14.19354839],0
n3,1,0.92265,0.009428,[7 2] ; [4 1],[7.07142857 1.92857143] ; [3.92857143 1.07142857],0
s3,1,0.932863,0.007097,[18 27] ; [ 7 10],[18.14516129 26.85483871] ; [ 6.85483871 10.14516129],0
p6,1,0.992698,8.4e-05,[19 27] ; [ 7 10],[18.98412698 27.01587302] ; [7.01587302 9.98412698],0
