Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,52.93199,[38 28] ; [ 17 136],[16.57534247 49.42465753] ; [ 38.42465753 114.57534247],1
s2,1,0.0,39.272727,[42 24] ; [ 30 120],[22. 44.] ; [ 50. 100.],1
s6,1,0.0,29.796822,[48 17] ; [ 51 101],[29.65437788 35.34562212] ; [69.34562212 82.65437788],1
s3,1,1e-06,24.55858,[44 21] ; [ 47 103],[27.51162791 37.48837209] ; [63.48837209 86.51162791],1
u1,1,0.000545,11.953705,[15 51] ; [ 10 143],[ 7.53424658 58.46575342] ; [ 17.46575342 135.53424658],1
s5,1,0.000751,11.359004,[22 41] ; [ 21 125],[12.96172249 50.03827751] ; [ 30.03827751 115.96172249],1
p6,1,0.001368,10.248044,[11 55] ; [  6 145],[ 5.17050691 60.82949309] ; [ 11.82949309 139.17050691],0
a3,1,0.003673,8.438823,[52 14] ; [88 63],[42.58064516 23.41935484] ; [97.41935484 53.58064516],0
d2,1,0.010875,6.48561,[36 30] ; [54 96],[27.5 38.5] ; [62.5 87.5],0
p3,1,0.015654,5.841323,[12 54] ; [ 11 141],[ 6.96330275 59.03669725] ; [ 16.03669725 135.96330275],0
u3,1,0.015973,5.805854,[11  3] ; [28 37],[6.91139241 7.08860759] ; [32.08860759 32.91139241],0
a5,1,0.021355,5.297575,[48 18] ; [86 67],[40.38356164 25.61643836] ; [93.61643836 59.38356164],0
a2,1,0.030967,4.65478,[17 49] ; [ 21 132],[11.45205479 54.54794521] ; [ 26.54794521 126.45205479],0
d1,1,0.034013,4.494053,[37 29] ; [62 91],[29.83561644 36.16438356] ; [69.16438356 83.83561644],0
n4,1,0.061683,3.491533,[48 18] ; [91 62],[41.89041096 24.10958904] ; [97.10958904 55.89041096],0
r1,1,0.06777,3.336231,[49 17] ; [94 59],[43.09589041 22.90410959] ; [99.90410959 53.09589041],0
r3,1,0.076813,3.131085,[59  7] ; [120  31],[54.44239631 11.55760369] ; [124.55760369  26.44239631],0
v2,1,0.083632,2.992873,[31 31] ; [53 90],[25.40487805 36.59512195] ; [58.59512195 84.40487805],0
p5,1,0.108171,2.580734,[ 4 61] ; [  3 150],[ 2.08715596 62.91284404] ; [  4.91284404 148.08715596],0
r4,1,0.125655,2.345374,[52 14] ; [105  48],[47.31506849 18.68493151] ; [109.68493151  43.31506849],0
v3,1,0.130248,2.289548,[22 40] ; [ 37 110],[17.50239234 44.49760766] ; [ 41.49760766 105.50239234],0
a4,1,0.143981,2.134885,[31 35] ; [55 96],[26.15668203 39.84331797] ; [59.84331797 91.15668203],0
n1,1,0.150526,2.066917,[13 12] ; [20 37],[10.06097561 14.93902439] ; [22.93902439 34.06097561],0
d4,1,0.182169,1.779838,[53 13] ; [109  43],[49.04587156 16.95412844] ; [112.95412844  39.04587156],0
v1,1,0.199115,1.648857,[27 35] ; [ 52 100],[22.88785047 39.11214953] ; [56.11214953 95.88785047],0
r2,1,0.203252,1.618851,[60  5] ; [131  21],[57.21198157  7.78801843] ; [133.78801843  18.21198157],0
s1,1,0.223731,1.48028,[ 4 62] ; [  4 146],[ 2.44444444 63.55555556] ; [  5.55555556 144.44444444],0
b2,1,0.238941,1.386831,[20 23] ; [27 49],[16.98319328 26.01680672] ; [30.01680672 45.98319328],0
b3,1,0.238941,1.386831,[20 23] ; [27 49],[16.98319328 26.01680672] ; [30.01680672 45.98319328],0
d5,1,0.266228,1.236078,[49 17] ; [102  51],[45.50684932 20.49315068] ; [105.49315068  47.50684932],0
n6,1,0.273874,1.197242,[49 16] ; [104  49],[45.61926606 19.38073394] ; [107.38073394  45.61926606],0
a8,1,0.358905,0.84172,[ 7 54] ; [ 11 135],[ 5.30434783 55.69565217] ; [ 12.69565217 133.30434783],0
p8,1,0.359598,0.839296,[14 51] ; [ 25 128],[11.62844037 53.37155963] ; [ 27.37155963 125.62844037],0
v4,1,0.363132,0.827033,[56  9] ; [124  29],[53.66972477 11.33027523] ; [126.33027523  26.66972477],0
p10,1,0.370905,0.800631,[44 22] ; [91 60],[41.05990783 24.94009217] ; [93.94009217 57.05990783],0
