Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,135.825796,[ 7 46] ; [219  27],[40.06020067 12.93979933] ; [185.93979933  60.06020067],1
v4,1,0.0,70.110626,[27 26] ; [230  14],[45.86195286  7.13804714] ; [211.13804714  32.86195286],1
p11,1,0.0,35.338917,[15 38] ; [176  70],[33.85618729 19.14381271] ; [157.14381271  88.85618729],1
n6,1,0.0,28.340425,[23 29] ; [196  49],[38.34343434 13.65656566] ; [180.65656566  64.34343434],1
p2,1,0.0,27.537806,[20 32] ; [185  60],[35.89225589 16.10774411] ; [169.10774411  75.89225589],1
a1,1,3e-06,21.832878,[ 9 44] ; [  5 241],[ 2.48160535 50.51839465] ; [ 11.51839465 234.48160535],1
r2,1,8e-06,19.990069,[35 17] ; [222  23],[44.996633  7.003367] ; [212.003367  32.996633],1
p9,1,1.7e-05,18.543732,[22 28] ; [181  61],[34.76027397 15.23972603] ; [168.23972603  73.76027397],1
p10,1,1.8e-05,18.432179,[21 32] ; [171  71],[34.49491525 18.50508475] ; [157.50508475  84.49491525],1
s6,1,3.2e-05,17.275722,[14 38] ; [143 101],[27.58108108 24.41891892] ; [129.41891892 114.58108108],1
r1,1,0.000101,15.110544,[22 31] ; [170  74],[34.26262626 18.73737374] ; [157.73737374  86.26262626],1
s2,1,0.00011,14.952425,[ 8 45] ; [106 137],[20.41216216 32.58783784] ; [ 93.58783784 149.41216216],1
a7,1,0.000144,14.450987,[22 31] ; [170  76],[34.03344482 18.96655518] ; [157.96655518  88.03344482],1
d5,1,0.000976,10.872211,[27 26] ; [181  64],[36.99328859 16.00671141] ; [171.00671141  73.99328859],1
b5,1,0.002264,9.322358,[23 30] ; [162  84],[32.79264214 20.20735786] ; [152.20735786  93.79264214],0
s8,1,0.002414,9.204676,[ 6 46] ; [ 80 166],[15.00671141 36.99328859] ; [ 70.99328859 175.00671141],0
s3,1,0.003496,8.528496,[15 35] ; [129 116],[24.40677966 25.59322034] ; [119.59322034 125.40677966],0
p4,1,0.003644,8.452994,[12 41] ; [108 136],[21.41414141 31.58585859] ; [ 98.58585859 145.41414141],0
b1,1,0.005226,7.799468,[32 21] ; [ 97 149],[22.86622074 30.13377926] ; [106.13377926 139.86622074],0
s7,1,0.005835,7.600607,[ 8 40] ; [ 87 146],[16.22775801 31.77224199] ; [ 78.77224199 154.22775801],0
u3,1,0.008256,6.977181,[ 6 16] ; [55 39],[11.56896552 10.43103448] ; [49.43103448 44.56896552],0
d4,1,0.009996,6.635654,[30 23] ; [182  63],[37.70469799 15.29530201] ; [174.29530201  70.70469799],0
p1,1,0.012292,6.268232,[ 8 45] ; [ 13 230],[ 3.76013514 49.23986486] ; [ 17.23986486 225.76013514],0
u2,1,0.013948,6.044684,[ 6 16] ; [53 41],[11.18965517 10.81034483] ; [47.81034483 46.18965517],0
n2,1,0.015299,5.881671,[14 17] ; [48 20],[19.41414141 11.58585859] ; [42.58585859 25.41414141],0
a6,1,0.026784,4.904653,[26 27] ; [160  85],[33.08053691 19.91946309] ; [152.91946309  92.08053691],0
n3,1,0.030739,4.667475,[14 16] ; [46 20],[18.75 11.25] ; [41.25 24.75],0
p8,1,0.042635,4.109805,[11 40] ; [ 89 156],[17.22972973 33.77027027] ; [ 82.77027027 162.22972973],0
a2,1,0.048453,3.894213,[ 4 49] ; [ 46 200],[ 8.86287625 44.13712375] ; [ 41.13712375 204.86287625],0
d1,1,0.058704,3.573621,[16 37] ; [109 137],[22.15719064 30.84280936] ; [102.84280936 143.15719064],0
p7,1,0.058885,3.568523,[15 36] ; [105 135],[21.03092784 29.96907216] ; [ 98.96907216 141.03092784],0
a8,1,0.059582,3.54897,[ 2 48] ; [ 31 199],[ 5.89285714 44.10714286] ; [ 27.10714286 202.89285714],0
d3,1,0.109139,2.566638,[25 28] ; [145 100],[30.23489933 22.76510067] ; [139.76510067 105.23489933],0
b3,1,0.351967,0.866354,[13 23] ; [ 40 102],[10.71910112 25.28089888] ; [42.28089888 99.71910112],0
b2,1,0.351967,0.866354,[13 23] ; [ 40 102],[10.71910112 25.28089888] ; [42.28089888 99.71910112],0
p5,1,0.353456,0.861013,[ 5 46] ; [ 15 227],[ 3.48122867 47.51877133] ; [ 16.51877133 225.48122867],0
a5,1,0.383907,0.758153,[30 23] ; [155  91],[32.79264214 20.20735786] ; [152.20735786  93.79264214],0
s1,1,0.391441,0.734462,[ 5 48] ; [ 15 228],[ 3.58108108 49.41891892] ; [ 16.41891892 226.58108108],0
n4,1,0.407176,0.68703,[33 20] ; [167  78],[35.5704698 17.4295302] ; [164.4295302  80.5704698],0
n1,1,0.407824,0.685134,[14 17] ; [24 42],[12.1443299 18.8556701] ; [25.8556701 40.1443299],0
s5,1,0.48125,0.496029,[10 43] ; [ 56 184],[11.93856655 41.06143345] ; [ 54.06143345 185.93856655],0
p3,1,0.518496,0.416885,[15 37] ; [ 82 163],[16.98316498 35.01683502] ; [ 80.01683502 164.98316498],0
s4,1,0.572068,0.319235,[ 8 45] ; [ 45 200],[ 9.4261745 43.5738255] ; [ 43.5738255 201.4261745],0
a4,1,0.62109,0.244338,[17 34] ; [ 91 155],[18.54545455 32.45454545] ; [ 89.45454545 156.54545455],0
v1,1,0.71275,0.135546,[17 36] ; [ 83 156],[18.15068493 34.84931507] ; [ 81.84931507 157.15068493],0
n5,1,0.808826,0.058535,[35 18] ; [166  79],[35.74832215 17.25167785] ; [165.25167785  79.74832215],0
d2,1,0.893256,0.018006,[21 31] ; [101 143],[21.43243243 30.56756757] ; [100.56756757 143.43243243],0
a3,1,0.909821,0.012829,[31 20] ; [151  94],[31.35810811 19.64189189] ; [150.64189189  94.35810811],0
b4,1,0.951578,0.003688,[31 22] ; [145 101],[31.19732441 21.80267559] ; [144.80267559 101.19732441],0
v3,1,0.955754,0.003078,[ 9 44] ; [ 41 196],[ 9.13793103 43.86206897] ; [ 40.86206897 196.13793103],0
