Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,0.002176,9.394713,[ 34 112] ; [12 10],[ 39.97619048 106.02380952] ; [ 6.02380952 15.97619048],0
p1,1,0.008048,7.022803,[  9 139] ; [ 5 17],[ 12.18823529 135.81176471] ; [ 1.81176471 20.18823529],0
n4,1,0.009987,6.637203,[86 63] ; [19  3],[91.49122807 57.50877193] ; [13.50877193  8.49122807],0
n5,1,0.049434,3.860554,[89 59] ; [18  4],[93.15294118 54.84705882] ; [13.84705882  8.15294118],0
u1,1,0.066988,3.355329,[ 10 139] ; [ 4 18],[ 12.19883041 136.80116959] ; [ 1.80116959 20.19883041],0
r2,1,0.080331,3.058184,[117  29] ; [21  1],[119.92857143  26.07142857] ; [18.07142857  3.92857143],0
n1,1,0.099603,2.711893,[19 37] ; [3 1],[20.53333333 35.46666667] ; [1.46666667 2.53333333],0
u3,1,0.140411,2.173447,[26 38] ; [6 3],[28.05479452 35.94520548] ; [3.94520548 5.05479452],0
p6,1,0.168019,1.900527,[ 28 119] ; [ 7 15],[ 30.44378698 116.55621302] ; [ 4.55621302 17.44378698],0
b1,1,0.184115,1.764091,[59 90] ; [12 10],[61.86549708 87.13450292] ; [ 9.13450292 12.86549708],0
s8,1,0.210045,1.571116,[ 14 135] ; [ 4 18],[ 15.68421053 133.31578947] ; [ 2.31578947 19.68421053],0
p3,1,0.231425,1.432081,[ 42 106] ; [ 9 13],[ 44.4 103.6] ; [ 6.6 15.4],0
r4,1,0.266292,1.23575,[90 59] ; [16  6],[92.3625731 56.6374269] ; [13.6374269  8.3625731],0
n2,1,0.285695,1.1398,[31 25] ; [4 1],[32.13114754 23.86885246] ; [2.86885246 2.13114754],0
d5,1,0.315765,1.006408,[97 51] ; [12 10],[94.89411765 53.10588235] ; [14.10588235  7.89411765],0
d3,1,0.333045,0.937023,[83 64] ; [10 12],[80.89349112 66.10650888] ; [12.10650888  9.89349112],0
