Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,1e-06,24.792706,[26 83] ; [19  6],[36.60447761 72.39552239] ; [ 8.39552239 16.60447761],1
s6,1,0.000503,12.10386,[39 69] ; [18  6],[46.63636364 61.36363636] ; [10.36363636 13.63636364],1
b4,1,0.000571,11.867807,[50 59] ; [21  4],[57.75373134 51.24626866] ; [13.24626866 11.75373134],1
s7,1,0.002458,9.171613,[24 80] ; [13 11],[30.0625 73.9375] ; [ 6.9375 17.0625],0
s3,1,0.006897,7.299559,[37 70] ; [16  9],[42.96212121 64.03787879] ; [10.03787879 14.96212121],0
d4,1,0.019758,5.433129,[46 63] ; [17  8],[51.24626866 57.75373134] ; [11.75373134 13.24626866],0
s4,1,0.01998,5.413657,[17 92] ; [ 9 16],[21.14925373 87.85074627] ; [ 4.85074627 20.14925373],0
u1,1,0.030859,4.660799,[  1 108] ; [ 2 23],[  2.44029851 106.55970149] ; [ 0.55970149 24.44029851],0
n5,1,0.04222,4.126368,[75 33] ; [12 13],[70.64661654 37.35338346] ; [16.35338346  8.64661654],0
n3,1,0.055163,3.677152,[27  8] ; [4 5],[24.65909091 10.34090909] ; [6.34090909 2.65909091],0
p5,1,0.062783,3.462295,[  6 102] ; [ 4 20],[ 8.18181818 99.81818182] ; [ 1.81818182 22.18181818],0
r4,1,0.067085,3.352943,[52 57] ; [17  8],[56.12686567 52.87313433] ; [12.87313433 12.12686567],0
d3,1,0.067589,3.340621,[31 76] ; [12 13],[34.85606061 72.14393939] ; [ 8.14393939 16.85606061],0
a1,1,0.115608,2.475834,[  7 102] ; [ 4 21],[  8.94776119 100.05223881] ; [ 2.05223881 22.94776119],0
p6,1,0.12117,2.402136,[23 85] ; [ 9 16],[25.98496241 82.01503759] ; [ 6.01503759 18.98496241],0
v4,1,0.121741,2.394775,[84 24] ; [22  2],[86.72727273 21.27272727] ; [19.27272727  4.72727273],0
n2,1,0.174125,1.847068,[23 12] ; [8 1],[24.65909091 10.34090909] ; [6.34090909 2.65909091],0
