Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,9.2e-05,15.297987,[13 92] ; [13 16],[20.37313433 84.62686567] ; [ 5.62686567 23.37313433],1
p7,1,0.001372,10.243078,[29 74] ; [17 11],[36.16793893 66.83206107] ; [ 9.83206107 18.16793893],0
p4,1,0.010242,6.592374,[25 80] ; [14 15],[30.55970149 74.44029851] ; [ 8.44029851 20.55970149],0
u2,1,0.011397,6.40241,[18 30] ; [10  3],[22.03278689 25.96721311] ; [5.96721311 7.03278689],0
p8,1,0.023329,5.143803,[27 76] ; [14 15],[31.99242424 71.00757576] ; [ 9.00757576 19.99242424],0
v4,1,0.026462,4.925554,[76 27] ; [27  2],[80.37121212 22.62878788] ; [22.62878788  6.37121212],0
r4,1,0.038404,4.287044,[46 59] ; [19 10],[50.93283582 54.06716418] ; [14.06716418 14.93283582],0
r2,1,0.039202,4.252085,[70 30] ; [25  3],[74.21875 25.78125] ; [20.78125  7.21875],0
p11,1,0.044903,4.022285,[62 43] ; [23  6],[66.60447761 38.39552239] ; [18.39552239 10.60447761],0
p2,1,0.061903,3.485648,[59 45] ; [22  7],[63.33834586 40.66165414] ; [17.66165414 11.33834586],0
v3,1,0.068795,3.311533,[20 83] ; [10 18],[23.58778626 79.41221374] ; [ 6.41221374 21.58778626],0
n3,1,0.071956,3.237834,[24 18] ; [11  2],[26.72727273 15.27272727] ; [8.27272727 4.72727273],0
v2,1,0.120677,2.408514,[31 72] ; [12 14],[34.33333333 68.66666667] ; [ 8.66666667 17.33333333],0
u3,1,0.132314,2.265146,[15 33] ; [7 6],[17.31147541 30.68852459] ; [4.68852459 8.31147541],0
s1,1,0.149319,2.079199,[  2 103] ; [ 2 26],[  3.15789474 101.84210526] ; [ 0.84210526 27.15789474],0
b4,1,0.156947,2.003397,[57 48] ; [20  9],[60.3358209 44.6641791] ; [16.6641791 12.3358209],0
p12,1,0.165539,1.922884,[  2 102] ; [ 2 27],[  3.12781955 100.87218045] ; [ 0.87218045 28.12781955],0
d5,1,0.198905,1.650396,[61 44] ; [20  8],[63.94736842 41.05263158] ; [17.05263158 10.94736842],0
s7,1,0.204654,1.608849,[23 79] ; [ 9 17],[25.5 76.5] ; [ 6.5 19.5],0
a5,1,0.207924,1.585822,[50 55] ; [10 19],[47.01492537 57.98507463] ; [12.98507463 16.01492537],0
a2,1,0.240683,1.376588,[11 94] ; [ 1 28],[ 9.40298507 95.59701493] ; [ 2.59701493 26.40298507],0
d1,1,0.268402,1.224894,[32 73] ; [12 17],[34.47761194 70.52238806] ; [ 9.52238806 19.47761194],0
d3,1,0.280633,1.164021,[50 55] ; [16 11],[52.5 52.5] ; [13.5 13.5],0
s6,1,0.287207,1.13267,[40 63] ; [14 14],[42.45801527 60.54198473] ; [11.54198473 16.45801527],0
s5,1,0.32135,0.983442,[18 85] ; [ 7 20],[19.80769231 83.19230769] ; [ 5.19230769 21.80769231],0
u4,1,0.32648,0.96281,[  1 104] ; [ 1 28],[  1.56716418 103.43283582] ; [ 0.43283582 28.56716418],0
p10,1,0.370175,0.803076,[61 41] ; [20  9],[63.06870229 38.93129771] ; [17.93129771 11.06870229],0
p9,1,0.399661,0.709346,[67 32] ; [22  7],[68.8359375 30.1640625] ; [20.1640625  8.8359375],0
a7,1,0.48556,0.486351,[56 49] ; [17 11],[57.63157895 47.36842105] ; [15.36842105 12.63157895],0
a4,1,0.490076,0.476359,[29 75] ; [10 19],[30.4962406 73.5037594] ; [ 8.5037594 20.4962406],0
p5,1,0.49139,0.47348,[ 4 99] ; [ 2 27],[ 4.68181818 98.31818182] ; [ 1.31818182 27.68181818],0
v1,1,0.519197,0.415487,[26 74] ; [ 9 19],[27.34375 72.65625] ; [ 7.65625 20.34375],0
b5,1,0.528216,0.397822,[62 43] ; [19 10],[63.47014925 41.52985075] ; [17.52985075 11.47014925],0
s4,1,0.545215,0.36596,[20 85] ; [ 7 22],[21.15671642 83.84328358] ; [ 5.84328358 23.15671642],0
s2,1,0.575342,0.313826,[34 71] ; [11 18],[35.26119403 69.73880597] ; [ 9.73880597 19.26119403],0
a8,1,0.584742,0.298631,[11 89] ; [ 2 25],[10.23622047 89.76377953] ; [ 2.76377953 24.23622047],0
n1,1,0.632797,0.228287,[14 27] ; [5 7],[14.69811321 26.30188679] ; [4.30188679 7.69811321],0
p1,1,0.655982,0.198442,[ 5 99] ; [ 2 27],[ 5.47368421 98.52631579] ; [ 1.52631579 27.47368421],0
b1,1,0.700179,0.148285,[44 61] ; [11 18],[43.09701493 61.90298507] ; [11.90298507 17.09701493],0
d2,1,0.703997,0.144347,[39 65] ; [12 17],[39.87969925 64.12030075] ; [11.12030075 17.87969925],0
d4,1,0.721793,0.126781,[65 40] ; [19 10],[65.82089552 39.17910448] ; [18.17910448 10.82089552],0
a1,1,0.77116,0.084598,[ 9 96] ; [ 2 27],[ 8.61940299 96.38059701] ; [ 2.38059701 26.61940299],0
a6,1,0.789769,0.071081,[55 50] ; [16 13],[55.63432836 49.36567164] ; [15.36567164 13.63432836],0
u1,1,0.811986,0.05658,[ 6 99] ; [ 2 27],[ 6.26865672 98.73134328] ; [ 1.73134328 27.26865672],0
r3,1,0.842204,0.039631,[77 27] ; [22  7],[77.41353383 26.58646617] ; [21.58646617  7.41353383],0
b2,1,0.855672,0.033083,[23 38] ; [ 6 11],[22.67948718 38.32051282] ; [ 6.32051282 10.67948718],0
b3,1,0.855672,0.033083,[23 38] ; [ 6 11],[22.67948718 38.32051282] ; [ 6.32051282 10.67948718],0
n2,1,0.863298,0.029645,[28 14] ; [9 4],[28.25454545 13.74545455] ; [8.74545455 4.25454545],0
n5,1,0.865181,0.028826,[67 38] ; [19 10],[67.3880597 37.6119403] ; [18.6119403 10.3880597],0
n6,1,0.890639,0.018905,[71 34] ; [20  9],[71.30597015 33.69402985] ; [19.69402985  9.30597015],0
s3,1,0.890656,0.018899,[38 66] ; [11 18],[38.31578947 65.68421053] ; [10.68421053 18.31578947],0
n4,1,0.959497,0.002579,[61 44] ; [17 12],[61.11940299 43.88059701] ; [16.88059701 12.11940299],0
a3,1,0.972157,0.001218,[57 47] ; [16 13],[57.08270677 46.91729323] ; [15.91729323 13.08270677],0
