Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,82.641624,[15 92] ; [103  40],[50.504 56.496] ; [67.496 75.504],1
s7,1,0.0,44.511664,[27 77] ; [95 42],[52.6473029 51.3526971] ; [69.3526971 67.6473029],1
s6,1,0.0,31.975204,[45 61] ; [106  30],[66.14049587 39.85950413] ; [84.85950413 51.14049587],1
s8,1,0.0,31.27884,[27 80] ; [87 56],[48.792 58.208] ; [65.208 77.792],1
s5,1,0.001014,10.801507,[27 76] ; [64 72],[39.21757322 63.78242678] ; [51.78242678 84.21757322],0
r3,1,0.003815,8.369634,[91 17] ; [136   7],[97.67330677 10.32669323] ; [129.32669323  13.67330677],0
s4,1,0.005034,7.867313,[11 97] ; [ 34 108],[19.44 88.56] ; [ 25.56 116.44],0
p10,1,0.012267,6.27191,[68 38] ; [110  30],[76.69918699 29.30081301] ; [101.30081301  38.69918699],0
a3,1,0.015692,5.837089,[66 42] ; [107  35],[74.736 33.264] ; [98.264 43.736],0
v1,1,0.020945,5.331394,[46 60] ; [81 58],[54.94693878 51.05306122] ; [72.05306122 66.94693878],0
p7,1,0.02143,5.291506,[55 52] ; [91 47],[63.76326531 43.23673469] ; [82.23673469 55.76326531],0
p2,1,0.02274,5.188273,[69 36] ; [111  30],[76.82926829 28.17073171] ; [103.17073171  37.82926829],0
r4,1,0.028796,4.779775,[86 22] ; [128  15],[92.07968127 15.92031873] ; [121.92031873  21.07968127],0
n4,1,0.032891,4.551467,[74 34] ; [114  28],[81.216 26.784] ; [106.784  35.216],0
p3,1,0.065588,3.390121,[42 64] ; [73 69],[49.15322581 56.84677419] ; [65.84677419 76.15322581],0
r1,1,0.075316,3.163182,[73 35] ; [111  32],[79.17131474 28.82868526] ; [104.82868526  38.17131474],0
n2,1,0.089008,2.892228,[24 13] ; [32  7],[27.26315789  9.73684211] ; [28.73684211 10.26315789],0
d4,1,0.090883,2.858656,[74 34] ; [110  31],[79.80722892 28.19277108] ; [104.19277108  36.80722892],0
v3,1,0.11287,2.513574,[32 71] ; [57 82],[37.88016529 65.11983471] ; [51.11983471 87.88016529],0
p8,1,0.121938,2.392248,[41 65] ; [68 72],[46.96747967 59.03252033] ; [62.03252033 77.96747967],0
p9,1,0.127215,2.326161,[77 29] ; [114  27],[81.96761134 24.03238866] ; [109.03238866  31.96761134],0
p12,1,0.131096,2.279481,[  3 103] ; [ 10 129],[  5.6244898 100.3755102] ; [  7.3755102 131.6244898],0
a4,1,0.152949,2.042594,[43 64] ; [70 72],[48.55823293 58.44176707] ; [64.44176707 77.55823293],0
p1,1,0.17032,1.880123,[  5 103] ; [ 13 129],[  7.776 100.224] ; [ 10.224 131.776],0
p5,1,0.172142,1.864188,[ 8 99] ; [ 18 122],[11.26315789 95.73684211] ; [ 14.73684211 125.26315789],0
a8,1,0.185084,1.756324,[ 8 95] ; [ 18 119],[11.15833333 91.84166667] ; [ 14.84166667 122.15833333],0
u4,1,0.18682,1.742519,[  1 107] ; [  5 138],[  2.58167331 105.41832669] ; [  3.41832669 139.58167331],0
p4,1,0.193695,1.68929,[48 59] ; [75 66],[53.06854839 53.93145161] ; [69.93145161 71.06854839],0
n1,1,0.198206,1.655541,[14 23] ; [20 18],[16.77333333 20.22666667] ; [17.22666667 20.77333333],0
p6,1,0.199156,1.648549,[32 73] ; [53 85],[36.72839506 68.27160494] ; [48.27160494 89.72839506],0
v4,1,0.273948,1.196873,[97 11] ; [132   9],[99.3253012  8.6746988] ; [129.6746988  11.3253012],0
d1,1,0.283217,1.15159,[47 61] ; [72 71],[51.20318725 56.79681275] ; [67.79681275 75.20318725],0
p11,1,0.341348,0.905363,[79 29] ; [112  31],[82.18326693 25.81673307] ; [108.81673307  34.18326693],0
b4,1,0.368058,0.810212,[55 53] ; [81 62],[58.51792829 49.48207171] ; [77.48207171 65.51792829],0
d3,1,0.371589,0.798345,[43 65] ; [65 78],[46.47011952 61.52988048] ; [61.52988048 81.47011952],0
a2,1,0.402043,0.702207,[  8 100] ; [ 15 128],[ 9.89641434 98.10358566] ; [ 13.10358566 129.89641434],0
b3,1,0.425086,0.636212,[27 38] ; [46 50],[29.47204969 35.52795031] ; [43.52795031 52.47204969],0
b2,1,0.425086,0.636212,[27 38] ; [46 50],[29.47204969 35.52795031] ; [43.52795031 52.47204969],0
u1,1,0.434171,0.611641,[  5 103] ; [ 10 133],[  6.45418327 101.54581673] ; [  8.54581673 134.45418327],0
d2,1,0.451638,0.566537,[49 57] ; [73 70],[51.93574297 54.06425703] ; [70.06425703 72.93574297],0
a6,1,0.46601,0.53142,[48 60] ; [57 86],[45.17928287 62.82071713] ; [59.82071713 83.17928287],0
n6,1,0.534575,0.385687,[87 21] ; [109  32],[85.01204819 22.98795181] ; [110.98795181  30.01204819],0
n3,1,0.623775,0.240597,[23 12] ; [27 11],[23.97260274 11.02739726] ; [26.02739726 11.97260274],0
s1,1,0.666045,0.186263,[  5 103] ; [  5 136],[  4.3373494 103.6626506] ; [  5.6626506 135.3373494],0
d5,1,0.666469,0.18576,[78 30] ; [106  36],[79.488 28.512] ; [104.512  37.488],0
n5,1,0.669461,0.182234,[80 28] ; [107  33],[81.43548387 26.56451613] ; [105.56451613  34.43548387],0
b5,1,0.671894,0.179395,[52 56] ; [65 78],[50.34262948 57.65737052] ; [66.65737052 76.34262948],0
u3,1,0.833882,0.043985,[20 22] ; [18 18],[20.46153846 21.53846154] ; [17.53846154 18.46153846],0
a1,1,0.873133,0.025498,[  7 101] ; [ 10 133],[  7.31474104 100.68525896] ; [  9.68525896 133.31474104],0
a5,1,0.874421,0.024978,[73 35] ; [98 45],[73.57768924 34.42231076] ; [97.42231076 45.57768924],0
v2,1,0.93117,0.00746,[50 55] ; [64 72],[49.66804979 55.33195021] ; [64.33195021 71.66804979],0
u2,1,0.938396,0.005973,[19 22] ; [17 19],[19.16883117 21.83116883] ; [16.83116883 19.16883117],0
b1,1,0.982119,0.000502,[50 58] ; [66 77],[49.9123506 58.0876494] ; [66.0876494 76.9123506],0
