Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p11,1,1.4e-05,18.87811,[116  23] ; [11 14],[107.6402439  31.3597561] ; [19.3597561  5.6402439],1
p8,1,0.004944,7.899838,[65 72] ; [ 4 20],[58.71428571 78.28571429] ; [10.28571429 13.71428571],0
a7,1,0.007426,7.166979,[89 49] ; [ 9 16],[82.96932515 55.03067485] ; [15.03067485  9.96932515],0
s6,1,0.010536,6.54195,[80 54] ; [ 8 17],[74.16352201 59.83647799] ; [13.83647799 11.16352201],0
n6,1,0.013387,6.117221,[114  25] ; [15 10],[109.33536585  29.66463415] ; [19.66463415  5.33536585],0
r4,1,0.015398,5.870387,[96 43] ; [11 14],[90.68902439 48.31097561] ; [16.31097561  8.68902439],0
s2,1,0.017828,5.612976,[69 70] ; [ 6 19],[63.56707317 75.43292683] ; [11.43292683 13.56707317],0
r3,1,0.036597,4.369064,[125  13] ; [19  6],[121.91411043  16.08588957] ; [22.08588957  2.91411043],0
d5,1,0.041194,4.168017,[100  38] ; [13 12],[95.66871166 42.33128834] ; [17.33128834  7.66871166],0
n5,1,0.043827,4.063209,[105  34] ; [14 11],[100.8597561  38.1402439] ; [18.1402439  6.8597561],0
v1,1,0.04929,3.865441,[65 70] ; [ 6 17],[60.66455696 74.33544304] ; [10.33544304 12.66455696],0
b1,1,0.094239,2.800436,[53 86] ; [14 11],[56.78658537 82.21341463] ; [10.21341463 14.78658537],0
a1,1,0.104594,2.634054,[  9 130] ; [ 4 21],[ 11.01829268 127.98170732] ; [ 1.98170732 23.01829268],0
a5,1,0.14367,2.138201,[83 56] ; [11 14],[79.67073171 59.32926829] ; [14.32926829 10.67073171],0
d2,1,0.158725,1.986334,[46 92] ; [12 13],[49.10429448 88.89570552] ; [ 8.89570552 16.10429448],0
d4,1,0.17312,1.855715,[102  37] ; [15 10],[99.16463415 39.83536585] ; [17.83536585  7.16463415],0
p5,1,0.194795,1.680976,[ 18 120] ; [ 1 24],[ 16.08588957 121.91411043] ; [ 2.91411043 22.08588957],0
s5,1,0.237136,1.397537,[37 94] ; [ 4 20],[34.6516129 96.3483871] ; [ 6.3483871 17.6516129],0
s8,1,0.245207,1.350405,[50 89] ; [ 6 19],[47.46341463 91.53658537] ; [ 8.53658537 16.46341463],0
b5,1,0.245207,1.350405,[89 50] ; [19  6],[91.53658537 47.46341463] ; [16.46341463  8.53658537],0
a6,1,0.262952,1.253147,[78 61] ; [11 14],[75.43292683 63.56707317] ; [13.56707317 11.43292683],0
u2,1,0.281903,1.157895,[30 27] ; [3 6],[28.5 28.5] ; [4.5 4.5],0
d1,1,0.296835,1.088359,[60 79] ; [ 8 17],[57.63414634 81.36585366] ; [10.36585366 14.63414634],0
s4,1,0.303237,1.059904,[ 29 110] ; [ 3 22],[ 27.12195122 111.87804878] ; [ 4.87804878 20.12195122],0
r2,1,0.342967,0.899308,[113  23] ; [18  6],[111.35  24.65] ; [19.65  4.35],0
p3,1,0.352255,0.865318,[64 75] ; [ 9 16],[61.87195122 77.12804878] ; [11.12804878 13.87195122],0
n4,1,0.372293,0.795997,[96 43] ; [15 10],[94.07926829 44.92073171] ; [16.92073171  8.07926829],0
p7,1,0.373362,0.792444,[73 63] ; [11 14],[70.95652174 65.04347826] ; [13.04347826 11.95652174],0
a8,1,0.392628,0.730786,[ 14 118] ; [ 4 20],[ 15.23076923 116.76923077] ; [ 2.76923077 21.23076923],0
v2,1,0.414384,0.666187,[57 78] ; [ 8 16],[55.18867925 79.81132075] ; [ 9.81132075 14.18867925],0
s7,1,0.44324,0.587881,[53 79] ; [ 8 17],[51.2866242 80.7133758] ; [ 9.7133758 15.2866242],0
d3,1,0.448338,0.57485,[77 60] ; [12 13],[75.2654321 61.7345679] ; [13.7345679 11.2654321],0
a3,1,0.47832,0.502692,[82 57] ; [16  8],[83.57055215 55.42944785] ; [14.42944785  9.57055215],0
u3,1,0.490289,0.475891,[26 31] ; [3 6],[25.04545455 31.95454545] ; [3.95454545 5.04545455],0
a4,1,0.502587,0.449469,[46 93] ; [10 15],[47.46341463 91.53658537] ; [ 8.53658537 16.46341463],0
b4,1,0.53285,0.388954,[87 52] ; [14 11],[85.60365854 53.39634146] ; [15.39634146  9.60365854],0
v3,1,0.562069,0.336134,[42 94] ; [ 6 18],[40.8 95.2] ; [ 7.2 16.8],0
n1,1,0.566598,0.328407,[16 24] ; [5 5],[16.8 23.2] ; [4.2 5.8],0
b3,1,0.56822,0.325669,[29 50] ; [ 5 12],[27.97916667 51.02083333] ; [ 6.02083333 10.97916667],0
b2,1,0.56822,0.325669,[29 50] ; [ 5 12],[27.97916667 51.02083333] ; [ 6.02083333 10.97916667],0
p4,1,0.58932,0.291407,[72 67] ; [11 13],[70.7791411 68.2208589] ; [12.2208589 11.7791411],0
p1,1,0.605155,0.26729,[ 16 123] ; [ 2 23],[ 15.25609756 123.74390244] ; [ 2.74390244 22.25609756],0
p2,1,0.611631,0.257807,[111  27] ; [19  6],[110.06134969  27.93865031] ; [19.93865031  5.06134969],0
n3,1,0.628656,0.233888,[29 11] ; [8 2],[29.6 10.4] ; [7.4 2.6],0
v4,1,0.690576,0.158463,[120  18] ; [21  4],[119.37423313  18.62576687] ; [21.62576687  3.37423313],0
p6,1,0.716331,0.132036,[47 90] ; [ 7 16],[46.2375 90.7625] ; [ 7.7625 15.2375],0
p12,1,0.717361,0.131035,[  8 130] ; [ 1 24],[  7.6196319 130.3803681] ; [ 1.3803681 23.6196319],0
s3,1,0.755526,0.096946,[68 70] ; [11 13],[67.2962963 70.7037037] ; [11.7037037 12.2962963],0
u1,1,0.824796,0.049009,[  7 132] ; [ 1 24],[  6.7804878 132.2195122] ; [ 1.2195122 23.7804878],0
a2,1,0.858735,0.031678,[ 15 124] ; [ 3 22],[ 15.25609756 123.74390244] ; [ 2.74390244 22.25609756],0
n2,1,0.864462,0.029138,[31  9] ; [8 2],[31.2  8.8] ; [7.8 2.2],0
