Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.000126,14.696355,[21 64] ; [16  8],[28.85321101 56.14678899] ; [ 8.14678899 15.85321101],1
s7,1,0.008912,6.840403,[ 8 74] ; [ 7 15],[11.82692308 70.17307692] ; [ 3.17307692 18.82692308],0
a5,1,0.010084,6.619988,[32 54] ; [16  8],[37.52727273 48.47272727] ; [10.47272727 13.52727273],0
p8,1,0.024618,5.050532,[25 60] ; [13 11],[29.63302752 55.36697248] ; [ 8.36697248 15.63302752],0
p7,1,0.026231,4.940712,[34 49] ; [16  8],[38.78504673 44.21495327] ; [11.21495327 12.78504673],0
v1,1,0.031221,4.640773,[21 64] ; [11 12],[25.18518519 59.81481481] ; [ 6.81481481 16.18518519],0
p9,1,0.031232,4.640172,[50 34] ; [20  4],[54.44444444 29.55555556] ; [15.55555556  8.44444444],0
p2,1,0.053622,3.724419,[53 32] ; [20  4],[56.9266055 28.0733945] ; [16.0733945  7.9266055],0
a7,1,0.054626,3.693453,[49 36] ; [19  5],[53.02752294 31.97247706] ; [14.97247706  9.02752294],0
n6,1,0.058878,3.568709,[46 40] ; [18  6],[50.03636364 35.96363636] ; [13.96363636 10.03636364],0
b4,1,0.073,3.214253,[50 36] ; [ 9 15],[46.12727273 39.87272727] ; [12.87272727 11.12727273],0
p5,1,0.092166,2.836134,[ 3 81] ; [ 3 21],[ 4.66666667 79.33333333] ; [ 1.33333333 22.66666667],0
d5,1,0.12294,2.379462,[49 36] ; [18  6],[52.24770642 32.75229358] ; [14.75229358  9.24770642],0
u3,1,0.131766,2.271571,[19 19] ; [7 2],[21.0212766 16.9787234] ; [4.9787234 4.0212766],0
b5,1,0.135179,2.231995,[54 32] ; [11 13],[50.81818182 35.18181818] ; [14.18181818  9.81818182],0
n2,1,0.155318,2.019231,[20 15] ; [6 1],[21.66666667 13.33333333] ; [4.33333333 2.66666667],0
d2,1,0.191316,1.707457,[30 56] ; [ 5 19],[27.36363636 58.63636364] ; [ 7.63636364 16.36363636],0
d3,1,0.214193,1.542857,[44 40] ; [16  8],[46.66666667 37.33333333] ; [13.33333333 10.66666667],0
r4,1,0.225954,1.466149,[53 33] ; [18  6],[55.50909091 30.49090909] ; [15.49090909  8.50909091],0
