Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1.1e-05,19.351944,[11 22] ; [42 10],[20.57647059 12.42352941] ; [32.42352941 19.57647059],1
a4,1,0.023155,5.156834,[ 8 25] ; [25 26],[12.96428571 20.03571429] ; [20.03571429 30.96428571],0
n1,1,0.028369,4.805492,[ 3 16] ; [11 12],[ 6.33333333 12.66666667] ; [ 7.66666667 15.33333333],0
a5,1,0.029996,4.709549,[13 20] ; [33 19],[17.85882353 15.14117647] ; [28.14117647 23.85882353],0
a1,1,0.030112,4.702912,[ 1 32] ; [10 42],[ 4.27058824 28.72941176] ; [ 6.72941176 45.27058824],0
u3,1,0.076134,3.145558,[7 8] ; [ 4 17],[ 4.58333333 10.41666667] ; [ 6.41666667 14.58333333],0
a7,1,0.08188,3.027181,[20 13] ; [21 30],[16.10714286 16.89285714] ; [24.89285714 26.10714286],0
s7,1,0.090997,2.856648,[ 5 26] ; [16 32],[ 8.24050633 22.75949367] ; [12.75949367 35.24050633],0
v4,1,0.092964,2.822289,[22 11] ; [25 27],[18.24705882 14.75294118] ; [28.75294118 23.24705882],0
n6,1,0.114727,2.487865,[17 16] ; [35 16],[20.42857143 12.57142857] ; [31.57142857 19.42857143],0
n2,1,0.121122,2.402746,[ 7 12] ; [14  9],[9.5 9.5] ; [11.5 11.5],0
d3,1,0.160623,1.968347,[21 12] ; [25 27],[17.85882353 15.14117647] ; [28.14117647 23.85882353],0
d2,1,0.161715,1.958112,[12 21] ; [26 24],[15.10843373 17.89156627] ; [22.89156627 27.10843373],0
s5,1,0.242318,1.36706,[ 7 26] ; [ 6 45],[ 5.10714286 27.89285714] ; [ 7.89285714 43.10714286],0
u1,1,0.248027,1.334382,[ 1 32] ; [ 5 47],[ 2.32941176 30.67058824] ; [ 3.67058824 48.32941176],0
d4,1,0.28459,1.145038,[25  8] ; [33 18],[22.78571429 10.21428571] ; [35.21428571 15.78571429],0
p10,1,0.343818,0.896142,[16 17] ; [19 31],[13.91566265 19.08433735] ; [21.08433735 28.91566265],0
r2,1,0.38337,0.759866,[17 16] ; [30 19],[18.91463415 14.08536585] ; [28.08536585 20.91463415],0
r3,1,0.392852,0.730096,[19 14] ; [24 26],[17.09638554 15.90361446] ; [25.90361446 24.09638554],0
p1,1,0.399516,0.709782,[ 3 30] ; [ 8 44],[ 4.27058824 28.72941176] ; [ 6.72941176 45.27058824],0
v2,1,0.410869,0.676283,[13 20] ; [15 34],[11.26829268 21.73170732] ; [16.73170732 32.26829268],0
a6,1,0.495265,0.465067,[14 19] ; [26 26],[15.52941176 17.47058824] ; [24.47058824 27.52941176],0
b5,1,0.511998,0.429981,[17 16] ; [23 29],[15.52941176 17.47058824] ; [24.47058824 27.52941176],0
p2,1,0.511998,0.429981,[17 16] ; [23 29],[15.52941176 17.47058824] ; [24.47058824 27.52941176],0
b2,1,0.525309,0.403457,[ 6 10] ; [16 18],[7.04 8.96] ; [14.96 19.04],0
b3,1,0.525309,0.403457,[ 6 10] ; [16 18],[7.04 8.96] ; [14.96 19.04],0
a8,1,0.52982,0.394737,[ 1 31] ; [ 3 45],[ 1.6 30.4] ; [ 2.4 45.6],0
s2,1,0.559655,0.340301,[ 6 27] ; [12 39],[ 7.07142857 25.92857143] ; [10.92857143 40.07142857],0
s1,1,0.560103,0.339526,[ 3 30] ; [ 3 49],[ 2.32941176 30.67058824] ; [ 3.67058824 48.32941176],0
p5,1,0.56115,0.337717,[ 1 32] ; [ 3 49],[ 1.55294118 31.44705882] ; [ 2.44705882 49.55294118],0
a3,1,0.571094,0.320856,[18 15] ; [31 20],[19.25 13.75] ; [29.75 21.25],0
n3,1,0.623158,0.241454,[ 8 10] ; [12 11],[8.7804878 9.2195122] ; [11.2195122 11.7804878],0
s4,1,0.628635,0.233916,[ 5 28] ; [ 6 46],[ 4.27058824 28.72941176] ; [ 6.72941176 45.27058824],0
b4,1,0.632158,0.229146,[22 11] ; [32 20],[20.96470588 12.03529412] ; [33.03529412 18.96470588],0
a2,1,0.673681,0.177326,[ 4 29] ; [ 8 44],[ 4.65882353 28.34117647] ; [ 7.34117647 44.65882353],0
s8,1,0.673681,0.177326,[ 4 29] ; [ 8 44],[ 4.65882353 28.34117647] ; [ 7.34117647 44.65882353],0
p3,1,0.675195,0.175585,[ 5 27] ; [10 42],[ 5.71428571 26.28571429] ; [ 9.28571429 42.71428571],0
r1,1,0.730251,0.118881,[ 9 24] ; [16 36],[ 9.70588235 23.29411765] ; [15.29411765 36.70588235],0
p4,1,0.739057,0.110957,[ 8 25] ; [11 41],[ 7.37647059 25.62352941] ; [11.62352941 40.37647059],0
b1,1,0.757329,0.095475,[17 16] ; [25 27],[16.30588235 16.69411765] ; [25.69411765 26.30588235],0
u2,1,0.759766,0.093506,[ 5 10] ; [ 6 15],[ 4.58333333 10.41666667] ; [ 6.41666667 14.58333333],0
s3,1,0.788536,0.071938,[ 9 24] ; [15 35],[ 9.54216867 23.45783133] ; [14.45783133 35.54216867],0
s6,1,0.815646,0.054359,[ 9 24] ; [13 39],[ 8.54117647 24.45882353] ; [13.45882353 38.54117647],0
v3,1,0.840606,0.040449,[ 7 26] ; [12 40],[ 7.37647059 25.62352941] ; [11.62352941 40.37647059],0
v1,1,0.865796,0.028561,[10 23] ; [14 35],[ 9.65853659 23.34146341] ; [14.34146341 34.65853659],0
p8,1,0.899051,0.016093,[ 4 28] ; [ 7 45],[ 4.19047619 27.80952381] ; [ 6.80952381 45.19047619],0
d5,1,0.903294,0.014763,[22 11] ; [34 18],[21.74117647 11.25882353] ; [34.25882353 17.74117647],0
d1,1,0.97074,0.001345,[16 17] ; [25 27],[15.91764706 17.08235294] ; [25.08235294 26.91764706],0
p11,1,0.991544,0.000112,[14 19] ; [22 30],[13.97647059 19.02352941] ; [22.02352941 29.97647059],0
p9,1,1.0,0.0,[16 16] ; [24 24],[16. 16.] ; [24. 24.],0
