Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,111.831074,[ 40 123] ; [219  70],[93.40044248 69.59955752] ; [165.59955752 123.40044248],1
s2,1,0.0,76.746422,[64 96] ; [235  56],[106.07538803  53.92461197] ; [192.92461197  98.07538803],1
s3,1,0.0,51.713276,[81 78] ; [239  49],[113.82550336  45.17449664] ; [206.17449664  81.82550336],1
a3,1,0.0,29.96077,[97 65] ; [242  49],[121.23178808  40.76821192] ; [217.76821192  73.23178808],1
s5,1,1.5e-05,18.749466,[ 48 112] ; [145 138],[69.70654628 90.29345372] ; [123.29345372 159.70654628],1
a5,1,0.000523,12.030305,[108  55] ; [236  56],[123.23516484  39.76483516] ; [220.76483516  71.23516484],1
p3,1,0.00095,10.923233,[69 93] ; [171 120],[85.82781457 76.17218543] ; [154.17218543 136.82781457],1
p5,1,0.001138,10.588694,[ 13 148] ; [ 57 233],[ 24.98891353 136.01108647] ; [ 45.01108647 244.98891353],0
v3,1,0.001353,10.269252,[ 51 104] ; [138 145],[66.88356164 88.11643836] ; [122.11643836 160.88356164],0
p6,1,0.001558,10.009172,[ 52 108] ; [138 150],[67.85714286 92.14285714] ; [122.14285714 165.85714286],0
d2,1,0.001943,9.602278,[67 95] ; [164 126],[82.7920354 79.2079646] ; [148.2079646 141.7920354],0
p9,1,0.004022,8.273938,[133  27] ; [266  23],[142.18262806  17.81737194] ; [256.81737194  32.18262806],0
u1,1,0.004155,8.214972,[ 24 139] ; [ 77 215],[ 36.18241758 126.81758242] ; [ 64.81758242 227.18241758],0
d1,1,0.005103,7.842618,[86 77] ; [193  99],[99.94945055 63.05054945] ; [179.05054945 112.94945055],0
r2,1,0.005837,7.60002,[150  13] ; [282   7],[155.78761062   7.21238938] ; [276.21238938  12.78761062],0
a2,1,0.006288,7.465735,[ 31 132] ; [ 90 202],[ 43.34725275 119.65274725] ; [ 77.65274725 214.34725275],0
s1,1,0.006713,7.348203,[  1 157] ; [ 17 270],[  6.39101124 151.60898876] ; [ 11.60898876 275.39101124],0
p4,1,0.006769,7.333179,[96 66] ; [208  82],[108.95575221  53.04424779] ; [195.04424779  94.95575221],0
a4,1,0.009588,6.709898,[62 99] ; [149 142],[75.15707965 85.84292035] ; [135.84292035 155.15707965],0
r1,1,0.020266,5.38887,[128  34] ; [254  37],[136.60927152  25.39072848] ; [245.39072848  45.60927152],0
n6,1,0.020712,5.350877,[141  21] ; [272  19],[147.69536424  14.30463576] ; [265.30463576  25.69536424],0
n4,1,0.022119,5.236385,[139  24] ; [268  23],[146.12555066  16.87444934] ; [260.87444934  30.12555066],0
p1,1,0.02283,5.181406,[  8 154] ; [ 33 258],[ 14.66225166 147.33774834] ; [ 26.33774834 264.66225166],0
v4,1,0.024531,5.056705,[154   9] ; [286   5],[157.97356828   5.02643172] ; [282.02643172   8.97356828],0
u4,1,0.025663,4.978609,[  2 161] ; [ 16 276],[  6.44835165 156.55164835] ; [ 11.55164835 280.44835165],0
b1,1,0.036063,4.394126,[ 54 109] ; [126 166],[64.48351648 98.51648352] ; [115.51648352 176.48351648],0
u3,1,0.044612,4.033265,[34 32] ; [35 15],[39.25862069 26.74137931] ; [29.74137931 20.25862069],0
p7,1,0.047017,3.944789,[100  59] ; [201  78],[109.26712329  49.73287671] ; [191.73287671  87.26712329],0
b4,1,0.061894,3.485886,[104  59] ; [160 132],[94.57582418 68.42417582] ; [169.42417582 122.57582418],0
r3,1,0.068628,3.315536,[152  11] ; [282   9],[155.81938326   7.18061674] ; [278.18061674  12.81938326],0
u2,1,0.07213,3.233882,[32 33] ; [33 17],[36.73913043 28.26086957] ; [28.26086957 21.73913043],0
v2,1,0.076455,3.138691,[80 72] ; [175 110],[88.69565217 63.30434783] ; [166.30434783 118.69565217],0
d4,1,0.084204,2.981838,[129  34] ; [247  42],[135.59292035  27.40707965] ; [240.40707965  48.59292035],0
p8,1,0.089697,2.879807,[81 79] ; [168 117],[89.52808989 70.47191011] ; [159.47191011 125.52808989],0
a1,1,0.115554,2.476565,[  5 158] ; [ 19 273],[  8.5978022 154.4021978] ; [ 15.4021978 276.5978022],0
p12,1,0.123881,2.367549,[ 13 149] ; [ 37 253],[ 17.92035398 144.07964602] ; [ 32.07964602 257.92035398],0
a7,1,0.188085,1.732558,[121  41] ; [201  91],[114.89867841  47.10132159] ; [207.10132159  84.89867841],0
n3,1,0.200464,1.63899,[25  8] ; [37 22],[22.23913043 10.76086957] ; [39.76086957 19.23913043],0
p2,1,0.205373,1.603744,[135  27] ; [255  36],[139.47019868  22.52980132] ; [250.52980132  40.47019868],0
b3,1,0.209153,1.577277,[28 56] ; [ 85 121],[32.73103448 51.26896552] ; [ 80.26896552 125.73103448],0
b2,1,0.209153,1.577277,[28 56] ; [ 85 121],[32.73103448 51.26896552] ; [ 80.26896552 125.73103448],0
n1,1,0.225938,1.46625,[13 20] ; [31 28],[15.7826087 17.2173913] ; [28.2173913 30.7826087],0
d3,1,0.245698,1.347603,[109  54] ; [209  81],[114.42384106  48.57615894] ; [203.57615894  86.42384106],0
b5,1,0.288367,1.127228,[107  56] ; [177 115],[101.74065934  61.25934066] ; [182.25934066 109.74065934],0
r4,1,0.332147,0.940507,[149  14] ; [274  18],[151.53626374  11.46373626] ; [271.46373626  20.53626374],0
p10,1,0.368009,0.810375,[134  26] ; [251  38],[137.19376392  22.80623608] ; [247.80623608  41.19376392],0
a6,1,0.569119,0.324159,[112  51] ; [191  98],[109.26769912  53.73230088] ; [193.73230088  95.26769912],0
v1,1,0.67818,0.172182,[94 65] ; [173 110],[96.04751131 62.95248869] ; [170.95248869 112.04751131],0
n2,1,0.718365,0.130065,[26  8] ; [47 12],[26.68817204  7.31182796] ; [46.31182796 12.68817204],0
d5,1,0.748146,0.103096,[134  29] ; [241  48],[135.23230088  27.76769912] ; [239.76769912  49.23230088],0
a8,1,0.774389,0.082162,[ 24 127] ; [ 45 220],[ 25.04567308 125.95432692] ; [ 43.95432692 221.04567308],0
p11,1,0.783892,0.075213,[134  29] ; [243  49],[135.05714286  27.94285714] ; [241.94285714  50.05714286],0
s4,1,0.798389,0.065246,[ 33 124] ; [ 58 232],[ 31.96196868 125.03803132] ; [ 59.03803132 230.96196868],0
