Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,124.671736,[145  16] ; [ 56 127],[94.07267442 66.92732558] ; [106.92732558  76.07267442],1
d5,1,0.0,96.048094,[155   5] ; [90 94],[113.95348837  46.04651163] ; [131.04651163  52.95348837],1
d2,1,0.0,92.293646,[113  47] ; [ 35 148],[69.03790087 90.96209913] ; [ 78.96209913 104.03790087],1
d4,1,0.0,80.765217,[156   4] ; [102  82],[120.  40.] ; [138.  46.],1
u1,1,0.0,43.580707,[ 39 123] ; [  2 182],[ 19.19653179 142.80346821] ; [ 21.80346821 162.19653179],1
a5,1,0.0,36.529505,[130  32] ; [90 94],[103.00578035  58.99421965] ; [116.99421965  67.00578035],1
a2,1,0.0,34.067344,[ 51 111] ; [ 13 171],[ 29.96531792 132.03468208] ; [ 34.03468208 149.96531792],1
a4,1,0.0,29.777594,[91 70] ; [ 50 132],[66.18367347 94.81632653] ; [ 74.81632653 107.18367347],1
r1,1,0.0,29.018901,[134  27] ; [103  80],[110.92151163  50.07848837] ; [126.07848837  56.92151163],1
a3,1,1.4e-05,18.818045,[121  40] ; [95 86],[101.68421053  59.31578947] ; [114.31578947  66.68421053],1
r2,1,8.4e-05,15.45693,[153   7] ; [150  33],[141.34110787  18.65889213] ; [161.65889213  21.34110787],1
a6,1,0.000104,15.07146,[116  45] ; [95 89],[98.46666667 62.53333333] ; [112.53333333  71.46666667],1
a7,1,0.000249,13.422383,[122  40] ; [104  80],[105.8150289  56.1849711] ; [120.1849711  63.8150289],1
r4,1,0.000411,12.481374,[142  20] ; [133  51],[128.75722543  33.24277457] ; [146.24277457  37.75722543],1
s8,1,0.000441,12.348974,[69 93] ; [ 45 137],[ 53.68604651 108.31395349] ; [ 60.31395349 121.68604651],1
r3,1,0.002945,8.841197,[149  13] ; [148  35],[139.46086957  22.53913043] ; [157.53913043  25.46086957],0
n4,1,0.005055,7.859491,[129  33] ; [121  62],[117.39130435  44.60869565] ; [132.60869565  50.39130435],0
s7,1,0.007408,7.171253,[68 86] ; [ 52 122],[56.34146341 97.65853659] ; [ 63.65853659 110.34146341],0
p6,1,0.009174,6.788585,[ 56 105] ; [ 40 141],[ 45.19298246 115.80701754] ; [ 50.80701754 130.19298246],0
p10,1,0.009535,6.719691,[123  39] ; [112  66],[111.97058824  50.02941176] ; [123.02941176  54.97058824],0
n5,1,0.009833,6.664866,[124  38] ; [116  66],[113.02325581  48.97674419] ; [126.97674419  55.02325581],0
p4,1,0.00988,6.656328,[92 70] ; [ 78 104],[80.05813953 81.94186047] ; [89.94186047 92.05813953],0
p3,1,0.01341,6.11417,[73 87] ; [ 60 124],[61.86046512 98.13953488] ; [ 71.13953488 112.86046512],0
n6,1,0.015737,5.832028,[133  28] ; [131  52],[123.55813953  37.44186047] ; [140.44186047  42.55813953],0
v4,1,0.022289,5.223058,[150  12] ; [155  28],[143.2173913  18.7826087] ; [161.7826087  21.2173913],0
p9,1,0.03424,4.482695,[128  32] ; [126  54],[119.52941176  40.47058824] ; [134.47058824  45.52941176],0
p8,1,0.03568,4.412317,[80 82] ; [ 69 112],[70.37317784 91.62682216] ; [ 78.62682216 102.37317784],0
s3,1,0.049606,3.854743,[86 75] ; [ 77 103],[76.95894428 84.04105572] ; [86.04105572 93.95894428],0
u3,1,0.049688,3.851944,[26 15] ; [39 48],[20.8203125 20.1796875] ; [44.1796875 42.8203125],0
s5,1,0.051893,3.77922,[ 48 113] ; [ 37 142],[ 40.25 120.75] ; [ 44.75 134.25],0
a8,1,0.060249,3.530507,[ 16 131] ; [ 32 142],[ 21.98130841 125.01869159] ; [ 26.01869159 147.98130841],0
p2,1,0.063481,3.444016,[126  34] ; [128  55],[118.48396501  41.51603499] ; [135.51603499  47.48396501],0
s2,1,0.074057,3.190725,[68 92] ; [ 61 123],[ 60. 100.] ; [ 69. 115.],0
u2,1,0.074944,3.171276,[26 15] ; [41 47],[21.29457364 19.70542636] ; [45.70542636 42.29457364],0
s6,1,0.098119,2.73585,[93 67] ; [89 92],[85.39589443 74.60410557] ; [96.60410557 84.39589443],0
s1,1,0.118089,2.442488,[  6 154] ; [ 14 167],[  9.38416422 150.61583578] ; [ 10.61583578 170.38416422],0
p7,1,0.148153,2.091164,[91 67] ; [89 90],[84.39169139 73.60830861] ; [95.60830861 83.39169139],0
b4,1,0.180608,1.792614,[97 65] ; [97 87],[90.83236994 71.16763006] ; [103.16763006  80.83236994],0
p11,1,0.242927,1.36353,[116  46] ; [121  63],[110.96531792  51.03468208] ; [126.03468208  57.96531792],0
n1,1,0.253026,1.306516,[16 30] ; [24 28],[18.7755102 27.2244898] ; [21.2244898 30.7755102],0
u4,1,0.25594,1.290584,[  3 159] ; [  1 183],[  1.87283237 160.12716763] ; [  2.12716763 181.87283237],0
n2,1,0.278749,1.173181,[27 20] ; [36 17],[29.61 17.39] ; [33.39 19.61],0
p5,1,0.346192,0.887367,[ 21 138] ; [ 18 163],[ 18.23823529 140.76176471] ; [ 20.76176471 160.23823529],0
b2,1,0.356045,0.851794,[43 61] ; [38 70],[39.73584906 64.26415094] ; [41.26415094 66.73584906],0
b3,1,0.356045,0.851794,[43 61] ; [38 70],[39.73584906 64.26415094] ; [41.26415094 66.73584906],0
n3,1,0.360262,0.836981,[25 20] ; [33 18],[27.1875 17.8125] ; [30.8125 20.1875],0
b1,1,0.658625,0.195198,[71 91] ; [85 99],[73.04046243 88.95953757] ; [ 82.95953757 101.04046243],0
v3,1,0.705299,0.143018,[ 28 129] ; [ 35 145],[ 29.35014837 127.64985163] ; [ 33.64985163 146.35014837],0
v1,1,0.72242,0.126186,[ 55 103] ; [ 66 114],[ 56.56213018 101.43786982] ; [ 64.43786982 115.56213018],0
b5,1,0.750123,0.101427,[95 67] ; [111  73],[96.45086705 65.54913295] ; [109.54913295  74.45086705],0
p12,1,0.801591,0.063146,[  8 153] ; [  8 174],[  7.51020408 153.48979592] ; [  8.48979592 173.51020408],0
p1,1,0.808824,0.058537,[ 14 148] ; [ 17 164],[ 14.64139942 147.35860058] ; [ 16.35860058 164.64139942],0
a1,1,0.866489,0.028264,[  9 153] ; [ 11 173],[  9.36416185 152.63583815] ; [ 10.63583815 173.36416185],0
