Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b2,1,0.130778,2.283249,[ 7 21] ; [2 1],[ 8.12903226 19.87096774] ; [0.87096774 2.12903226],0
b3,1,0.130778,2.283249,[ 7 21] ; [2 1],[ 8.12903226 19.87096774] ; [0.87096774 2.12903226],0
p1,1,0.279226,1.170852,[ 7 52] ; [1 2],[ 7.61290323 51.38709677] ; [0.38709677 2.61290323],0
u1,1,0.333998,0.933333,[ 8 52] ; [1 2],[ 8.57142857 51.42857143] ; [0.42857143 2.57142857],0
p7,1,0.407745,0.685368,[34 25] ; [1 2],[33.30645161 25.69354839] ; [1.69354839 1.30645161],0
b4,1,0.427355,0.63,[34 26] ; [1 2],[33.33333333 26.66666667] ; [1.66666667 1.33333333],0
b5,1,0.427355,0.63,[34 26] ; [1 2],[33.33333333 26.66666667] ; [1.66666667 1.33333333],0
v2,1,0.442918,0.58871,[26 33] ; [2 1],[26.64516129 32.35483871] ; [1.35483871 1.64516129],0
a4,1,0.462471,0.539909,[27 33] ; [2 1],[27.61904762 32.38095238] ; [1.38095238 1.61904762],0
p9,1,0.468669,0.525112,[49 10] ; [2 1],[48.53225806 10.46774194] ; [2.46774194 0.53225806],0
p3,1,0.516041,0.421798,[28 31] ; [2 1],[28.5483871 30.4516129] ; [1.4516129 1.5483871],0
a6,1,0.535351,0.384224,[31 29] ; [1 2],[30.47619048 29.52380952] ; [1.52380952 1.47619048],0
s8,1,0.57309,0.31754,[30 30] ; [2 1],[30.47619048 29.52380952] ; [1.52380952 1.47619048],0
a2,1,0.577586,0.310154,[12 48] ; [1 2],[12.38095238 47.61904762] ; [0.61904762 2.38095238],0
v1,1,0.611686,0.257727,[31 29] ; [2 1],[31.42857143 28.57142857] ; [1.57142857 1.42857143],0
p2,1,0.647944,0.208501,[46 13] ; [2 1],[45.67741935 13.32258065] ; [2.32258065 0.67741935],0
a3,1,0.746236,0.104721,[45 15] ; [2 1],[44.76190476 15.23809524] ; [2.23809524 0.76190476],0
d3,1,0.872705,0.025671,[36 22] ; [2 1],[36.13114754 21.86885246] ; [1.86885246 1.13114754],0
a7,1,0.983908,0.000407,[39 20] ; [2 1],[39.01612903 19.98387097] ; [1.98387097 1.01612903],0
