Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.000881,11.061818,[8 3] ; [ 4 21],[3.66666667 7.33333333] ; [ 8.33333333 16.66666667],1
s6,1,0.001129,10.603636,[10  1] ; [ 8 17],[5.5 5.5] ; [12.5 12.5],0
s2,1,0.010515,6.545455,[7 4] ; [ 5 20],[3.66666667 7.33333333] ; [ 8.33333333 16.66666667],0
n4,1,0.025163,5.012636,[10  1] ; [13 12],[7.02777778 3.97222222] ; [15.97222222  9.02777778],0
d4,1,0.040685,4.189091,[10  1] ; [14 11],[7.33333333 3.66666667] ; [16.66666667  8.33333333],0
d1,1,0.043343,4.081983,[7 4] ; [ 7 18],[4.27777778 6.72222222] ; [ 9.72222222 15.27777778],0
p1,1,0.088864,2.894832,[4 7] ; [ 3 22],[2.13888889 8.86111111] ; [ 4.86111111 20.13888889],0
a5,1,0.090926,2.857898,[9 2] ; [13 12],[6.72222222 4.27777778] ; [15.27777778  9.72222222],0
n6,1,0.090926,2.857898,[9 2] ; [13 12],[6.72222222 4.27777778] ; [15.27777778  9.72222222],0
p6,1,0.11625,2.467133,[5 6] ; [ 5 20],[3.05555556 7.94444444] ; [ 6.94444444 18.05555556],0
d5,1,0.13738,2.207066,[9 2] ; [14 11],[7.02777778 3.97222222] ; [15.97222222  9.02777778],0
s1,1,0.156138,2.01124,[2 9] ; [ 1 24],[ 0.91666667 10.08333333] ; [ 2.08333333 22.91666667],0
a3,1,0.174196,1.846454,[9 2] ; [14 10],[7.22857143 3.77142857] ; [15.77142857  8.22857143],0
d2,1,0.201176,1.633813,[6 5] ; [ 8 17],[4.27777778 6.72222222] ; [ 9.72222222 15.27777778],0
p7,1,0.213024,1.550752,[3 8] ; [11 11],[4.66666667 6.33333333] ; [ 9.33333333 12.66666667],0
a6,1,0.277726,1.178182,[7 4] ; [11 14],[5.5 5.5] ; [12.5 12.5],0
p4,1,0.277726,1.178182,[7 4] ; [11 14],[5.5 5.5] ; [12.5 12.5],0
v4,1,0.297798,1.08403,[10  1] ; [19  6],[8.86111111 2.13888889] ; [20.13888889  4.86111111],0
s8,1,0.306136,1.047273,[5 6] ; [ 7 18],[3.66666667 7.33333333] ; [ 8.33333333 16.66666667],0
v2,1,0.329111,0.952393,[4 7] ; [ 5 19],[2.82857143 8.17142857] ; [ 6.17142857 17.82857143],0
a4,1,0.345976,0.888162,[5 6] ; [ 7 17],[3.77142857 7.22857143] ; [ 8.22857143 15.77142857],0
p2,1,0.356981,0.848485,[9 2] ; [16  8],[7.85714286 3.14285714] ; [17.14285714  6.85714286],0
v1,1,0.386671,0.749384,[7 4] ; [12 13],[5.80555556 5.19444444] ; [13.19444444 11.80555556],0
n5,1,0.393841,0.727049,[9 2] ; [17  8],[7.94444444 3.05555556] ; [18.05555556  6.94444444],0
s3,1,0.410966,0.676003,[5 5] ; [ 8 15],[3.93939394 6.06060606] ; [ 9.06060606 13.93939394],0
b1,1,0.463956,0.536333,[8 3] ; [15 10],[7.02777778 3.97222222] ; [15.97222222  9.02777778],0
p5,1,0.466479,0.530303,[3 8] ; [ 4 20],[2.2 8.8] ; [ 4.8 19.2],0
p3,1,0.477688,0.504137,[6 5] ; [10 14],[5.02857143 5.97142857] ; [10.97142857 13.02857143],0
v3,1,0.48966,0.477273,[4 7] ; [ 6 18],[3.14285714 7.85714286] ; [ 6.85714286 17.14285714],0
a7,1,0.517482,0.418909,[7 4] ; [13 12],[6.11111111 4.88888889] ; [13.88888889 11.11111111],0
u1,1,0.539038,0.377326,[ 1 10] ; [ 1 24],[ 0.61111111 10.38888889] ; [ 1.38888889 23.61111111],0
s7,1,0.549141,0.358859,[5 6] ; [ 8 15],[4.20588235 6.79411765] ; [ 8.79411765 14.20588235],0
s4,1,0.621273,0.244082,[2 9] ; [ 3 22],[1.52777778 9.47222222] ; [ 3.47222222 21.52777778],0
d3,1,0.668576,0.183273,[7 4] ; [14 11],[6.41666667 4.58333333] ; [14.58333333 10.41666667],0
r1,1,0.717491,0.130909,[6 5] ; [12 13],[5.5 5.5] ; [12.5 12.5],0
b4,1,0.776689,0.08045,[8 3] ; [17  8],[7.63888889 3.36111111] ; [17.36111111  7.63888889],0
a2,1,0.798074,0.065455,[ 1 10] ; [ 3 22],[1.22222222 9.77777778] ; [ 2.77777778 22.22222222],0
a1,1,0.798074,0.065455,[ 1 10] ; [ 3 22],[1.22222222 9.77777778] ; [ 2.77777778 22.22222222],0
n2,1,0.824745,0.049038,[3 1] ; [9 4],[2.82352941 1.17647059] ; [9.17647059 3.82352941],0
