Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,0.020137,5.4,[ 7 13] ; [8 2],[10. 10.] ; [5. 5.],0
d5,1,0.044672,4.030984,[19  2] ; [6 4],[16.93548387  4.06451613] ; [8.06451613 1.93548387],0
d1,1,0.055153,3.677451,[14  7] ; [3 7],[11.51612903  9.48387097] ; [5.48387097 4.51612903],0
a5,1,0.087648,2.917053,[10 11] ; [8 2],[12.19354839  8.80645161] ; [5.80645161 4.19354839],0
p2,1,0.089423,2.884737,[12  7] ; [3 7],[9.82758621 9.17241379] ; [5.17241379 4.82758621],0
r2,1,0.090969,2.857143,[16  4] ; [5 5],[14.  6.] ; [7. 3.],0
v2,1,0.113846,2.5,[14  6] ; [4 6],[12.  8.] ; [6. 4.],0
n6,1,0.144779,2.126417,[16  5] ; [5 5],[14.22580645  6.77419355] ; [6.77419355 3.22580645],0
p1,1,0.147338,2.099597,[ 2 19] ; [3 7],[ 3.38709677 17.61290323] ; [1.61290323 8.38709677],0
d4,1,0.165857,1.92,[18  2] ; [7 3],[16.66666667  3.33333333] ; [8.33333333 1.66666667],0
s1,1,0.179767,1.799546,[ 1 20] ; [2 8],[ 2.03225806 18.96774194] ; [0.96774194 9.03225806],0
r3,1,0.192703,1.696833,[13  7] ; [4 6],[11.33333333  8.66666667] ; [5.66666667 4.33333333],0
n1,1,0.210209,1.569986,[ 4 10] ; [2 1],[4.94117647 9.05882353] ; [1.05882353 1.94117647],0
a2,1,0.212662,1.553209,[ 4 17] ; [4 6],[ 5.41935484 15.58064516] ; [2.58064516 7.41935484],0
p8,1,0.242908,1.363636,[ 4 16] ; [4 6],[ 5.33333333 14.66666667] ; [2.66666667 7.33333333],0
d3,1,0.243751,1.358766,[15  6] ; [5 5],[13.5483871  7.4516129] ; [6.4516129 3.5483871],0
a7,1,0.300623,1.071429,[12  8] ; [4 6],[10.66666667  9.33333333] ; [5.33333333 4.66666667],0
n5,1,0.35322,0.861857,[16  5] ; [6 4],[14.90322581  6.09677419] ; [7.09677419 2.90322581],0
s8,1,0.35322,0.861857,[ 5 16] ; [4 6],[ 6.09677419 14.90322581] ; [2.90322581 7.09677419],0
a3,1,0.362953,0.827651,[16  5] ; [9 1],[16.93548387  4.06451613] ; [8.06451613 1.93548387],0
p10,1,0.435819,0.607265,[12  8] ; [4 5],[11.03448276  8.96551724] ; [4.96551724 4.03448276],0
p3,1,0.448984,0.573216,[ 5 14] ; [4 6],[ 5.89655172 13.10344828] ; [3.10344828 6.89655172],0
s7,1,0.462832,0.539037,[ 7 13] ; [4 4],[ 7.85714286 12.14285714] ; [3.14285714 4.85714286],0
r1,1,0.492072,0.471992,[ 9 12] ; [3 7],[ 8.12903226 12.87096774] ; [3.87096774 6.12903226],0
b4,1,0.492072,0.471992,[12  9] ; [7 3],[12.87096774  8.12903226] ; [6.12903226 3.87096774],0
b1,1,0.530057,0.394282,[ 8 13] ; [5 5],[ 8.80645161 12.19354839] ; [4.19354839 5.80645161],0
a4,1,0.530057,0.394282,[ 8 13] ; [5 5],[ 8.80645161 12.19354839] ; [4.19354839 5.80645161],0
s2,1,0.562771,0.334928,[ 7 14] ; [4 5],[ 7.7 13.3] ; [3.3 5.7],0
s4,1,0.578932,0.307964,[ 1 20] ; [1 9],[ 1.35483871 19.64516129] ; [0.64516129 9.35483871],0
d2,1,0.602332,0.271493,[12  8] ; [5 5],[11.33333333  8.66666667] ; [5.66666667 4.33333333],0
p5,1,0.604773,0.267857,[ 1 19] ; [1 9],[ 1.33333333 18.66666667] ; [0.66666667 9.33333333],0
p12,1,0.604773,0.267857,[ 1 19] ; [1 9],[ 1.33333333 18.66666667] ; [0.66666667 9.33333333],0
a1,1,0.685939,0.163516,[ 3 18] ; [2 8],[ 3.38709677 17.61290323] ; [1.61290323 8.38709677],0
s6,1,0.690279,0.158784,[10 11] ; [4 6],[ 9.48387097 11.51612903] ; [4.51612903 5.48387097],0
b5,1,0.708723,0.139556,[12  9] ; [5 5],[11.51612903  9.48387097] ; [5.48387097 4.51612903],0
p7,1,0.712531,0.135762,[ 7 12] ; [3 7],[ 6.55172414 12.44827586] ; [3.44827586 6.55172414],0
p6,1,0.760188,0.093168,[ 5 15] ; [2 8],[ 4.66666667 15.33333333] ; [2.33333333 7.66666667],0
b2,1,0.782055,0.076531,[4 4] ; [3 4],[3.73333333 4.26666667] ; [3.26666667 3.73333333],0
b3,1,0.782055,0.076531,[4 4] ; [3 4],[3.73333333 4.26666667] ; [3.26666667 3.73333333],0
p9,1,0.804113,0.061517,[13  8] ; [6 3],[13.3  7.7] ; [5.7 3.3],0
p4,1,0.832894,0.044518,[ 5 14] ; [3 7],[ 5.24137931 13.75862069] ; [2.75862069 7.24137931],0
a6,1,0.880212,0.022711,[12  9] ; [6 4],[12.19354839  8.80645161] ; [5.80645161 4.19354839],0
p11,1,0.901312,0.015377,[11 10] ; [5 5],[10.83870968 10.16129032] ; [5.16129032 4.83870968],0
n4,1,0.934715,0.00671,[15  6] ; [7 3],[14.90322581  6.09677419] ; [7.09677419 2.90322581],0
n2,1,0.93758,0.006133,[9 5] ; [2 1],[9.05882353 4.94117647] ; [1.94117647 1.05882353],0
s5,1,0.966562,0.001757,[ 2 19] ; [1 9],[ 2.03225806 18.96774194] ; [0.96774194 9.03225806],0
s3,1,1.0,0.0,[ 7 14] ; [3 6],[ 7. 14.] ; [3. 6.],0
