Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,4.9e-05,16.487384,[13 18] ; [59 13],[21.66990291  9.33009709] ; [50.33009709 21.66990291],1
v4,1,0.000195,13.882305,[19 11] ; [66  5],[25.24752475  4.75247525] ; [59.75247525 11.24752475],1
r3,1,0.000212,13.722818,[16 15] ; [61 10],[23.40196078  7.59803922] ; [53.59803922 17.40196078],1
s2,1,0.001218,10.46298,[ 3 28] ; [30 41],[10.02941176 20.97058824] ; [22.97058824 48.02941176],0
s6,1,0.001656,9.896855,[ 7 24] ; [40 31],[14.28431373 16.71568627] ; [32.71568627 38.28431373],0
p11,1,0.001993,9.556098,[14 17] ; [55 17],[20.76699029 10.23300971] ; [48.23300971 23.76699029],0
a1,1,0.003394,8.582461,[ 5 26] ; [ 1 71],[ 1.80582524 29.19417476] ; [ 4.19417476 67.80582524],0
p9,1,0.005559,7.688024,[14 15] ; [53 16],[19.82653061  9.17346939] ; [47.17346939 21.82653061],0
s3,1,0.008358,6.955125,[ 7 24] ; [35 34],[13.02 17.98] ; [28.98 40.02],0
p10,1,0.017432,5.652369,[12 17] ; [47 23],[17.28282828 11.71717172] ; [41.71717172 28.28282828],0
s5,1,0.018431,5.554695,[ 1 29] ; [16 55],[ 5.04950495 24.95049505] ; [11.95049505 59.04950495],0
b3,1,0.027001,4.890752,[7 7] ; [ 8 33],[ 3.81818182 10.18181818] ; [11.18181818 29.81818182],0
b2,1,0.027001,4.890752,[7 7] ; [ 8 33],[ 3.81818182 10.18181818] ; [11.18181818 29.81818182],0
s8,1,0.029312,4.749222,[ 3 28] ; [21 50],[ 7.29411765 23.70588235] ; [16.70588235 54.29411765],0
n2,1,0.042817,4.102597,[8 7] ; [20  4],[10.76923077  4.23076923] ; [17.23076923  6.76923077],0
s7,1,0.04812,3.905803,[ 4 25] ; [23 46],[ 7.98979592 21.01020408] ; [19.01020408 49.98979592],0
p2,1,0.066198,3.37486,[15 16] ; [48 23],[19.14705882 11.85294118] ; [43.85294118 27.14705882],0
n3,1,0.090717,2.861606,[8 6] ; [19  4],[10.21621622  3.78378378] ; [16.78378378  6.21621622],0
r2,1,0.095195,2.784252,[23  8] ; [63  9],[25.88349515  5.11650485] ; [60.11650485 11.88349515],0
v2,1,0.100308,2.700639,[ 5 22] ; [24 43],[ 8.32978723 18.67021277] ; [20.67021277 46.32978723],0
p3,1,0.101057,2.688783,[ 3 28] ; [17 55],[ 6.01941748 24.98058252] ; [13.98058252 58.01941748],0
n5,1,0.118114,2.442154,[19 12] ; [55 17],[22.27184466  8.72815534] ; [51.72815534 20.27184466],0
p7,1,0.128438,2.311279,[ 9 21] ; [32 37],[12.42424242 17.57575758] ; [28.57575758 40.42424242],0
r1,1,0.149601,2.07631,[14 17] ; [43 28],[17.32352941 13.67647059] ; [39.67647059 31.32352941],0
p1,1,0.155762,2.014894,[ 5 26] ; [ 5 66],[ 3.03921569 27.96078431] ; [ 6.96078431 64.03921569],0
b5,1,0.182792,1.77478,[15 16] ; [45 27],[18.05825243 12.94174757] ; [41.94174757 30.05825243],0
p8,1,0.20304,1.62037,[ 8 22] ; [28 42],[10.8 19.2] ; [25.2 44.8],0
d2,1,0.20636,1.596783,[ 8 23] ; [11 61],[ 5.7184466 25.2815534] ; [13.2815534 58.7184466],0
s4,1,0.27278,1.202712,[ 4 27] ; [16 56],[ 6.01941748 24.98058252] ; [13.98058252 58.01941748],0
p6,1,0.283977,1.147959,[ 3 27] ; [13 57],[ 4.8 25.2] ; [11.2 58.8],0
b4,1,0.401596,0.703541,[14 17] ; [39 33],[15.95145631 15.04854369] ; [37.04854369 34.95145631],0
n4,1,0.419554,0.651565,[19 12] ; [50 22],[20.76699029 10.23300971] ; [48.23300971 23.76699029],0
a7,1,0.437264,0.603452,[14 17] ; [38 33],[15.80392157 15.19607843] ; [36.19607843 34.80392157],0
a2,1,0.44583,0.581232,[ 3 28] ; [ 4 68],[ 2.10679612 28.89320388] ; [ 4.89320388 67.10679612],0
u2,1,0.482825,0.492476,[8 9] ; [16 27],[ 6.8 10.2] ; [17.2 25.8],0
a4,1,0.498015,0.459165,[ 7 24] ; [12 59],[ 5.7745098 25.2254902] ; [13.2254902 57.7745098],0
a6,1,0.533315,0.388071,[18 13] ; [37 35],[16.55339806 14.44660194] ; [38.44660194 33.55339806],0
a3,1,0.588725,0.29234,[14 16] ; [29 42],[12.77227723 17.22772277] ; [30.22772277 40.77227723],0
d5,1,0.609989,0.260191,[11 20] ; [29 42],[12.15686275 18.84313725] ; [27.84313725 43.15686275],0
a5,1,0.813842,0.055447,[13 18] ; [32 40],[13.54368932 17.45631068] ; [31.45631068 40.54368932],0
v1,1,0.81906,0.052329,[10 20] ; [25 45],[10.5 19.5] ; [24.5 45.5],0
b1,1,0.881455,0.022238,[12 19] ; [29 43],[12.33980583 18.66019417] ; [28.66019417 43.33980583],0
s1,1,0.899608,0.015915,[ 2 29] ; [ 5 65],[ 2.14851485 28.85148515] ; [ 4.85148515 65.14851485],0
d1,1,0.901295,0.015382,[ 1 30] ; [ 2 70],[ 0.90291262 30.09708738] ; [ 2.09708738 69.90291262],0
a8,1,0.928206,0.008118,[ 3 27] ; [ 7 59],[ 3.125 26.875] ; [ 6.875 59.125],0
d3,1,0.930354,0.007639,[ 7 23] ; [16 55],[ 6.83168317 23.16831683] ; [16.16831683 54.83168317],0
u3,1,0.961376,0.002345,[ 7 10] ; [18 25],[7.08333333 9.91666667] ; [17.91666667 25.08333333],0
v3,1,0.987541,0.000244,[ 7 22] ; [17 53],[ 7.03030303 21.96969697] ; [16.96969697 53.03030303],0
n1,1,1.0,0.0,[ 5 10] ; [ 8 16],[ 5. 10.] ; [ 8. 16.],0
